Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.8-34.231.13.81-55848-443-6,192.168.0.8,55848,34.231.13.81,443,6,08/10/2020 09:27:24 AM,167532,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,185.03927607859993,23.87603562304515,55844.0,96390.46556584319,167146.0,50.0,167196.0,167196.0,0.0,167196.0,167196.0,386.0,386.0,0.0,386.0,386.0,0,0,0,0,52,64,11.938017811522576,11.938017811522576,0.0,31.0,6.2,13.863621460498697,192.20000000000002,2,0,1,1,3,0,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,0,0,0,7,501,110,0,20,0,0,0,0,1.60216004430147E15,0.0,1.60216004430147E15,1.60216004430147E15,NeedManualLabel
192.168.0.8-107.182.234.156-51194-443-6,192.168.0.8,51194,107.182.234.156,443,6,08/10/2020 09:27:24 AM,216656,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.231223691012481,216656.0,0.0,216656.0,216656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.6156118455062405,4.6156118455062405,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,235,0,32,0,0,0,0,1.602160044301636E15,0.0,1.602160044301636E15,1.602160044301636E15,NeedManualLabel
192.168.0.8-151.101.94.109-55996-443-6,192.168.0.8,55996,151.101.94.109,443,6,08/10/2020 09:27:27 AM,85429,9,6,610.0,5726.0,517.0,0.0,67.77777777777777,171.24308582960205,1448.0,0.0,954.3333333333333,739.6652395960396,74166.85200575917,175.5844034227253,6102.071428571429,13461.872692130202,38051.0,7.0,85429.0,10678.625,17934.91063291686,41806.0,9.0,42402.0,8480.4,16923.21170168358,38615.0,7.0,0,0,0,0,296,200,105.35064205363517,70.23376136909012,0.0,1448.0,396.00000000000006,630.7095475203569,397794.5333333333,1,2,0,3,14,0,0,0,0.0,422.4,67.77777777777777,954.3333333333334,0,0,0,6336,6,135712,0,40,0,381,64240,59,2,32,0,0,0,0,1.602160047186144E15,0.0,1.602160047186144E15,1.602160047186144E15,NeedManualLabel
192.168.0.8-151.101.94.109-55994-443-6,192.168.0.8,55994,151.101.94.109,443,6,08/10/2020 09:27:27 AM,85663,9,6,610.0,5726.0,517.0,0.0,67.77777777777777,171.24308582960205,1448.0,0.0,954.3333333333333,739.6652395960396,73964.25527940884,175.10477102132776,6118.785714285714,13655.941401673266,38774.0,5.0,85663.0,10707.875,18159.213556267874,42336.0,396.0,44288.0,8857.6,17086.644252163736,39329.0,395.0,0,0,0,0,296,200,105.06286261279665,70.0419084085311,0.0,1448.0,396.0000000000001,630.7095475203569,397794.5333333333,1,2,0,3,14,0,0,0,0.0,422.4,67.77777777777777,954.3333333333334,0,0,0,6336,6,135459,0,40,0,381,64240,59,2,32,0,0,0,0,1.60216004718611E15,0.0,1.60216004718611E15,1.60216004718611E15,NeedManualLabel
192.168.0.8-151.101.94.109-55990-443-6,192.168.0.8,55990,151.101.94.109,443,6,08/10/2020 09:27:27 AM,86768,4,1,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,5958.41784989858,57.62493085008298,21692.0,26420.011241481334,54163.0,43.0,86768.0,28922.666666666668,27123.03923481536,54206.0,274.0,0,0,0,0,0,0,0,0,0,136,40,46.099944680066386,11.524986170016597,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,1,2,0,1,4,0,0,0,0.0,103.4,129.25,0.0,0,0,0,0,0,0,0,103,0,0,64240,28960,1,32,0,0,0,0,1.602160047186032E15,0.0,1.602160047186032E15,1.602160047186032E15,NeedManualLabel
192.168.0.8-151.101.94.109-56000-443-6,192.168.0.8,56000,151.101.94.109,443,6,08/10/2020 09:27:27 AM,86697,4,2,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,5963.2974612731705,69.20654693934047,17339.4,23767.37210547266,48576.0,14.0,86697.0,28899.0,25425.27547540046,48590.0,195.0,37665.0,37665.0,0.0,37665.0,37665.0,0,0,0,0,136,72,46.13769795956031,23.068848979780157,0.0,517.0,73.85714285714286,195.4076325457705,38184.14285714286,1,2,0,1,5,0,0,0,0.0,86.16666666666667,129.25,0.0,0,0,0,0,0,0,0,86,0,0,64240,84,1,32,0,0,0,0,1.602160047186211E15,0.0,1.602160047186211E15,1.602160047186211E15,NeedManualLabel
192.168.0.8-151.101.94.109-55998-443-6,192.168.0.8,55998,151.101.94.109,443,6,08/10/2020 09:27:27 AM,86800,9,6,610.0,5726.0,517.0,0.0,67.77777777777777,171.24308582960205,1448.0,0.0,954.3333333333333,739.6652395960396,72995.39170506912,172.8110599078341,6200.000000000001,15075.243057104228,47899.0,6.0,86800.0,10850.0,19514.35179553756,47959.0,273.0,37657.0,7531.4,15304.571124340597,34894.0,349.0,0,0,0,0,296,200,103.68663594470046,69.12442396313364,0.0,1448.0,396.0000000000001,630.7095475203569,397794.5333333333,1,2,0,3,14,0,0,0,0.0,422.4,67.77777777777777,954.3333333333334,0,0,0,6336,6,166347,0,40,0,381,64240,59,2,32,0,0,0,0,1.602160047186176E15,0.0,1.602160047186176E15,1.602160047186176E15,NeedManualLabel
151.101.94.109-192.168.0.8-443-55996-6,151.101.94.109,443,192.168.0.8,55996,6,08/10/2020 09:27:27 AM,13100,4,3,289.0,0.0,258.0,0.0,72.25,124.6926220752455,0.0,0.0,0.0,0.0,22061.068702290075,534.3511450381679,2183.3333333333335,3363.9066970810395,6954.0,6.0,13100.0,4366.666666666667,3761.7710368034536,6972.0,54.0,7014.0,3507.0,4891.764712248536,6966.0,48.0,1,0,0,0,128,60,305.34351145038164,229.00763358778624,0.0,258.0,68.37500000000001,117.52682064715515,13812.553571428574,1,0,3,2,4,0,0,0,0.0,78.14285714285714,72.25,0.0,0,0,0,0,0,0,0,41,0,0,59,0,1,32,0,0,0,0,1.602160047301057E15,0.0,1.602160047301057E15,1.602160047301057E15,NeedManualLabel
151.101.94.109-192.168.0.8-443-55994-6,151.101.94.109,443,192.168.0.8,55994,6,08/10/2020 09:27:27 AM,6371,4,2,289.0,0.0,258.0,0.0,72.25,124.6926220752455,0.0,0.0,0.0,0.0,45361.79563647779,941.7673834562863,1274.2,2833.552311145852,6343.0,0.0,6371.0,2123.6666666666665,3657.5336407657733,6347.0,0.0,11.0,11.0,0.0,11.0,11.0,0,0,0,0,128,40,627.8449223041908,313.9224611520954,0.0,258.0,41.285714285714285,96.25783827082046,9265.571428571428,1,0,2,2,4,0,0,0,0.0,48.166666666666664,72.25,0.0,0,0,0,0,0,0,0,48,0,0,59,0,2,32,0,0,0,0,1.602160047308083E15,0.0,1.602160047308083E15,1.602160047308083E15,NeedManualLabel
151.101.94.109-192.168.0.8-443-55990-6,151.101.94.109,443,192.168.0.8,55990,6,08/10/2020 09:27:27 AM,24201,6,4,5726.0,0.0,1448.0,0.0,954.3333333333334,739.6652395960397,0.0,0.0,0.0,0.0,236601.79331432586,413.20606586504687,2689.0,7263.31861135115,22035.0,6.0,24201.0,4840.2,9621.151838527443,22041.0,321.0,1047.0,349.0,27.2213151776324,374.0,320.0,0,0,0,0,192,80,247.92363951902814,165.28242634601875,0.0,1448.0,520.5454545454545,722.4536474593182,521939.27272727276,1,0,4,1,6,0,0,0,0.0,572.6,954.3333333333334,0.0,0,0,0,5726,4,5442965,0,572,0,0,59,0,4,32,0,0,0,0,1.602160047290577E15,0.0,1.602160047290577E15,1.602160047290577E15,NeedManualLabel
