Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-64716-13111-6,131.202.240.87,64716,131.202.6.26,13111,6,29/04/2015 01:44:11 PM,1445,4,2,2.0,2.0,2.0,0.0,0.5,1.0,2.0,0.0,1.0,1.4142135623730951,2768.1660899653975,4152.249134948097,289.0,245.42310404686842,640.0,53.0,1445.0,481.6666666666667,198.1649144862262,699.0,311.0,752.0,752.0,0.0,752.0,752.0,0,0,0,0,92,52,2768.1660899653975,1384.0830449826988,0.0,2.0,0.5714285714285715,0.9759000729485333,0.9523809523809526,1,2,0,2,5,0,0,0,0.0,0.6666666666666666,0.5,1.0,0,0,0,0,0,0,0,0,0,0,8192,516,1,20,0,0,0,0,1.430325851587466E15,0.0,1.430325851587466E15,1.430325851587466E15,NeedManualLabel
131.202.6.26-131.202.240.87-13111-64716-6,131.202.6.26,13111,131.202.240.87,64716,6,29/04/2015 01:44:11 PM,31,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,64516.12903225806,31.0,0.0,31.0,31.0,31.0,31.0,0.0,31.0,31.0,0,0,0,0,0,0,0,0,0,40,0,64516.12903225806,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,1.430325851589252E15,0.0,1.430325851589252E15,1.430325851589252E15,NeedManualLabel
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,6,29/04/2015 01:43:23 PM,96165946,40,39,4210.0,1967.0,378.0,0.0,105.25,117.65785904422957,229.0,0.0,50.435897435897445,57.83178641169708,64.23271705765781,0.8214966241792079,1232896.7435897437,3653471.9080303027,2.9798331E7,43.0,9.6165946E7,2465793.4871794865,4914593.331851395,2.9856235E7,387.0,9.6086396E7,2528589.368421052,4963837.819858652,2.9856127E7,19899.0,1,0,0,0,800,780,0.4159476578122571,0.4055489663669507,0.0,378.0,80.675,98.4272236448351,9687.918354430385,0,0,0,42,79,0,0,0,0.0,81.69620253164557,105.25,50.43589743589744,0,0,0,689,4,2356,0,53,0,24,16384,64800,22,20,4212181.0,4221001.619830819,9239074.0,57918.0,2.043322659275873E14,5.406123348517577E14,1.430325803394782E15,5122731.0,NeedManualLabel
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,6,29/04/2015 01:43:08 PM,90172779,4,4,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2661557098068365,0.08871856993561215,1.288182557142857E7,1.5851330185681168E7,2.9827987E7,172019.0,9.000003E7,3.000001E7,160.03749560649842,3.0000172E7,2.9999852E7,9.0000109E7,3.0000036333333332E7,724.6967181748055,3.0000497E7,2.9999201E7,1,0,0,0,80,80,0.04435928496780608,0.04435928496780608,0.0,6.0,3.3333333333333335,3.1622776601683795,10.0,0,0,0,4,8,0,0,0,1.0,3.75,6.0,0.0,0,0,0,0,0,0,0,3,0,0,64800,16384,3,20,172399.66666666666,339.2349235166293,172670.0,172019.0,3.5758146937096775E14,7.151628790867149E14,1.43032578800104E15,2.9827182E7,NeedManualLabel
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,6,29/04/2015 01:43:08 PM,99835719,5,5,24.0,215.0,6.0,0.0,4.8,2.6832815729997477,215.0,0.0,43.0,96.15092303249095,2.3939327767048986,0.1001645513265648,1.1092857666666666E7,1.4380411579105742E7,2.9829692E7,50875.0,9.9835719E7,2.495892975E7,1.0082582502309164E7,3.0000523E7,9835056.0,9.9614428E7,2.4903607E7,1.0193869351282239E7,3.0001367E7,9612803.0,1,0,0,0,100,100,0.0500822756632824,0.0500822756632824,0.0,215.0,22.27272727272727,63.99076637936274,4094.818181818181,0,0,0,5,10,0,0,0,1.0,24.5,4.8,43.0,0,0,0,0,0,0,0,2,0,21,64433,16384,3,20,171261.5,577.0514130762822,171675.0,170416.0,2.860651774202976E14,6.396611273088521E14,1.43032578800169E15,9612803.0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 01:43:28 PM,93001140,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.043010225466053424,3.100038E7,5.369224655166587E7,9.2998846E7,1144.0,9.300114E7,3.100038E7,5.369224655166587E7,9.2998846E7,1144.0,0,0,0,0,0,0,0,0,0,0,0,0.043010225466053424,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1150.0,0.0,1150.0,1150.0,7.151629505739175E14,1.0113930124881642E15,1.430325808148989E15,9.2998846E7,NeedManualLabel
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 01:43:49 PM,1514032,3,0,150.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,99.07320320838662,1.9814640641677321,757016.0,10050.815787785587,764123.0,749909.0,1514032.0,757016.0,10050.815787785587,764123.0,749909.0,0,0,0,0,0,0,0,0,0,24,0,1.9814640641677321,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,2,8,0,0,0,0,1.430325829347787E15,0.0,1.430325829347787E15,1.430325829347787E15,NeedManualLabel
131.202.240.87-64.12.27.65-64714-443-6,131.202.240.87,64714,64.12.27.65,443,6,29/04/2015 01:45:32 PM,119999708,2,1,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.10000024333392545,0.02500006083348136,5.9999854E7,8.477136211226082E7,1.19942259E8,57449.0,1.19999708E8,1.19999708E8,0.0,1.19999708E8,1.19999708E8,0,0,0,0,0,1,0,0,0,40,20,0.016666707222320908,0.008333353611160454,0.0,6.0,4.5,3.0,9.0,0,0,0,2,3,0,0,0,0.0,6.0,6.0,0.0,0,0,0,0,0,0,0,4,0,0,63808,16384,1,20,57449.0,0.0,57449.0,57449.0,7.151630259717145E14,1.0113930810130112E15,1.43032593200117E15,1.19942259E8,NeedManualLabel
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,6,29/04/2015 01:45:32 PM,119999585,27,25,2773.0,1537.0,341.0,0.0,102.7037037037037,109.69812242093327,245.0,0.0,61.480000000000004,71.67700700596623,35.91679087890179,0.4333348319496272,2352933.0392156863,5983542.926001654,2.7897227E7,1.0,9.3729487E7,3604980.2692307695,6480834.399064408,2.7897227E7,1.0,1.17476183E8,4894840.958333333,8082442.283788825,2.7976043E7,19402.0,1,0,0,0,540,500,0.22500077812769104,0.20833405382193615,0.0,341.0,82.32075471698114,93.96332623072965,8829.106676342526,0,0,0,30,52,0,0,0,0.0,83.90384615384616,102.70370370370371,61.48,0,0,0,694,4,1249,0,53,0,29,64800,63586,16,20,3288126.0,3120806.705157242,9244767.0,21034.0,2.0433229032478172E14,5.4061238080434225E14,1.430325932002643E15,9226508.0,NeedManualLabel
131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,6,29/04/2015 01:45:32 PM,119999693,2,1,148.0,0.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,1.2333364886191835,0.025000063958496962,5.99998465E7,8.477461975320175E7,1.19944555E8,55138.0,1.19999693E8,1.19999693E8,0.0,1.19999693E8,1.19999693E8,0,0,0,0,0,1,0,0,0,40,20,0.01666670930566464,0.00833335465283232,0.0,74.0,55.5,37.0,1369.0,0,0,0,2,3,0,0,0,0.0,74.0,74.0,0.0,0,0,0,0,0,0,0,49,0,0,64800,16384,1,20,55138.0,0.0,55138.0,55138.0,7.151630259730685E14,1.0113930810116791E15,1.430325932001582E15,1.19944555E8,NeedManualLabel
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,6,29/04/2015 01:45:38 PM,119999454,5,4,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.25000113750517566,0.0750003412515527,1.499993175E7,1.5852293221031466E7,2.9829041E7,171335.0,1.19999454E8,2.99998635E7,686.0449450773453,3.0000534E7,2.9999271E7,8.9999994E7,2.9999998E7,900.1838701065466,3.0000628E7,2.9998967E7,1,0,0,0,100,80,0.04166685625086261,0.03333348500069009,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,5,9,0,0,0,0.0,4.0,6.0,0.0,0,0,0,0,0,0,0,3,0,0,64218,16384,4,20,171469.25,147.1425046227887,171639.0,171335.0,2.860652114630524E14,6.3966119213092E14,1.430325938001685E15,2.9827632E7,NeedManualLabel
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,6,29/04/2015 01:45:38 PM,119999388,5,4,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.25000127500650254,0.07500038250195076,1.49999235E7,1.5851257318642229E7,2.9828287E7,171921.0,1.19999388E8,2.9999847E7,785.6958699136555,3.0000626E7,2.9999093E7,9.0000146E7,3.0000048666666668E7,647.865212319147,3.0000602E7,2.9999336E7,1,0,0,0,100,80,0.04166687916775042,0.03333350333420034,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,5,9,0,0,0,0.0,4.0,6.0,0.0,0,0,0,0,0,0,0,3,0,0,64800,16384,4,20,172430.0,586.1063612235126,173270.0,171921.0,2.860652114620716E14,6.396611921309121E14,1.43032593800069E15,2.9826903E7,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 01:45:53 PM,103501931,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.05796993294743458,2.07003862E7,2.8383785884458628E7,5.3991315E7,2272.0,1.03501931E8,2.07003862E7,2.8383785884458628E7,5.3991315E7,2272.0,0,0,0,0,0,0,0,0,0,0,0,0.05796993294743458,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5308.5,3683.319223200726,7913.0,2704.0,4.76775352212789E14,8.257990442049578E14,1.430325953149325E15,4.9497727E7,NeedManualLabel
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,6,29/04/2015 01:47:32 PM,114471342,27,26,3092.0,1362.0,394.0,0.0,114.5185185185185,110.844787660796,245.0,0.0,52.38461538461537,75.42258384493437,38.90930185827646,0.4629979790050858,2201371.961538461,4670609.382131788,1.9606594E7,38.0,1.14471342E8,4402743.923076923,5893987.575149482,1.9664666E7,463.0,1.02280091E8,4091203.640000001,5788819.810422003,1.9664026E7,19845.0,0,0,0,0,540,520,0.23586689496485502,0.22713108404023077,0.0,394.0,82.48148148148148,99.026533654244,9806.25436757512,0,0,0,29,53,0,0,0,0.0,84.0377358490566,114.51851851851852,52.38461538461539,0,0,0,681,4,8672,0,58,0,25,16384,64699,19,20,1060878.0,1241559.7964986423,3064972.0,20009.0,1.3002965062421375E14,4.3125952798094475E14,1.430326052059277E15,5138105.0,NeedManualLabel
131.202.240.87-131.202.6.26-64717-13000-6,131.202.240.87,64717,131.202.6.26,13000,6,29/04/2015 01:49:33 PM,449799,15,12,8325.0,5828.0,1350.0,0.0,555.0,570.2389223574875,1350.0,0.0,485.66666666666674,547.9253985938619,31465.165551724214,60.026811976015956,17299.96153846154,72532.84489745637,368564.0,3.0,81235.0,5802.5,15716.461305317378,59725.0,3.0,449129.0,40829.90909090909,127952.49809085755,426510.0,85.0,0,0,0,0,312,252,33.348228875564416,26.678583100451533,0.0,1350.0,505.4642857142857,549.4732482378923,301920.85052910045,1,2,0,12,26,0,0,0,0.0,524.1851851851852,555.0,485.6666666666667,0,0,0,14153,18,1094416,0,308,0,215,65535,32238,10,20,0,0,0,0,1.430326173280069E15,0.0,1.430326173280069E15,1.430326173280069E15,NeedManualLabel
