Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.6.26-32445-13000-6,131.202.240.242,32445,131.202.6.26,13000,6,29/04/2015 01:44:33 PM,1385501,10,13,1424.0,5707.0,506.0,0.0,142.4,200.56542296440054,1350.0,0.0,439.00000000000006,542.9651615588856,5146.874668441235,16.60049325117773,62977.318181818184,225544.74738927957,1067172.0,29.0,1385501.0,153944.55555555556,347450.5691771533,1067172.0,596.0,264378.0,22031.499999999996,27340.757599066434,79218.0,82.0,0,0,0,0,212,272,7.2176057613816225,9.38288748979611,0.0,1350.0,297.125,441.79104961705497,195179.33152173914,1,2,0,10,22,0,0,0,1.0,310.04347826086956,142.4,439.0,0,0,0,7131,12,27597,0,61,0,248,65535,32768,4,20,0,0,0,0,1.430325873047684E15,0.0,1.430325873047684E15,1.430325873047684E15,NeedManualLabel
131.202.6.26-131.202.240.242-13000-32445-6,131.202.6.26,13000,131.202.240.242,32445,6,29/04/2015 01:44:34 PM,39,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,40,0,51282.05128205128,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32768,0,0,20,0,0,0,0,1.430325874433675E15,0.0,1.430325874433675E15,1.430325874433675E15,NeedManualLabel
131.202.240.242-38.124.168.125-32446-80-6,131.202.240.242,32446,38.124.168.125,80,6,29/04/2015 01:44:34 PM,6880101,40,32,3873.0,28494.0,246.0,0.0,96.825,114.24173369635423,1350.0,0.0,890.4375,472.63823289440774,4704.436751727918,10.464962650984338,96902.83098591547,263126.6806837663,2021997.0,10.0,6880101.0,176412.84615384616,340106.34399618214,2021997.0,48.0,6745993.0,217612.67741935485,425022.26482655294,2170725.0,14.0,0,0,0,0,812,652,5.813868139435744,4.651094511548595,0.0,1350.0,443.3835616438357,511.3995402090497,261529.48972602742,1,2,0,34,71,0,0,0,0.0,449.5416666666667,96.825,890.4375,0,0,0,30990,46,6813,0,53,0,395,8192,1033,17,20,0,0,0,0,1.430325874268085E15,0.0,1.430325874268085E15,1.430325874268085E15,NeedManualLabel
38.124.168.125-131.202.240.242-80-32446-6,38.124.168.125,80,131.202.240.242,32446,6,29/04/2015 01:44:41 PM,20,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,40,0,99999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1033,0,0,20,0,0,0,0,1.430325881242599E15,0.0,1.430325881242599E15,1.430325881242599E15,NeedManualLabel
131.202.240.242-131.202.6.26-32447-13000-6,131.202.240.242,32447,131.202.6.26,13000,6,29/04/2015 01:45:03 PM,45218,10,10,2465.0,5708.0,1040.0,0.0,246.50000000000003,339.8768567845975,1350.0,0.0,570.8,556.3499697931949,180746.60533415896,442.3017382458313,2379.8947368421054,5180.882399046377,19239.0,28.0,45218.0,5024.222222222223,7162.489455101798,19943.0,423.0,44324.0,4924.888888888889,7201.90308953898,19609.0,95.0,0,0,0,0,212,212,221.15086912291565,221.15086912291565,0.0,1350.0,389.19047619047615,474.88257696483447,225513.46190476193,1,2,0,11,19,0,0,0,1.0,408.65,246.5,570.8,0,0,0,8173,13,187867,0,123,0,285,65535,32768,5,20,0,0,0,0,1.430325903640614E15,0.0,1.430325903640614E15,1.430325903640614E15,NeedManualLabel
131.202.6.26-131.202.240.242-13000-32447-6,131.202.6.26,13000,131.202.240.242,32447,6,29/04/2015 01:45:03 PM,264,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7575.757575757575,264.0,0.0,264.0,264.0,264.0,264.0,0.0,264.0,264.0,0,0,0,0,0,0,0,0,0,40,0,7575.757575757575,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32768,0,0,20,0,0,0,0,1.430325903686053E15,0.0,1.430325903686053E15,1.430325903686053E15,NeedManualLabel
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 01:43:07 PM,118296669,118,0,5900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,49.87460805003732,0.9974921610007464,1011082.641025641,1730917.4327412797,1.2037392E7,57.0,1.18296669E8,1011082.641025641,1730917.4327412797,1.2037392E7,57.0,0,0,0,0,0,0,0,0,0,944,0,0.9974921610007464,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.42372881355932,50.0,0.0,0,0,0,427,8,147,1,50,0,0,0,0,117,8,1.5042588000000002E7,1.786623498480076E7,4.4842886E7,1501496.0,2.3838763759475397E14,5.839280542658964E14,1.430325787134464E15,5055562.0,NeedManualLabel
131.202.240.242-178.237.19.227-31776-443-6,131.202.240.242,31776,178.237.19.227,443,6,29/04/2015 01:43:21 PM,119994188,5,4,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2500121089198087,0.07500363267594261,1.49992735E7,1.5848820554706262E7,2.9826614E7,172737.0,1.19994188E8,2.9998547E7,1306.6233836368713,2.999994E7,2.9997202E7,8.9993829E7,2.9997943E7,3740.021256624085,3.0000858E7,2.9993726E7,1,0,0,0,100,80,0.04166868481996812,0.03333494785597449,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,5,9,0,0,0,0.0,4.0,6.0,0.0,0,0,0,0,0,0,0,3,0,0,64800,16384,4,20,174059.5,1813.9247503686609,176706.0,172737.0,2.860651842595874E14,6.396611313108589E14,1.430325801999987E15,2.9820989E7,NeedManualLabel
131.202.240.242-178.237.18.202-31773-443-6,131.202.240.242,31773,178.237.18.202,443,6,29/04/2015 01:43:22 PM,119994387,5,4,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2500116942970007,0.07500350828910023,1.4999298375E7,1.584920124892891E7,2.9827354E7,172005.0,1.19994387E8,2.999859675E7,1463.752113576876,3.0000044E7,2.9996843E7,8.999628E7,2.999876E7,2538.0782099848698,3.0000945E7,2.9995976E7,1,0,0,0,100,80,0.04166861571616679,0.033334892572933435,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,5,9,0,0,0,0.0,4.0,6.0,0.0,0,0,0,0,0,0,0,3,0,0,64319,16384,4,20,173728.25,1812.2272438448044,176107.0,172005.0,2.86065184260061E14,6.396611313110659E14,1.430325802000831E15,2.9821865E7,NeedManualLabel
131.202.240.242-205.188.12.43-31783-443-6,131.202.240.242,31783,205.188.12.43,443,6,29/04/2015 01:43:23 PM,96254734,44,44,2744.0,5764.0,202.0,0.0,62.36363636363637,75.29943046484355,394.0,0.0,130.99999999999991,111.9688494886589,88.39045776179694,0.9142407478888259,1106376.252873563,3479131.42190769,2.9818677E7,26.0,9.6254734E7,2238482.186046512,4724669.363524355,2.9839736E7,12427.0,9.6170172E7,2236515.627906977,4729757.865306189,2.9851357E7,34.0,1,0,0,0,880,880,0.45712037394441296,0.45712037394441296,0.0,394.0,97.50561797752812,100.67150942043516,10134.752808988764,0,0,0,51,88,0,0,0,1.0,98.61363636363636,62.36363636363637,131.0,0,0,0,850,4,1873,0,31,0,65,64518,16384,18,20,4223809.0,4262324.663143811,9278209.0,30629.0,2.0433226590545672E14,5.40612334771899E14,1.430325803191549E15,5152485.0,NeedManualLabel
