Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.194.196.16-10753-465-6,131.202.240.87,10753,173.194.196.16,465,6,25/05/2015 01:52:51 PM,2539884,14,21,1965.0,4490.0,1294.0,0.0,140.35714285714286,336.1347273714142,1350.0,0.0,213.8095238095238,417.39005966213654,2541.4546491099595,13.780156889054776,74702.4705882353,178477.11558411736,920076.0,40.0,2492285.0,191714.23076923078,288407.6566812313,967704.0,927.0,2492922.0,124646.10000000002,222262.72873996856,920076.0,48.0,0,0,0,0,292,432,5.512062755621911,8.268094133432866,0.0,1350.0,179.30555555555551,379.1533289124557,143757.24682539684,1,2,0,20,34,0,0,0,1.0,184.42857142857142,140.35714285714286,213.8095238095238,0,0,0,6455,22,2590,0,56,0,128,8192,364,10,20,0,0,0,0,1.432572771491166E15,0.0,1.432572771491166E15,1.432572771491166E15,NeedManualLabel
131.202.240.87-173.194.196.16-10753-465-6,131.202.240.87,10753,173.194.196.16,465,6,25/05/2015 01:52:54 PM,4277,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,7248.071077858312,701.4262333411269,2138.5,2462.8529188727452,3880.0,397.0,4277.0,2138.5,2462.8529188727452,3880.0,397.0,0,0,0,0,0,0,0,0,0,60,0,701.4262333411269,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,16432,0,1,20,0,0,0,0,1.432572774031094E15,0.0,1.432572774031094E15,1.432572774031094E15,NeedManualLabel
131.202.240.87-173.194.196.16-10759-465-6,131.202.240.87,10759,173.194.196.16,465,6,25/05/2015 01:53:11 PM,3150418,11,19,2227.0,884.0,1328.0,0.0,202.45454545454544,400.34669066606847,239.0,0.0,46.526315789473685,63.47385150249986,987.4880095276245,9.522545897084132,108635.10344827586,294380.3144035116,1538128.0,94.0,3102064.0,310206.4,487960.8213956891,1589014.0,979.0,3102800.0,172377.7777777778,362471.73303024296,1538128.0,169.0,0,0,0,0,232,392,3.491600162264182,6.030945734819951,0.0,1328.0,100.35483870967741,248.66892962157493,61836.23655913978,1,2,0,18,29,0,0,0,1.0,103.7,202.45454545454547,46.526315789473685,0,0,0,2909,15,1986,0,74,0,29,8192,365,9,20,0,0,0,0,1.432572791057692E15,0.0,1.432572791057692E15,1.432572791057692E15,NeedManualLabel
131.202.240.87-173.194.196.16-10759-465-6,131.202.240.87,10759,173.194.196.16,465,6,25/05/2015 01:53:14 PM,1878,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,16506.92225772098,1597.444089456869,939.0,1152.5840533340725,1754.0,124.0,1878.0,939.0,1152.5840533340725,1754.0,124.0,0,0,0,0,0,0,0,0,0,60,0,1597.444089456869,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,16316,0,1,20,0,0,0,0,1.432572794208154E15,0.0,1.432572794208154E15,1.432572794208154E15,NeedManualLabel
131.202.240.87-173.194.196.16-10761-465-6,131.202.240.87,10761,173.194.196.16,465,6,25/05/2015 01:53:36 PM,2619634,11,19,2227.0,884.0,1328.0,0.0,202.45454545454544,400.34669066606847,239.0,0.0,46.526315789473685,63.47385150249986,1187.5704774025685,11.45198146000548,90332.20689655172,211626.43511155946,1049082.0,123.0,2572039.0,257203.89999999997,349548.62919880927,1097015.0,2165.0,2572664.0,142925.77777777778,256857.12419451622,1049082.0,133.0,0,0,0,0,232,392,4.199059868668677,7.252921591336805,0.0,1328.0,100.35483870967741,248.66892962157493,61836.23655913978,1,2,0,18,29,0,0,0,1.0,103.7,202.45454545454547,46.526315789473685,0,0,0,2909,15,2040,0,74,0,29,8192,365,9,20,0,0,0,0,1.432572816541264E15,0.0,1.432572816541264E15,1.432572816541264E15,NeedManualLabel
131.202.240.87-173.194.196.16-10761-465-6,131.202.240.87,10761,173.194.196.16,465,6,25/05/2015 01:53:39 PM,2428,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,12767.710049423393,1235.5848434925865,1214.0,1545.7354236737929,2307.0,121.0,2428.0,1214.0,1545.7354236737929,2307.0,121.0,0,0,0,0,0,0,0,0,0,60,0,1235.5848434925865,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,16316,0,1,20,0,0,0,0,1.432572819160937E15,0.0,1.432572819160937E15,1.432572819160937E15,NeedManualLabel
131.202.240.87-216.58.219.206-10757-80-6,131.202.240.87,10757,216.58.219.206,80,6,25/05/2015 01:52:51 PM,60971628,5,3,541.0,779.0,541.0,0.0,108.2,241.94255516547724,779.0,0.0,259.6666666666667,449.7558596987185,21.64941372403571,0.13120856802445885,8710232.57142857,2.298535765804165E7,6.0836106E7,86.0,6.0971628E7,1.5242907E7,3.0395499218757186E7,6.0836106E7,2314.0,51616.0,25808.0,5399.467381140477,29626.0,21990.0,0,0,0,0,112,72,0.08200535501528677,0.04920321300917207,0.0,779.0,146.66666666666666,297.05260476891965,88240.25,1,2,0,2,7,0,0,0,0.0,165.0,108.2,259.6666666666667,0,0,0,0,0,0,0,67,0,97,8192,344,1,20,135522.0,0.0,135522.0,135522.0,7.16286416218383E14,1.0129818783244108E15,1.43257277160066E15,6.0836106E7,NeedManualLabel
131.202.240.87-173.194.196.16-10763-465-6,131.202.240.87,10763,173.194.196.16,465,6,25/05/2015 01:53:55 PM,2275547,12,18,2227.0,878.0,1296.0,0.0,185.58333333333334,376.27394718919,239.0,0.0,48.77777777777778,64.12813969431512,1364.507083351827,13.183643317408958,78467.1379310345,180677.6544745057,854196.0,37.0,2228377.0,202579.7272727273,293845.0835988551,901611.0,959.0,2227954.0,131056.11764705883,223471.3811245979,854196.0,37.0,0,0,0,0,252,372,5.273457326963583,7.910185990445374,0.0,1296.0,100.16129032258064,243.0661222485483,59081.13978494624,1,2,0,19,29,0,0,0,1.0,103.5,185.58333333333334,48.77777777777778,0,0,0,3105,19,1394,0,74,0,29,8192,364,10,20,0,0,0,0,1.432572835788161E15,0.0,1.432572835788161E15,1.432572835788161E15,NeedManualLabel
131.202.240.87-173.194.196.16-10763-465-6,131.202.240.87,10763,173.194.196.16,465,6,25/05/2015 01:53:58 PM,2048,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,15136.71875,1464.84375,1024.0,1313.8043994446052,1953.0,95.0,2048.0,1024.0,1313.8043994446052,1953.0,95.0,0,0,0,0,0,0,0,0,0,60,0,1464.84375,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,16318,0,1,20,0,0,0,0,1.432572838063742E15,0.0,1.432572838063742E15,1.432572838063742E15,NeedManualLabel
131.202.240.87-173.194.196.16-10765-465-6,131.202.240.87,10765,173.194.196.16,465,6,25/05/2015 01:54:08 PM,2382589,12,20,2227.0,884.0,1296.0,0.0,185.58333333333334,376.27394718919,239.0,0.0,44.2,62.65074452449615,1305.722472486862,13.430767958720535,76857.70967741933,175129.2309656298,854198.0,54.0,2335134.0,212284.90909090912,289986.59874361596,901653.0,882.0,2335498.0,122920.94736842107,212856.67964370185,854198.0,137.0,0,0,0,0,252,412,5.0365379845202005,8.394229974200334,0.0,1296.0,94.27272727272725,236.5814173713873,55970.76704545455,1,2,0,19,31,0,0,0,1.0,97.21875,185.58333333333334,44.2,0,0,0,3111,19,1332,0,69,0,27,8192,364,10,20,0,0,0,0,1.432572848540335E15,0.0,1.432572848540335E15,1.432572848540335E15,NeedManualLabel
131.202.240.87-173.194.196.16-10765-465-6,131.202.240.87,10765,173.194.196.16,465,6,25/05/2015 01:54:10 PM,3806,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,8145.03415659485,788.2291119285339,1903.0,2552.6554800834365,3708.0,98.0,3806.0,1903.0,2552.6554800834365,3708.0,98.0,0,0,0,0,0,0,0,0,0,60,0,788.2291119285339,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,16316,0,1,20,0,0,0,0,1.432572850922956E15,0.0,1.432572850922956E15,1.432572850922956E15,NeedManualLabel
