Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-209.148.205.35-50736-443-6,131.202.240.150,50736,209.148.205.35,443,6,30/03/2015 10:11:46 AM,5059962,7,4,645.0,154.0,517.0,0.0,92.14285714285714,189.86436261309333,154.0,0.0,38.5,77.0,157.90632419769162,2.173929369430047,505996.2,1562554.4560236258,4952741.0,9.0,5059962.0,843327.0,2043772.8475628598,5015102.0,45.0,85551.0,28517.0,31525.721704665226,62540.0,294.0,0,0,0,0,232,136,1.3834095987282118,0.7905197707018353,0.0,517.0,66.58333333333333,149.61736550483056,22385.356060606064,1,2,0,4,10,0,0,0,0.0,72.63636363636364,92.14285714285714,38.5,0,0,0,0,0,0,0,58,0,14,29200,486,3,32,0,0,0,0,1.427721106237653E15,0.0,1.427721106237653E15,1.427721106237653E15,NeedManualLabel
209.148.205.35-131.202.240.150-443-50736-6,209.148.205.35,443,131.202.240.150,50736,6,30/03/2015 10:11:51 AM,111,3,1,53.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,0.0,0.0,0.0,0.0,477477.47747747746,36036.036036036036,37.0,26.514147167125703,63.0,10.0,111.0,55.5,10.606601717798213,63.0,48.0,0,0,0,0,0,0,0,0,0,96,20,27027.027027027027,9009.009009009009,0.0,53.0,10.6,23.70232056149777,561.8,1,0,1,1,3,0,0,0,0.0,13.25,17.666666666666668,0.0,0,0,0,0,0,0,0,13,0,0,486,0,1,32,0,0,0,0,1.427721111319071E15,0.0,1.427721111319071E15,1.427721111319071E15,NeedManualLabel
131.202.240.150-209.148.205.16-60602-443-6,131.202.240.150,60602,209.148.205.16,443,6,30/03/2015 10:12:30 AM,4145493,5,1,191.0,69.0,69.0,0.0,38.2,35.478162297390774,69.0,69.0,69.0,0.0,62.718716446994364,1.447354994930639,829098.6,1833517.0296803354,4108930.0,29.0,4145493.0,1036373.2500000001,2048404.7709326358,4108930.0,29.0,0,0,0,0,0,1,0,0,0,160,32,1.2061291624421993,0.24122583248843985,0.0,69.0,47.0,32.63433774416144,1065.0,1,0,0,4,6,0,0,0,0.0,54.833333333333336,38.2,69.0,0,0,0,0,0,0,0,31,0,11,2574,654,2,32,0,0,0,0,1.427721150786517E15,0.0,1.427721150786517E15,1.427721150786517E15,NeedManualLabel
131.202.240.150-209.148.205.35-50735-443-6,131.202.240.150,50735,209.148.205.35,443,6,30/03/2015 10:11:46 AM,75690073,10,8,53.0,0.0,53.0,0.0,5.300000000000001,16.760071598892413,0.0,0.0,0.0,0.0,0.7002239250053306,0.23781189905841418,4452357.2352941185,4969723.034579739,1.0026874E7,14.0,7.5690073E7,8410008.111111112,3515120.163971157,1.004806E7,14.0,7.0336021E7,1.0048003E7,456.0190054520795,1.0048733E7,1.0047208E7,0,0,0,0,320,256,0.13211772169911898,0.10569417735929519,0.0,53.0,2.7894736842105265,12.159033895139775,147.84210526315792,1,0,0,1,18,0,0,0,0.0,2.9444444444444446,5.3,0.0,0,0,0,0,0,0,0,2,0,0,595,553,1,32,21403.875,291.4042050387842,22082.0,21157.0,1.5863568686146288E14,4.759070322648282E14,1.427721106234338E15,5332622.0,NeedManualLabel
209.148.205.35-131.202.240.150-443-50735-6,209.148.205.35,443,131.202.240.150,50735,6,30/03/2015 10:13:01 AM,49,2,1,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0.0,0.0,0.0,0.0,1081632.6530612246,61224.48979591837,24.5,24.748737341529164,42.0,7.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,0,1,0,0,0,64,20,40816.32653061225,20408.163265306124,0.0,53.0,26.499999999999996,30.599564267050166,936.3333333333334,1,0,1,1,2,0,0,0,0.0,35.333333333333336,26.5,0.0,0,0,0,0,0,0,0,17,0,0,553,0,0,32,0,0,0,0,1.427721181945803E15,0.0,1.427721181945803E15,1.427721181945803E15,NeedManualLabel
131.202.240.150-173.194.123.127-35362-443-6,131.202.240.150,35362,173.194.123.127,443,6,30/03/2015 10:12:22 AM,59804012,3,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,1.053441030009826,0.11704900333442513,9967335.333333332,1.815739112312909E7,4.5030977E7,11.0,5.9804001E7,2.99020005E7,2.1431053842491847E7,4.5056044E7,1.4747957E7,5.9778945E7,1.9926315E7,2.29744959849055E7,4.505639E7,98.0,0,0,0,0,96,128,0.05016385857189648,0.06688514476252864,0.0,63.0,7.875,22.273863607376246,496.125,1,0,0,1,7,0,0,0,1.0,9.0,0.0,15.75,0,0,0,0,0,0,0,0,0,9,237,350,0,32,25240.0,244.65894629054543,25413.0,25067.0,4.75907067265266E14,8.242951684365484E14,1.427721142042364E15,1.4722457E7,NeedManualLabel
131.202.240.150-24.156.140.67-40021-443-6,131.202.240.150,40021,24.156.140.67,443,6,30/03/2015 10:11:47 AM,117573244,6,3,207.0,207.0,69.0,0.0,34.5,37.79285646785646,69.0,69.0,69.0,0.0,3.5212092982651733,0.07654802822315594,1.4696655500000002E7,2.7193071840172984E7,5.898199E7,35.0,1.17573244E8,2.35146488E7,3.2169403246237863E7,5.898199E7,20818.0,1.17549978E8,5.8774989E7,322613.2262756752,5.9003111E7,5.8546867E7,1,0,0,0,192,96,0.05103201881543729,0.025516009407718646,0.0,69.0,48.3,33.33016651623571,1110.8999999999999,0,0,0,6,9,0,0,0,0.0,53.666666666666664,34.5,69.0,0,0,0,0,0,0,0,23,0,23,602,846,2,32,22049.0,1740.89689528128,23280.0,20818.0,4.75907074915278E14,8.242951316697982E14,1.42772110723779E15,5.8526054E7,NeedManualLabel
131.202.240.150-24.156.140.67-40021-443-6,131.202.240.150,40021,24.156.140.67,443,6,30/03/2015 10:13:48 AM,7292,3,0,122.0,0.0,69.0,0.0,40.66666666666667,36.11555528208494,0,0,0,0,16730.663741086122,411.4097641250686,3646.0,5095.4114652302615,7249.0,43.0,7292.0,3646.0,5095.4114652302615,7249.0,43.0,0,0,0,0,0,1,0,0,0,96,0,411.4097641250686,0.0,0.0,69.0,47.75,32.714675605911175,1070.2499999999998,1,0,0,2,3,0,0,0,0.0,63.666666666666664,40.666666666666664,0.0,0,0,0,0,0,0,1,40,0,0,602,0,1,32,0,0,0,0,1.427721228925799E15,0.0,1.427721228925799E15,1.427721228925799E15,NeedManualLabel
24.156.140.67-131.202.240.150-443-40021-6,24.156.140.67,443,131.202.240.150,40021,6,30/03/2015 10:13:48 AM,92,2,1,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0.0,0.0,0.0,0.0,576086.9565217391,32608.695652173912,46.0,48.08326112068523,80.0,12.0,92.0,92.0,0.0,92.0,92.0,0,0,0,0,0,1,0,0,0,64,20,21739.130434782608,10869.565217391304,0.0,53.0,26.499999999999996,30.599564267050166,936.3333333333334,1,0,1,1,2,0,0,0,0.0,35.333333333333336,26.5,0.0,0,0,0,0,0,0,0,17,0,0,846,0,0,32,0,0,0,0,1.427721228946757E15,0.0,1.427721228946757E15,1.427721228946757E15,NeedManualLabel
131.202.240.150-173.252.100.27-56772-443-6,131.202.240.150,56772,173.252.100.27,443,6,30/03/2015 10:12:00 AM,61176393,12,12,1277.0,977.0,567.0,0.0,106.41666666666667,205.90353360618937,424.0,0.0,81.41666666666667,118.37187805873285,36.84427749769425,0.3923081898600985,2659843.1739130435,1.2263359055706045E7,5.8897684E7,11.0,6.1176393E7,5561490.272727273,1.7694854651480902E7,5.8897684E7,32.0,6.1002386E7,5545671.454545454,1.7745633244809102E7,5.9034311E7,11.0,0,0,0,0,392,392,0.19615409493004926,0.19615409493004926,0.0,567.0,90.16000000000001,162.36627318093701,26362.806666666667,0,2,0,14,23,0,0,0,1.0,93.91666666666667,106.41666666666667,81.41666666666667,0,0,0,2025,9,4326,0,53,0,40,29200,64,5,32,2104602.0,0.0,2104602.0,2104602.0,7.13860589841811E14,1.0095512445040429E15,1.427721120785938E15,5.8897684E7,NeedManualLabel
131.202.240.150-173.252.100.27-56404-443-6,131.202.240.150,56404,173.252.100.27,443,6,30/03/2015 10:11:45 AM,118713925,253,209,172221.0,104109.0,2676.0,0.0,680.7154150197629,954.9147254994658,5352.0,0.0,498.1291866028708,861.6532786763258,2327.696603410257,3.891708575889475,257513.93709327537,2190730.3072568593,3.3122346E7,0.0,1.18713925E8,471087.0039682538,2948720.472737782,3.3122346E7,2.0,1.18575724E8,570075.596153846,3253890.7214588197,3.329642E7,2.0,1,0,0,0,8264,6688,2.1311737439394745,1.7605348319500007,0.0,5352.0,599.3218142548595,916.8271174605306,840571.9633109857,0,0,0,213,462,0,0,0,0.0,600.6190476190476,680.7154150197629,498.1291866028708,0,0,0,34170,35,52573,0,372,0,225,1444,2043,130,32,2112234.8333333335,4096503.425146983,1.0446399E7,187325.0,2.0396017307675803E14,5.396278486352616E14,1.427721105659936E15,7733171.0,NeedManualLabel
131.202.240.87-131.202.240.150-63222-37736-17,131.202.240.87,63222,131.202.240.150,37736,17,30/03/2015 10:12:03 AM,119992588,4381,388,1366715.0,26692.0,1179.0,64.0,311.96416343300507,265.23683453813953,937.0,46.0,68.79381443298969,44.62295399965581,11612.442261850374,39.74412152857308,25166.230704698006,15622.930554562949,100685.0,3.0,1.19992588E8,27395.568036529694,14730.009706856395,100685.0,7.0,1.19985732E8,310040.6511627906,166892.60479543105,485144.0,30.0,0,0,0,0,35048,3104,36.510588470681206,3.2335330578918757,46.0,1179.0,292.1406708595401,263.0602259012498,69200.68245121656,0,0,0,0,0,0,0,0,0.0,292.2019291256029,311.96416343300615,68.79381443298969,0,0,0,1393407,4769,11612,0,286,0,5,0,0,4380,8,0,0,0,0,1.427721123604261E15,0.0,1.427721123604261E15,1.427721123604261E15,NeedManualLabel
131.202.240.150-131.202.240.87-35612-63221-17,131.202.240.150,35612,131.202.240.87,63221,17,30/03/2015 10:12:04 AM,119994245,6205,6206,423474.0,683114.0,937.0,54.0,68.2472199838841,12.263144532332532,781.0,64.0,110.07315501127945,10.165724177150935,9222.008938845358,103.42996032851408,9669.157534246613,13241.324198569891,1359995.0,5.0,1.19994245E8,19341.43214055453,17458.72830855476,1361516.0,36.0,1.19989135E8,19337.491539081406,17467.811765890692,1359995.0,10.0,0,0,0,0,49640,49648,51.7108132977544,51.71914703075968,54.0,937.0,89.16339026748321,23.75335325197014,564.2217907128804,0,0,0,0,0,0,0,0,1.0,89.17057449037145,68.24721998388397,110.07315501127941,0,0,0,1106416,12409,9326,0,34,0,55,0,0,6204,8,0,0,0,0,1.427721124058486E15,0.0,1.427721124058486E15,1.427721124058486E15,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,30/03/2015 10:12:03 AM,119978437,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.15002695859423473,7057555.117647059,1.061783049968604E7,3.0799123E7,6.0,1.19978437E8,7057555.117647059,1.061783049968604E7,3.0799123E7,6.0,0,0,0,0,0,0,0,0,0,0,0,0.15002695859423473,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1500125.1666666665,2333117.5064891535,4834063.0,9.0,2.0396017636873072E14,5.396278550959814E14,1.427721123603444E15,5014861.0,NeedManualLabel
131.202.240.150-64.233.171.188-37692-5228-6,131.202.240.150,37692,64.233.171.188,5228,6,30/03/2015 10:11:48 AM,103083223,5,4,33.0,33.0,33.0,0.0,6.6,14.758048651498612,33.0,0.0,8.25,16.5,0.6402593756696955,0.0873080966822312,1.2885402875E7,2.0323867841364E7,4.5021598E7,16.0,1.03083223E8,2.577080575E7,2.2884159788987294E7,4.5060004E7,38863.0,1.03044835E8,3.4348278333333336E7,1.854992333496886E7,4.5060113E7,1.2928672E7,0,0,0,0,160,128,0.04850449815679511,0.03880359852543609,0.0,33.0,6.6000000000000005,13.91402170474087,193.60000000000002,0,0,0,2,9,0,0,0,0.0,7.333333333333333,6.6,8.25,0,0,0,0,0,0,0,3,0,3,631,366,1,32,38431.0,74.70609078247904,38515.0,38372.0,3.5693030282685475E14,7.138605370343316E14,1.427721108378352E15,1.2889825E7,NeedManualLabel
131.202.240.150-224.0.0.22-0-0-0,131.202.240.150,0,224.0.0.22,0,0,30/03/2015 10:12:49 AM,6864039,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5827472716865391,2288013.0,3143928.9993730774,5891976.0,108040.0,6864039.0,2288013.0,3143928.9993730774,5891976.0,108040.0,0,0,0,0,0,0,0,0,0,0,0,0.5827472716865391,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,108040.0,0.0,108040.0,108040.0,7.138605876531595E14,1.0095513163702134E15,1.427721169414343E15,5891976.0,NeedManualLabel
131.202.240.150-239.255.255.250-1900-1900-17,131.202.240.150,1900,239.255.255.250,1900,17,30/03/2015 10:12:49 AM,1999548,3,0,282.0,0.0,94.0,94.0,94.0,0.0,0,0,0,0,141.03187320334393,1.5003390766313185,999774.0,855.5992052357225,1000379.0,999169.0,1999548.0,999774.0,855.5992052357225,1000379.0,999169.0,0,0,0,0,0,0,0,0,0,24,0,1.5003390766313185,0.0,94.0,94.0,94.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,125.33333333333333,94.0,0.0,0,0,0,0,0,0,1,94,0,0,0,0,2,8,0,0,0,0,1.42772116991075E15,0.0,1.42772116991075E15,1.42772116991075E15,NeedManualLabel
