Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
31.13.73.7-131.202.240.87-443-64864-6,31.13.73.7,443,131.202.240.87,64864,6,29/04/2015 02:01:16 PM,2,3,0,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0,0,0,0,3.8E7,1500000.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,60,0,1500000.0,0.0,0.0,45.0,30.25,21.219095173922945,450.25000000000006,1,0,0,2,3,0,0,0,0.0,40.333333333333336,25.333333333333332,0.0,0,0,0,0,0,0,1,25,0,0,75,0,1,20,0,0,0,0,1.430326876839184E15,0.0,1.430326876839184E15,1.430326876839184E15,NeedManualLabel
131.202.240.87-31.13.73.7-64864-443-6,131.202.240.87,64864,31.13.73.7,443,6,29/04/2015 02:01:16 PM,827,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2418.3796856106405,827.0,0.0,827.0,827.0,827.0,827.0,0.0,827.0,827.0,0,0,0,0,0,0,0,0,0,40,0,2418.3796856106405,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16518,0,0,20,0,0,0,0,1.430326876839292E15,0.0,1.430326876839292E15,1.430326876839292E15,NeedManualLabel
131.202.240.87-173.252.100.27-64842-443-6,131.202.240.87,64842,173.252.100.27,443,6,29/04/2015 02:01:18 PM,118947138,145,213,43242.0,81558.0,1350.0,0.0,298.2206896551724,379.38935711375433,1350.0,0.0,382.90140845070425,495.96185817274073,1049.2055723106175,3.0097403436474446,333185.2605042018,1890405.2259258893,2.890834E7,0.0,1.18947138E8,826021.7916666669,2915015.800160672,2.8912648E7,5.0,1.18811205E8,560430.2122641512,2441699.326218614,2.8908391E7,0.0,1,0,0,0,2900,4260,1.2190289101365348,1.7907114335109098,0.0,1350.0,349.9080779944293,453.7602484078156,205898.36303512251,0,0,0,233,358,0,0,0,1.0,350.8854748603352,298.2206896551724,382.90140845070425,0,0,0,6442,13,7839,0,120,0,227,16526,1103,70,20,1.392896525E7,1.2295581723644186E7,2.7001751E7,996668.0,2.860653876594228E14,6.396616191398652E14,1.430326878054878E15,7633229.0,NeedManualLabel
131.202.240.87-209.148.205.35-64872-443-6,131.202.240.87,64872,209.148.205.35,443,6,29/04/2015 02:01:18 PM,81982,2,1,414.0,973.0,414.0,0.0,207.0,292.74220741123065,973.0,973.0,973.0,0.0,16918.347930033422,36.59339855090142,40991.0,20603.677390213623,55560.0,26422.0,81982.0,81982.0,0.0,81982.0,81982.0,0,0,0,0,0,1,0,0,0,40,20,24.39559903393428,12.19779951696714,0.0,973.0,450.25,399.4248990736557,159540.25000000003,0,0,0,2,3,0,0,0,0.0,600.3333333333334,207.0,973.0,0,0,0,0,0,0,0,138,0,324,16304,591,0,20,0,0,0,0,1.430326878208596E15,0.0,1.430326878208596E15,1.430326878208596E15,NeedManualLabel
131.202.240.87-173.194.210.188-64796-5228-6,131.202.240.87,64796,173.194.210.188,5228,6,29/04/2015 02:01:13 PM,90127028,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.033286352236090604,0.06657270447218121,1.80254056E7,2.462474550287406E7,4.5005385E7,41998.0,9.008496E7,4.504248E7,6933.889096315285,4.5047383E7,4.5037577E7,9.0084991E7,4.50424955E7,7010.963735464618,4.5047453E7,4.5037538E7,0,0,0,0,60,96,0.033286352236090604,0.033286352236090604,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,0,0,0,0,254,361,2,20,42017.5,27.577164466275352,42037.0,41998.0,4.767756546293494E14,8.257995796868572E14,1.430326873887123E15,4.499554E7,NeedManualLabel
131.202.240.87-209.148.205.35-64882-443-6,131.202.240.87,64882,209.148.205.35,443,6,29/04/2015 02:03:25 PM,13543288,5,4,564.0,126.0,517.0,0.0,112.8,226.86934565956682,126.0,0.0,31.5,63.0,50.94774621938188,0.6645358202528071,1692911.0,4743058.159381049,1.3431262E7,0.0,1.3543288E7,3385822.0,6738394.801649871,1.3493402E7,1889.0,89446.0,29815.333333333332,31419.124388393342,62624.0,0.0,0,0,0,0,112,92,0.3691865668071151,0.2953492534456921,0.0,517.0,69.0,162.5368334323707,26418.222222222226,1,2,0,3,8,0,0,0,0.0,76.66666666666667,112.8,31.5,0,0,0,0,0,0,0,62,0,14,8192,490,2,20,112026.0,0.0,112026.0,112026.0,7.151635093577025E14,1.0113939152533279E15,1.430327005284143E15,1.3431262E7,NeedManualLabel
209.148.205.35-131.202.240.87-443-64882-6,209.148.205.35,443,131.202.240.87,64882,6,29/04/2015 02:03:38 PM,89,2,0,27.0,0.0,27.0,0.0,13.5,19.091883092036785,0,0,0,0,303370.78651685396,22471.91011235955,89.0,0.0,89.0,89.0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,0,1,0,0,0,40,0,22471.91011235955,0.0,0.0,27.0,18.0,15.588457268119896,243.0,1,0,0,1,2,0,0,0,0.0,27.0,13.5,0.0,0,0,0,0,0,0,1,13,0,0,490,0,0,20,0,0,0,0,1.430327018850634E15,0.0,1.430327018850634E15,1.430327018850634E15,NeedManualLabel
131.202.240.87-74.125.226.174-64878-443-6,131.202.240.87,64878,74.125.226.174,443,6,29/04/2015 02:01:16 PM,193556,11,15,1989.0,5198.0,1350.0,0.0,180.8181818181818,397.73177348102786,1350.0,0.0,346.53333333333336,522.8431705132821,37131.37283266858,134.32804976337596,7742.240000000001,12026.917090011055,44391.0,0.0,167184.0,16718.399999999998,13448.211663017999,44491.0,12.0,167638.0,11974.142857142857,15645.739119434613,44517.0,0.0,0,0,0,0,232,312,56.83109797681291,77.49695178656306,0.0,1350.0,266.18518518518516,466.4460589670856,217571.9259259259,0,2,0,14,25,0,0,0,1.0,276.4230769230769,180.8181818181818,346.53333333333336,0,0,0,7187,16,51350,0,76,0,199,8192,386,6,20,0,0,0,0,1.430326876714539E15,0.0,1.430326876714539E15,1.430326876714539E15,NeedManualLabel
131.202.240.87-74.125.226.174-64878-443-6,131.202.240.87,64878,74.125.226.174,443,6,29/04/2015 02:05:16 PM,84,1,1,55.0,0.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,654761.9047619049,23809.52380952381,84.0,0.0,84.0,84.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,11904.761904761905,11904.761904761905,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,1,0,0,1,2,0,0,0,1.0,55.0,55.0,0.0,0,0,0,0,0,0,0,27,0,0,386,386,0,20,0,0,0,0,1.430327116841993E15,0.0,1.430327116841993E15,1.430327116841993E15,NeedManualLabel
131.202.240.87-74.125.226.174-64878-443-6,131.202.240.87,64878,74.125.226.174,443,6,29/04/2015 02:05:16 PM,585,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3418.8034188034185,585.0,0.0,585.0,585.0,585.0,585.0,0.0,585.0,585.0,0,0,0,0,0,0,0,0,0,40,0,3418.8034188034185,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16201,0,0,20,0,0,0,0,1.430327116842146E15,0.0,1.430327116842146E15,1.430327116842146E15,NeedManualLabel
