Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
65.39.197.205-131.202.240.242-443-32590-6,65.39.197.205,443,131202240242,32590,6,29/04/2015 02:01:17 PM,85,2,0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0,0,0,0,623529.4117647058,23529.41176470588,85.0,0.0,85.0,85.0,85.0,85.0,0.0,85.0,85.0,0,0,0,0,0,1,0,0,0,40,0,23529.41176470588,0.0,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,1,0,0,1,2,0,0,0,0.0,53.0,26.5,0.0,0,0,0,0,0,0,1,26,0,0,45,0,0,20,0,0,0,0,1.430326877059423E15,0.0,1.430326877059423E15,1.430326877059423E15,NeedManualLabel
173.252.100.18-131.202.240.242-443-32597-6,173.252.100.18,443,131202240242,32597,6,29/04/2015 02:01:17 PM,113,3,1,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0.0,0.0,0.0,0.0,672566.3716814159,35398.23008849558,37.666666666666664,19.604421270043485,56.0,17.0,113.0,56.5,23.33452377915607,73.0,40.0,0,0,0,0,0,1,0,0,0,60,20,26548.672566371682,8849.557522123894,0.0,45.0,24.2,22.81885185542866,520.7,1,0,0,2,4,0,0,0,0.0,30.25,25.333333333333332,0.0,0,0,0,0,0,0,0,19,0,0,86,16537,1,20,0,0,0,0,1.430326877312571E15,0.0,1.430326877312571E15,1.430326877312571E15,NeedManualLabel
131.202.240.242-173.252.100.18-32597-443-6,131202240242,32597,173.252.100.18,443,6,29/04/2015 02:01:17 PM,646,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3095.9752321981423,646.0,0.0,646.0,646.0,646.0,646.0,0.0,646.0,646.0,0,0,0,0,0,0,0,0,0,40,0,3095.9752321981423,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16537,0,0,20,0,0,0,0,1.430326877312711E15,0.0,1.430326877312711E15,1.430326877312711E15,NeedManualLabel
173.252.100.18-131.202.240.242-443-32598-6,173.252.100.18,443,131202240242,32598,6,29/04/2015 02:01:17 PM,155,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,200000.0,12903.225806451614,155.0,0.0,155.0,155.0,155.0,155.0,0.0,155.0,155.0,0,0,0,0,0,1,0,0,0,40,0,12903.225806451614,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,92,0,0,20,0,0,0,0,1.430326877317932E15,0.0,1.430326877317932E15,1.430326877317932E15,NeedManualLabel
173.252.100.1-131.202.240.242-443-32593-6,173.252.100.1,443,131202240242,32593,6,29/04/2015 02:01:17 PM,116,3,1,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0.0,0.0,0.0,0.0,655172.4137931034,34482.75862068965,38.666666666666664,18.610033136277146,56.0,19.0,116.0,58.0,24.041630560342615,75.0,41.0,0,0,0,0,0,1,0,0,0,60,20,25862.068965517243,8620.689655172413,0.0,45.0,24.2,22.81885185542866,520.7,1,0,0,2,4,0,0,0,0.0,30.25,25.333333333333332,0.0,0,0,0,0,0,0,0,19,0,0,173,16514,1,20,0,0,0,0,1.430326877653348E15,0.0,1.430326877653348E15,1.430326877653348E15,NeedManualLabel
131.202.240.242-173.252.100.1-32593-443-6,131202240242,32593,173.252.100.1,443,6,29/04/2015 02:01:17 PM,691,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2894.356005788712,691.0,0.0,691.0,691.0,691.0,691.0,0.0,691.0,691.0,0,0,0,0,0,0,0,0,0,40,0,2894.356005788712,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16514,0,0,20,0,0,0,0,1.43032687765349E15,0.0,1.43032687765349E15,1.43032687765349E15,NeedManualLabel
131.202.240.242-173.252.100.18-32598-443-6,131202240242,32598,173.252.100.18,443,6,29/04/2015 02:01:17 PM,3256975,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.614066733702285,3256975.0,0.0,3256975.0,3256975.0,3256975.0,3256975.0,0.0,3256975.0,3256975.0,0,0,0,0,0,0,0,0,0,40,0,0.614066733702285,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16246,0,0,20,0,0,0,0,1.430326877318121E15,0.0,1.430326877318121E15,1.430326877318121E15,NeedManualLabel
131.202.240.242-65.39.197.205-32590-443-6,131202240242,32590,65.39.197.205,443,6,29/04/2015 02:01:17 PM,3532164,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.566225124314726,3532164.0,0.0,3532164.0,3532164.0,3532164.0,3532164.0,0.0,3532164.0,3532164.0,0,0,0,0,0,0,0,0,0,40,0,0.566225124314726,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16339,0,0,20,0,0,0,0,1.430326877059578E15,0.0,1.430326877059578E15,1.430326877059578E15,NeedManualLabel
54.230.55.141-131.202.240.242-80-32568-6,54.230.55.141,80,131202240242,32568,6,29/04/2015 02:01:36 PM,4868544,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6162006546515755,2434272.0,3442456.02611159,4868456.0,88.0,0,0,0,0,0,4868456.0,4868456.0,0.0,4868456.0,4868456.0,0,0,0,0,20,40,0.20540021821719184,0.4108004364343837,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,123,16445,0,20,0,0,0,0,1.430326896013845E15,0.0,1.430326896013845E15,1.430326896013845E15,NeedManualLabel
173.252.100.27-131.202.240.242-443-32576-6,173.252.100.27,443,131202240242,32576,6,29/04/2015 02:01:12 PM,91353729,163,124,59703.0,28727.0,1350.0,0.0,366.2760736196319,471.57134605910323,1286.0,0.0,231.6693548387096,320.2521801497022,967.9955155415714,3.141634207400554,319418.63286713295,1360489.321582935,1.2844742E7,7.0,9.1297192E7,563562.9135802465,1799764.9943213875,1.3028839E7,7.0,9.1348108E7,742667.5447154468,2005563.636640821,1.2844742E7,32.0,1,0,0,0,3260,2480,1.7842730864330671,1.3573611209674867,0.0,1350.0,308.71874999999983,417.1679790125492,174029.1227134147,0,0,0,178,287,0,0,0,0.0,309.79442508710804,366.2760736196319,231.66935483870967,0,0,0,6239,13,7761,0,208,0,100,437,16526,146,20,8992626.2,8555870.062756604,2.0246699E7,192844.0,2.38387819834077E14,5.839284969333274E14,1.430326872964897E15,5489522.0,NeedManualLabel
