Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.252.100.27-56637-443-6,131.202.240.150,56637,173.252.100.27,443,6,30/03/2015 09:42:00 AM,4278777,12,7,511.0,3580.0,208.0,0.0,42.58333333333333,70.68426381815935,1338.0,0.0,511.4285714285714,600.8754327764497,956.1143289309072,4.4405212050078795,237709.83333333334,904685.0092717842,3856766.0,8.0,4278777.0,388979.7272727273,1151823.2796051737,3856766.0,13.0,283989.0,47331.5,72790.57913974857,146399.0,37.0,0,0,0,0,392,232,2.8045397084260295,1.6359814965818504,0.0,1338.0,204.55,412.765190673316,170375.10263157892,1,2,0,8,18,0,0,0,0.0,215.31578947368422,42.583333333333336,511.42857142857144,0,0,0,4015,8,14251,0,26,0,188,29200,63,5,32,0,0,0,0,1.427719320044693E15,0.0,1.427719320044693E15,1.427719320044693E15,NeedManualLabel
173.252.100.27-131.202.240.150-443-56637-6,173.252.100.27,443,131.202.240.150,56637,6,30/03/2015 09:42:04 AM,82,3,2,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0.0,0.0,0.0,0.0,926829.268292683,60975.60975609756,20.5,22.781571499789035,54.0,4.0,82.0,41.0,31.11269837220809,63.0,19.0,24.0,24.0,0.0,24.0,24.0,1,0,0,0,96,40,36585.365853658535,24390.243902439022,0.0,45.0,20.166666666666664,22.67524347535582,514.1666666666667,1,0,2,2,3,0,0,0,0.0,24.2,25.333333333333332,0.0,0,0,0,0,0,0,0,15,0,0,63,0,1,32,0,0,0,0,1.427719324452593E15,0.0,1.427719324452593E15,1.427719324452593E15,NeedManualLabel
131.202.240.150-173.252.100.27-56638-443-6,131.202.240.150,56638,173.252.100.27,443,6,30/03/2015 09:42:05 AM,4291681,12,8,509.0,3581.0,206.0,0.0,42.416666666666664,70.25985318584839,1338.0,0.0,447.62500000000006,584.985454642128,953.0065258811176,4.660178610665612,225877.94736842104,873605.9870952169,3827495.0,15.0,4291681.0,390152.8181818182,1153576.4261240622,3863280.0,15.0,319780.0,45682.857142857145,65878.44068036364,141898.0,95.0,0,0,0,0,392,264,2.796107166399367,1.8640714442662445,0.0,1338.0,194.76190476190476,404.8280999093201,163885.79047619045,1,2,0,8,19,0,0,0,0.0,204.5,42.416666666666664,447.625,0,0,0,4014,8,14373,0,25,0,179,29200,63,5,32,0,0,0,0,1.427719325209101E15,0.0,1.427719325209101E15,1.427719325209101E15,NeedManualLabel
173.252.100.27-131.202.240.150-443-56638-6,173.252.100.27,443,131.202.240.150,56638,6,30/03/2015 09:42:09 AM,202,4,2,76.0,0.0,45.0,0.0,19.0,22.67156809750927,0.0,0.0,0.0,0.0,376237.62376237626,29702.970297029704,40.4,75.53343630472534,175.0,1.0,202.0,67.33333333333333,93.62869930386374,175.0,5.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,128,40,19801.980198019803,9900.990099009901,0.0,45.0,10.857142857142856,18.97743020387263,360.1428571428571,1,0,2,2,4,0,0,0,0.0,12.666666666666666,19.0,0.0,0,0,0,0,0,0,0,12,0,0,63,0,2,32,0,0,0,0,1.427719329628639E15,0.0,1.427719329628639E15,1.427719329628639E15,NeedManualLabel
131.202.240.150-209.148.205.32-51195-443-6,131.202.240.150,51195,209.148.205.32,443,6,30/03/2015 09:42:31 AM,5290085,5,1,191.0,69.0,69.0,0.0,38.2,35.478162297390774,69.0,69.0,69.0,0.0,49.14854865280992,1.134197276603306,1058017.0,2351477.1932105785,5264437.0,12.0,5290085.0,1322521.25,2627960.6209471473,5264437.0,12.0,0,0,0,0,0,1,0,0,0,160,32,0.9451643971694216,0.18903287943388433,0.0,69.0,47.0,32.63433774416144,1065.0,1,0,0,4,6,0,0,0,0.0,54.833333333333336,38.2,69.0,0,0,0,0,0,0,0,31,0,11,316,520,2,32,21632.0,0.0,21632.0,21632.0,7.13859678237098E14,1.0095500311491595E15,1.427719351209759E15,5264437.0,NeedManualLabel
131.202.240.150-199.16.157.105-35070-443-6,131.202.240.150,35070,199.16.157.105,443,6,30/03/2015 09:42:36 AM,5292715,5,1,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,46.0,46.0,0.0,31.930682079046385,1.1336336832797533,1058543.0,2323281.6906893793,5214205.0,13.0,5292715.0,1323178.75,2594219.1393496906,5214205.0,13.0,0,0,0,0,0,1,0,0,0,160,32,0.9446947360664611,0.1889389472132922,0.0,46.0,30.714285714285708,21.68497395059757,470.2380952380952,1,0,0,4,6,0,0,0,0.0,35.833333333333336,24.6,46.0,0,0,0,0,0,0,0,20,0,7,443,65,2,32,71746.0,0.0,71746.0,71746.0,7.138596807125335E14,1.0095500347209928E15,1.427719356210862E15,5214205.0,NeedManualLabel
199.16.157.105-131.202.240.150-443-35070-6,199.16.157.105,443,131.202.240.150,35070,6,30/03/2015 09:42:41 AM,53,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,584905.6603773584,56603.77358490566,26.5,28.991378028648448,47.0,6.0,53.0,53.0,0.0,53.0,53.0,0,0,0,0,0,1,0,0,0,64,20,37735.84905660377,18867.924528301886,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,10,0,0,65,0,0,32,0,0,0,0,1.427719361574852E15,0.0,1.427719361574852E15,1.427719361574852E15,NeedManualLabel
131.202.240.150-199.16.156.21-51454-443-6,131.202.240.150,51454,199.16.156.21,443,6,30/03/2015 09:42:37 AM,5295911,5,2,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,0.0,23.0,32.526911934581186,31.911412408554447,1.3217744784608352,882651.8333333334,2122209.3550712112,5214232.0,14.0,5295911.0,1323977.75,2593690.043508717,5214232.0,28.0,299.0,299.0,0.0,299.0,299.0,1,0,0,0,100,40,0.9441246274720251,0.37764985098881004,0.0,46.0,26.875,22.82503324985843,520.9821428571429,1,0,0,4,7,0,0,0,0.0,30.714285714285715,24.6,23.0,0,0,0,0,0,0,0,17,0,6,380,10558,2,20,70856.0,0.0,70856.0,70856.0,7.13859681213014E14,1.009550035428741E15,1.427719357211796E15,5214232.0,NeedManualLabel
199.16.156.21-131.202.240.150-443-51454-6,199.16.156.21,443,131.202.240.150,51454,6,30/03/2015 09:42:42 AM,12279,5,1,31.0,0.0,31.0,0.0,6.2,13.863621460498695,0.0,0.0,0.0,0.0,2524.6355566414204,488.6391399951136,2455.8,4761.486501083459,10915.0,5.0,12279.0,3069.75,5264.61909828242,10915.0,22.0,0,0,0,0,0,0,0,0,0,100,20,407.19928332926133,81.43985666585226,0.0,31.0,4.428571428571429,11.716898663286045,137.2857142857143,1,0,1,1,5,0,0,0,0.0,5.166666666666667,6.2,0.0,0,0,0,0,0,0,0,5,0,0,10604,0,1,20,0,0,0,0,1.427719362566665E15,0.0,1.427719362566665E15,1.427719362566665E15,NeedManualLabel
131.202.240.150-199.16.156.21-51530-443-6,131.202.240.150,51530,199.16.156.21,443,6,30/03/2015 09:42:45 AM,5289137,5,2,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,0.0,23.0,32.526911934581186,31.952282574643082,1.3234673255769325,881522.8333333334,2122480.5606050123,5213631.0,7.0,5289137.0,1322284.25,2594443.3323238306,5213631.0,7.0,247.0,247.0,0.0,247.0,247.0,1,0,0,0,100,40,0.9453338039835232,0.3781335215934093,0.0,46.0,26.875,22.82503324985843,520.9821428571429,1,0,0,4,7,0,0,0,0.0,30.714285714285715,24.6,23.0,0,0,0,0,0,0,0,17,0,6,338,5771,2,20,72049.0,0.0,72049.0,72049.0,7.138596852128775E14,1.009550041086252E15,1.427719365212124E15,5213631.0,NeedManualLabel
