Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.240.242-4491-50598-6,131.202.240.87,4491,131.202.240.242,50598,6,01/05/2015 11:37:09 AM,131067,794,1543,473.0,2200705.0,422.0,0.0,0.5957178841309807,15.060333703123584,1460.0,0.0,1426.250810110176,170.41551785751628,1.67942960470599E7,17830.575201995925,56.10744863013695,675.7544167111787,23318.0,12.0,131055.0,165.2648171500628,1160.486919090125,23354.0,32.0,130612.0,84.70298313878088,844.9859488236832,23701.0,13.0,0,0,0,0,15892,30872,6057.970351041834,11772.604850954092,0.0,1460.0,941.4790419161673,689.6001065878785,475548.30700601335,1,2,0,75,2336,0,0,0,1.0,941.8818998716303,0.5957178841309824,1426.250810110175,0,0,0,2201178,1544,16884601,0,0,0,941,65535,256,3,20,0,0,0,0,1.430491029808406E15,0.0,1.430491029808406E15,1.430491029808406E15,NeedManualLabel
131.202.240.87-131.202.240.242-4491-50598-6,131.202.240.87,4491,131.202.240.242,50598,6,01/05/2015 11:37:09 AM,6140,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,5048.859934853421,488.59934853420197,3070.0,4007.8812357653514,5904.0,236.0,6140.0,3070.0,4007.8812357653514,5904.0,236.0,0,0,0,0,0,0,0,0,0,60,0,488.59934853420197,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,32767,0,1,20,0,0,0,0,1.430491029939499E15,0.0,1.430491029939499E15,1.430491029939499E15,NeedManualLabel
131.202.240.87-131.202.240.242-4492-50599-6,131.202.240.87,4492,131.202.240.242,50599,6,01/05/2015 11:37:11 AM,121309,1653,3248,473.0,4625947.0,422.0,0.0,0.2861464004839671,10.438614891016936,1460.0,0.0,1424.2447660098503,172.62319365688856,3.813748361621974E7,40400.95953309318,24.75693877551019,68.91963884489122,3223.0,11.0,121281.0,73.41464891041174,122.49257870818323,3223.0,25.0,120545.0,37.12503849707423,96.32513428743802,3991.0,13.0,0,0,0,0,33072,64972,13626.359132463378,26774.600400629795,0.0,1460.0,943.782129742963,687.8852296929048,473186.0892296604,1,2,0,153,4900,0,0,0,1.0,943.9746990410121,0.28614640048396855,1424.2447660098521,0,0,0,4626420,3249,38433714,0,0,0,943,65535,256,3,20,0,0,0,0,1.430491031825671E15,0.0,1.430491031825671E15,1.430491031825671E15,NeedManualLabel
131.202.240.87-131.202.240.242-4492-50599-6,131.202.240.87,4492,131.202.240.242,50599,6,01/05/2015 11:37:11 AM,21135,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,1466.7612964277264,141.94464158978,10567.5,14630.746409530855,20913.0,222.0,21135.0,10567.5,14630.746409530855,20913.0,222.0,0,0,0,0,0,0,0,0,0,60,0,141.94464158978,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,32767,0,1,20,0,0,0,0,1.430491031947007E15,0.0,1.430491031947007E15,1.430491031947007E15,NeedManualLabel
131.202.240.87-131.202.240.242-4493-50600-6,131.202.240.87,4493,131.202.240.242,50600,6,01/05/2015 11:37:13 AM,163241,741,1428,504.0,2041093.0,422.0,0.0,0.6801619433198361,15.62928636906277,1460.0,0.0,1429.336834733895,159.22487652744712,1.2506643551558739E7,13287.103117476614,75.29566420664213,1274.118076859076,48486.0,12.0,163241.0,220.5959459459459,2178.627111178977,48486.0,28.0,133328.0,93.4323756131746,1400.523070543644,48546.0,13.0,0,0,0,0,14832,28572,4539.300788404874,8747.802329071741,0.0,1460.0,940.8281105990786,690.1055207215838,476245.6297304083,1,2,0,67,2168,0,0,0,1.0,941.2618718303365,0.680161943319838,1429.3368347338935,0,0,0,2041597,1430,12717932,0,0,0,941,65535,256,4,20,0,0,0,0,1.430491033025715E15,0.0,1.430491033025715E15,1.430491033025715E15,NeedManualLabel
131.202.240.87-131.202.240.242-4494-50601-6,131.202.240.87,4494,131.202.240.242,50601,6,01/05/2015 11:37:14 AM,3098673,20722,40760,504.0,5.7935693E7,422.0,0.0,0.024321976643181212,2.9562854485791,1460.0,0.0,1421.3859911678137,180.73168959743762,1.8697099371246982E7,19841.39662365148,50.400497714741,1565.632978421849,248961.0,0.0,3098673.0,149.5426379035764,2696.427307752471,249030.0,0.0,3046461.0,74.74327142471626,2175.833773314818,248979.0,12.0,0,0,0,0,414452,815212,6687.378758584724,13154.017865066757,0.0,1460.0,942.3124603548948,687.8153051677733,473089.8940230371,1,2,0,1882,61481,0,0,0,1.0,942.3277869945675,0.02432197664318116,1421.3859911678117,0,0,0,57936197,40762,18704548,0,0,0,942,65535,256,4,20,0,0,0,0,1.430491034146432E15,0.0,1.430491034146432E15,1.430491034146432E15,NeedManualLabel
131.202.240.87-131.202.240.242-4498-50603-6,131.202.240.87,4498,131.202.240.242,50603,6,01/05/2015 11:37:20 AM,34206306,51778,102358,504.0,1.45657889E8,422.0,0.0,0.009733863803159624,1.8702174090332937,1460.0,0.0,1423.023984446753,172.18244985640513,4258232.180931785,4506.069728780419,221.92432607778898,6491.847814649119,577797.0,0.0,3.4206306E7,660.6467350368004,11192.32036355771,577877.0,3.0,3.4162038E7,333.75380286644173,8726.855296770033,623886.0,12.0,0,0,0,0,1035572,2047172,1513.6975036123458,2992.372225168073,0.0,1460.0,944.9930451481474,686.6024290208694,471422.89553735795,1,2,0,4590,154135,0,0,0,1.0,944.9991760523175,0.009733863803159644,1423.0239844467458,0,0,0,145658393,102360,4258350,0,0,0,944,65535,256,4,20,0,0,0,0,1.430491040943829E15,0.0,1.430491040943829E15,1.430491040943829E15,NeedManualLabel
131.202.240.87-131.202.240.242-4471-21-6,131.202.240.87,4471,131.202.240.242,21,6,01/05/2015 11:38:04 AM,208,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,149038.46153846156,9615.384615384615,208.0,0.0,208.0,208.0,208.0,208.0,0.0,208.0,208.0,0,0,0,0,0,1,0,0,0,40,0,9615.384615384615,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,16168,0,0,20,0,0,0,0,1.43049108458813E15,0.0,1.43049108458813E15,1.43049108458813E15,NeedManualLabel
131.202.240.87-131.202.240.242-4499-50604-6,131.202.240.87,4499,131.202.240.242,50604,6,01/05/2015 11:37:55 AM,61591766,102061,202184,473.0,2.88020974E8,422.0,0.0,0.004634483299203334,1.328558498746443,1460.0,0.0,1424.5487971352707,166.15907514578433,4676297.916185745,4939.702492050642,202.4420070732688,5425.6582829672225,540603.0,5.0,6.1591725E7,603.4854497354536,9372.84578753664,540724.0,19.0,6.1590258E7,304.62629400098837,7277.664562870578,548166.0,12.0,0,0,0,0,2041964,4043692,1657.0559123113956,3282.646579739246,0.0,1460.0,946.6729127087867,686.1043649824793,470739.1996480111,1,2,0,8818,304244,0,0,0,1.0,946.6760242567667,0.004634483299203417,1424.5487971352827,0,0,0,288021447,202184,4676428,0,0,0,946,65535,256,3,20,0,0,0,0,1.430491075190846E15,0.0,1.430491075190846E15,1.430491075190846E15,NeedManualLabel
131.202.240.87-131.202.240.242-4499-50604-6,131.202.240.87,4499,131.202.240.242,50604,6,01/05/2015 11:38:56 AM,1138,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,27240.77328646749,2636.2038664323377,569.0,367.6955262170047,829.0,309.0,1138.0,569.0,367.6955262170047,829.0,309.0,0,0,0,0,0,0,0,0,0,60,0,2636.2038664323377,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,32759,0,1,20,0,0,0,0,1.430491136782644E15,0.0,1.430491136782644E15,1.430491136782644E15,NeedManualLabel
