Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.240.242-4491-50598-6,131.202.240.87,4491,131.202.240.242,50598,6,01/05/2015 11:37:14 AM,128151,1643,8,473.0,400.0,422.0,0.0,0.2878880097382821,10.470328965936508,137.0,0.0,50.0,43.40177744878988,6812.27614298757,12883.239303633996,77.6672727272726,252.3429139676224,2134.0,2.0,127806.0,77.83556638246044,253.67709397794252,2159.0,2.0,127978.0,18282.571428571428,18903.138080374756,45387.0,1001.0,0,0,0,0,32872,172,12820.81294722632,62.42635640767533,0.0,422.0,0.528450363196124,11.354900932483337,128.93377518651099,1,2,0,9,1650,0,0,0,0.0,0.5287704421562689,0.2878880097382836,50.0,0,0,0,873,9,6875,0,0,0,0,65535,256,3,20,0,0,0,0,1.430491034639215E15,0.0,1.430491034639215E15,1.430491034639215E15,NeedManualLabel
131.202.240.87-131.202.240.242-4491-50598-6,131.202.240.87,4491,131.202.240.242,50598,6,01/05/2015 11:37:14 AM,8696,86,1,31.0,0.0,31.0,0.0,0.36046511627906974,3.342815969306591,0.0,0.0,0.0,0.0,3564.8574057037717,10004.59981600736,101.11627906976744,637.7282736604924,5933.0,3.0,8696.0,102.30588235294118,641.559224589174,5933.0,3.0,0,0,0,0,0,0,0,0,0,1720,20,9889.604415823367,114.99540018399263,0.0,31.0,0.35227272727272724,3.3046111035119616,10.920454545454545,1,0,1,1,87,0,0,0,0.0,0.3563218390804598,0.36046511627906974,0.0,0,0,0,0,0,0,0,0,0,0,32768,0,1,20,0,0,0,0,1.430491034767572E15,0.0,1.430491034767572E15,1.430491034767572E15,NeedManualLabel
131.202.240.87-131.202.240.242-4492-50599-6,131.202.240.87,4492,131.202.240.242,50599,6,01/05/2015 11:37:16 AM,119456,1651,9,473.0,458.0,422.0,0.0,0.2864930345245291,10.444934651569504,137.0,0.0,50.888888888888886,40.68612922251405,7793.664612911867,13896.330029466915,72.0048221820374,215.00748431642177,1970.0,2.0,119155.0,72.21515151515149,216.91595517105154,1970.0,2.0,119283.0,14910.375,10409.270921875364,28101.0,461.0,0,0,0,0,33032,192,13820.988481114384,75.34154835253148,0.0,422.0,0.5605057194461158,11.41160815608164,130.224800707949,1,2,0,10,1659,0,0,0,0.0,0.560843373493976,0.28649303452453057,50.888888888888886,0,0,0,931,10,7843,0,0,0,0,65535,256,3,20,0,0,0,0,1.430491036656787E15,0.0,1.430491036656787E15,1.430491036656787E15,NeedManualLabel
131.202.240.87-131.202.240.242-4492-50599-6,131.202.240.87,4492,131.202.240.242,50599,6,01/05/2015 11:37:16 AM,21888,86,1,31.0,0.0,31.0,0.0,0.36046511627906974,3.342815969306591,0.0,0.0,0.0,0.0,1416.3011695906432,3974.780701754386,254.51162790697674,2163.562599832187,20067.0,3.0,21888.0,257.50588235294117,2176.3150792956767,20067.0,3.0,0,0,0,0,0,0,0,0,0,1720,20,3929.093567251462,45.687134502923975,0.0,31.0,0.35227272727272724,3.3046111035119616,10.920454545454545,1,0,1,1,87,0,0,0,0.0,0.3563218390804598,0.36046511627906974,0.0,0,0,0,0,0,0,0,0,0,0,32768,0,1,20,0,0,0,0,1.43049103677701E15,0.0,1.43049103677701E15,1.43049103677701E15,NeedManualLabel
131.202.240.87-131.202.240.242-4493-50600-6,131.202.240.87,4493,131.202.240.242,50600,6,01/05/2015 11:37:17 AM,140648,1744,6,473.0,284.0,422.0,0.0,0.271215596330274,10.162667639602919,137.0,0.0,47.333333333333336,51.02025741474328,5382.23081735965,12442.409419259428,80.41623785020009,481.0430023658986,16486.0,2.0,140583.0,80.65576592082604,490.9635594234233,16949.0,2.0,140460.0,28092.0,50364.03956693704,117256.0,520.0,0,0,0,0,34892,132,12399.749729821968,42.6596894374609,0.0,422.0,0.4323243860651057,10.856880121175253,117.87184596557037,1,2,0,7,1749,0,0,0,0.0,0.43257142857142855,0.27121559633027525,47.333333333333336,0,0,0,757,7,5449,0,0,0,0,65535,256,3,20,0,0,0,0,1.430491037858241E15,0.0,1.430491037858241E15,1.430491037858241E15,NeedManualLabel
131.202.240.87-131.202.240.242-4493-50600-6,131.202.240.87,4493,131.202.240.242,50600,6,01/05/2015 11:37:17 AM,20328,80,1,31.0,0.0,31.0,0.0,0.38749999999999996,3.465905365124674,0.0,0.0,0.0,0.0,1524.9901613537977,3984.6517119244395,254.1,1900.6144349603753,17030.0,3.0,20328.0,257.3164556962025,1912.5996507928464,17030.0,3.0,0,0,0,0,0,0,0,0,0,1600,20,3935.4584809130265,49.193231011412834,0.0,31.0,0.37804878048780494,3.423377308320243,11.719512195121952,1,0,1,1,81,0,0,0,0.0,0.38271604938271603,0.3875,0.0,0,0,0,0,0,0,0,0,0,0,32768,0,1,20,0,0,0,0,1.430491037999238E15,0.0,1.430491037999238E15,1.430491037999238E15,NeedManualLabel
131.202.240.87-131.202.240.242-4494-50601-6,131.202.240.87,4494,131.202.240.242,50601,6,01/05/2015 11:37:18 AM,3066710,35207,315,473.0,80642.0,422.0,0.0,0.013434828301190194,2.262013038430836,1460.0,0.0,256.0063492063494,481.5751953219437,26450.169725862568,11583.097195365717,86.33512570029045,1831.2148378589586,248409.0,2.0,3066654.0,87.10600465829636,1839.5555415167435,248409.0,2.0,3066536.0,9766.038216560508,31221.634962783955,373381.0,4.0,0,0,0,0,709884,6312,11480.38125548226,102.71593988345816,0.0,1460.0,2.2834501590519047,51.29399089625325,2631.0735020649113,1,2,0,274,35521,0,0,0,0.0,2.2835144417544058,0.013434828301190103,256.0063492063492,0,0,0,81115,316,26465,0,0,0,2,65535,256,3,20,0,0,0,0,1.43049103897756E15,0.0,1.43049103897756E15,1.43049103897756E15,NeedManualLabel
131.202.240.87-131.202.240.242-4494-50601-6,131.202.240.87,4494,131.202.240.242,50601,6,01/05/2015 11:37:22 AM,31304,76,1,31.0,0.0,31.0,0.0,0.40789473684210525,3.5559438749937073,0.0,0.0,0.0,0.0,990.2887809864554,2459.749552772809,411.8947368421052,3256.074288992589,28391.0,3.0,31304.0,417.3866666666666,3277.654615864963,28391.0,3.0,0,0,0,0,0,0,0,0,0,1520,20,2427.804753386149,31.944799386659852,0.0,31.0,0.3974358974358974,3.5100588058482467,12.32051282051282,1,0,1,1,77,0,0,0,0.0,0.4025974025974026,0.40789473684210525,0.0,0,0,0,0,0,0,0,0,0,0,32768,0,1,20,0,0,0,0,1.430491042044602E15,0.0,1.430491042044602E15,1.430491042044602E15,NeedManualLabel
131.202.240.87-131.202.240.242-4498-50603-6,131.202.240.87,4498,131.202.240.242,50603,6,01/05/2015 11:37:25 AM,34176293,59334,244,473.0,52406.0,422.0,0.0,0.007971820541342177,1.7424423065132368,32768.0,0.0,214.77868852459005,2100.1889019968417,1547.2421189741087,1743.2551856926086,573.6491095557009,11793.27597675445,788149.0,2.0,3.4044515E7,573.7871841976653,11805.725942964264,788149.0,2.0,3.4176113E7,140642.44032921805,710462.8732362377,8491096.0,540.0,0,0,0,0,1192036,4892,1736.1157337924274,7.139451900181216,0.0,32768.0,0.8875442689538374,134.83843784133072,18181.404319490404,1,2,0,241,59577,0,0,0,0.0,0.8875591661351505,0.007971820541342232,214.77868852459017,0,0,0,13139,59,5652,0,0,0,0,65535,256,3,20,0,0,0,0,1.43049104577449E15,0.0,1.43049104577449E15,1.43049104577449E15,NeedManualLabel
131.202.240.87-131.202.240.242-4498-50603-6,131.202.240.87,4498,131.202.240.242,50603,6,01/05/2015 11:37:59 AM,27027,72,1,31.0,0.0,31.0,0.0,0.4305555555555555,3.6533850361304956,0.0,0.0,0.0,0.0,1147.001147001147,2701.002701002701,375.37500000000006,2357.582214822611,19937.0,3.0,27027.0,380.661971830986,2373.9430607184327,19937.0,3.0,0,0,0,0,0,0,0,0,0,1440,20,2664.002664002664,37.000037000037004,0.0,31.0,0.41891891891891897,3.603676801058398,12.986486486486488,1,0,1,1,73,0,0,0,0.0,0.4246575342465753,0.4305555555555556,0.0,0,0,0,0,0,0,0,0,0,0,32768,0,1,20,0,0,0,0,1.430491079954377E15,0.0,1.430491079954377E15,1.430491079954377E15,NeedManualLabel
