Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.240.242-6060-52847-6,131.202.240.87,6060,131.202.240.242,52847,6,01/05/2015 01:24:29 PM,10553,185,48,260541.0,137.0,1460.0,0.0,1408.3297297297297,251.79761203505677,137.0,0.0,2.8541666666666683,19.774246719744685,2.470179095991661E7,22079.029659812375,45.487068965517246,115.46202991262977,1092.0,1.0,10553.0,57.353260869565275,159.8398453583211,1547.0,5.0,10211.0,217.2553191489361,234.294080172121,1092.0,18.0,0,0,0,0,3712,972,17530.56003032313,4548.469629489245,0.0,1460.0,1114.0085470085476,615.3084992772799,378604.5492828584,1,2,0,20,232,0,0,0,0.0,1118.7896995708154,1408.3297297297297,2.8541666666666665,0,0,0,260678,184,26185635,0,1118,0,0,65535,1024,183,20,0,0,0,0,1.430497469159221E15,0.0,1.430497469159221E15,1.430497469159221E15,NeedManualLabel
131.202.240.242-131.202.240.87-52847-6060-6,131.202.240.242,52847,131.202.240.87,6060,6,01/05/2015 01:24:29 PM,6373,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7374.862702024164,138.5434782608696,191.29206367015965,706.0,22.0,6373.0,138.5434782608696,191.29206367015965,706.0,22.0,0,0,0,0,0,0,0,0,0,940,0,7374.862702024164,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,47,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,1.430497469169807E15,0.0,1.430497469169807E15,1.430497469169807E15,NeedManualLabel
131.202.240.87-131.202.240.242-6061-52848-6,131.202.240.87,6061,131.202.240.242,52848,6,01/05/2015 01:24:29 PM,3135,6,5,504.0,260.0,422.0,0.0,84.0,166.59531806146293,137.0,0.0,52.0,71.37576619553727,243700.15948963317,3508.771929824561,313.5,517.758684674198,1758.0,28.0,3107.0,621.4,754.3512444478368,1914.0,35.0,2824.0,706.0,873.9557578428479,1995.0,115.0,0,0,0,0,132,112,1913.8755980861242,1594.8963317384369,0.0,422.0,63.666666666666664,122.97918030251618,15123.878787878786,1,2,0,6,10,0,0,0,0.0,69.45454545454545,84.0,52.0,0,0,0,764,6,298554,0,45,0,23,65535,256,4,20,0,0,0,0,1.430497469236099E15,0.0,1.430497469236099E15,1.430497469236099E15,NeedManualLabel
131.202.240.87-131.202.240.242-6062-52849-6,131.202.240.87,6062,131.202.240.242,52849,6,01/05/2015 01:24:30 PM,3047,8,4,2694.0,137.0,1460.0,0.0,336.75,526.2266621903532,137.0,0.0,34.25,68.5,929110.6005907451,3938.299967180834,277.00000000000006,342.7217530300638,961.0,5.0,3047.0,435.2857142857142,694.4795927613027,1959.0,5.0,2411.0,803.6666666666666,400.86697710504086,1102.0,348.0,0,0,0,0,172,92,2625.5333114538894,1312.7666557269447,0.0,1460.0,217.76923076923077,432.80772363836763,187322.52564102563,1,2,0,6,11,0,0,0,0.0,235.91666666666666,336.75,34.25,0,0,0,2831,7,1170318,0,224,0,11,65535,1023,6,20,0,0,0,0,1.430497470968466E15,0.0,1.430497470968466E15,1.430497470968466E15,NeedManualLabel
131.202.240.242-131.202.240.87-52849-6062-6,131.202.240.242,52849,131.202.240.87,6062,6,01/05/2015 01:24:30 PM,331,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9063.444108761329,165.5,48.79036790187178,200.0,131.0,331.0,165.5,48.79036790187178,200.0,131.0,0,0,0,0,0,0,0,0,0,60,0,9063.444108761329,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,1.430497470971751E15,0.0,1.430497470971751E15,1.430497470971751E15,NeedManualLabel
131.202.240.87-131.202.240.242-6063-52850-6,131.202.240.87,6063,131.202.240.242,52850,6,01/05/2015 01:24:31 PM,2807,6,5,504.0,321.0,422.0,0.0,84.0,166.59531806146293,184.0,0.0,64.2,89.4661947329828,293908.08692554326,3918.774492340577,280.70000000000005,499.06825407174745,1678.0,24.0,2780.0,556.0,712.989130351929,1786.0,24.0,2521.0,630.25,821.2122644805869,1851.0,102.0,0,0,0,0,132,112,2137.513359458497,1781.2611328820806,0.0,422.0,68.74999999999999,126.85433665142367,16092.02272727273,1,2,0,6,10,0,0,0,0.0,75.0,84.0,64.2,0,0,0,825,6,355450,0,45,0,29,65535,256,4,20,0,0,0,0,1.43049747100815E15,0.0,1.43049747100815E15,1.43049747100815E15,NeedManualLabel
131.202.240.87-131.202.240.242-6064-52851-6,131.202.240.87,6064,131.202.240.242,52851,6,01/05/2015 01:24:32 PM,3511,8,3,2867.0,137.0,1460.0,0.0,358.375,547.8078227939847,137.0,0.0,45.666666666666664,79.09698687897873,855596.6960979778,3133.0105383081745,351.09999999999997,437.9567330227953,1241.0,5.0,3511.0,501.5714285714285,848.0577529749683,2354.0,5.0,2367.0,1183.5,81.31727983645297,1241.0,1126.0,0,0,0,0,172,72,2278.5531187695815,854.4574195385931,0.0,1460.0,250.33333333333331,466.60112093800853,217716.60606060605,1,2,0,6,10,0,0,0,0.0,273.09090909090907,358.375,45.666666666666664,0,0,0,3004,7,1099963,0,260,0,12,65535,1024,6,20,0,0,0,0,1.430497472353407E15,0.0,1.430497472353407E15,1.430497472353407E15,NeedManualLabel
131.202.240.242-131.202.240.87-52851-6064-6,131.202.240.242,52851,131.202.240.87,6064,6,01/05/2015 01:24:32 PM,680,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5882.35294117647,226.66666666666666,173.23490795256404,337.0,27.0,680.0,226.66666666666666,173.23490795256404,337.0,27.0,0,0,0,0,0,0,0,0,0,80,0,5882.35294117647,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1023,0,0,20,0,0,0,0,1.430497472357005E15,0.0,1.430497472357005E15,1.430497472357005E15,NeedManualLabel
131.202.240.87-131.202.240.242-6065-52852-6,131.202.240.87,6065,131.202.240.242,52852,6,01/05/2015 01:24:32 PM,2260,7,4,504.0,387.0,422.0,0.0,72.0,155.3587246772235,250.0,0.0,96.75,120.86735153326835,394247.7876106195,4867.256637168142,225.99999999999997,352.3306527807208,1195.0,24.0,2260.0,376.66666666666674,482.5323477930435,1302.0,24.0,1876.0,625.3333333333333,660.4281439591542,1368.0,104.0,0,0,0,0,152,92,3097.345132743363,1769.911504424779,0.0,422.0,74.25,133.55906082057004,17838.022727272728,1,2,0,6,10,0,0,0,0.0,81.0,72.0,96.75,0,0,0,891,6,504815,0,45,0,35,65535,256,4,20,0,0,0,0,1.430497472402567E15,0.0,1.430497472402567E15,1.430497472402567E15,NeedManualLabel
131.202.240.87-131.202.240.242-6066-52853-6,131.202.240.87,6066,131.202.240.242,52853,6,01/05/2015 01:24:33 PM,21196,9,4,4117.0,137.0,1460.0,0.0,457.44444444444446,616.5687534880257,137.0,0.0,34.25,68.5,200698.2449518777,613.3232685412343,1766.3333333333337,5498.308770279579,19216.0,5.0,21196.0,2649.5,6936.088090559404,19805.0,5.0,20274.0,6758.0,10789.205160715037,19216.0,454.0,0,0,0,0,192,92,424.6084166823929,188.71485185884129,0.0,1460.0,303.8571428571429,529.9285666146766,280824.28571428574,1,2,0,6,12,0,0,0,0.0,327.2307692307692,457.44444444444446,34.25,0,0,0,4254,8,209154,0,316,0,10,65535,1022,7,20,0,0,0,0,1.43049747381806E15,0.0,1.43049747381806E15,1.43049747381806E15,NeedManualLabel
131.202.240.242-131.202.240.87-52853-6066-6,131.202.240.242,52853,131.202.240.87,6066,6,01/05/2015 01:24:33 PM,436,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6880.733944954128,218.0,281.4284989122459,417.0,19.0,436.0,218.0,281.4284989122459,417.0,19.0,0,0,0,0,0,0,0,0,0,60,0,6880.733944954128,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,1.430497473839782E15,0.0,1.430497473839782E15,1.430497473839782E15,NeedManualLabel
131.202.240.87-131.202.240.242-6067-52854-6,131.202.240.87,6067,131.202.240.242,52854,6,01/05/2015 01:24:33 PM,2593,6,5,504.0,441.0,422.0,0.0,84.0,166.59531806146293,304.0,0.0,88.2,134.4328828821282,364442.7304280756,4242.190512919398,259.3,340.62101781566236,1168.0,4.0,2589.0,517.8000000000001,499.8196674801824,1328.0,33.0,2190.0,547.5,607.2015041702933,1428.0,116.0,0,0,0,0,132,112,2313.9220979560355,1928.268414963363,0.0,422.0,78.75,140.7358098772952,19806.568181818184,1,2,0,6,10,0,0,0,0.0,85.9090909090909,84.0,88.2,0,0,0,945,6,490654,0,45,0,40,65535,256,4,20,0,0,0,0,1.430497473882438E15,0.0,1.430497473882438E15,1.430497473882438E15,NeedManualLabel
131.202.240.87-131.202.240.242-6067-52854-6,131.202.240.87,6067,131.202.240.242,52854,6,01/05/2015 01:24:33 PM,55,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,40,0,36363.63636363636,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32764,0,0,20,0,0,0,0,1.430497473885059E15,0.0,1.430497473885059E15,1.430497473885059E15,NeedManualLabel
131.202.240.87-131.202.240.242-6068-52855-6,131.202.240.87,6068,131.202.240.242,52855,6,01/05/2015 01:24:35 PM,56485,1041,434,1429008.0,137.0,1460.0,0.0,1372.7262247838619,301.09925365564095,137.0,0.0,0.31566820276497726,6.576210442101278,2.5301318934230328E7,26113.127378950165,38.32089552238799,155.27473673209667,4936.0,0.0,56485.0,54.312499999999986,401.76476848866236,12336.0,3.0,55746.0,128.74364896073902,311.1917301734109,5310.0,11.0,0,0,0,0,20832,8692,18429.671594228555,7683.455784721607,0.0,1460.0,968.2554200542005,675.0594824797723,455705.304885858,1,2,0,92,1474,0,0,0,0.0,968.9118644067796,1372.7262247838617,0.315668202764977,0,0,0,1429145,1040,25714221,0,968,0,0,65535,1024,1039,20,0,0,0,0,1.430497475280871E15,0.0,1.430497475280871E15,1.430497475280871E15,NeedManualLabel
