Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.240.242-6060-52847-6,131.202.240.87,6060,131.202.240.242,52847,6,01/05/2015 01:24:34 PM,16432,185,93,260541.0,137.0,1460.0,0.0,1408.3297297297297,251.79761203505677,137.0,0.0,1.4731182795698936,14.206238217806828,1.5864045764362222E7,16918.208373904577,59.32129963898917,146.91038385785174,849.0,9.0,16432.0,89.30434782608698,184.80799305747846,1074.0,13.0,16234.0,176.45652173913035,248.26839486947486,1089.0,42.0,0,0,0,0,3712,1872,11258.519961051608,5659.68841285297,0.0,1460.0,934.3297491039432,696.9955298079315,485802.76857223915,1,2,0,20,277,0,0,0,0.0,937.6906474820144,1408.3297297297297,1.4731182795698925,0,0,0,260678,184,17543441,0,937,0,0,65535,1024,183,20,0,0,0,0,1.43049747446621E15,0.0,1.43049747446621E15,1.43049747446621E15,NeedManualLabel
131.202.240.242-131.202.240.87-52847-6060-6,131.202.240.242,52847,131.202.240.87,6060,6,01/05/2015 01:24:34 PM,387,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5167.958656330749,387.0,0.0,387.0,387.0,387.0,387.0,0.0,387.0,387.0,0,0,0,0,0,0,0,0,0,40,0,5167.958656330749,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,1.430497474482676E15,0.0,1.430497474482676E15,1.430497474482676E15,NeedManualLabel
131.202.240.87-131.202.240.242-6061-52848-6,131.202.240.87,6061,131.202.240.242,52848,6,01/05/2015 01:24:34 PM,2933,5,5,473.0,260.0,422.0,0.0,94.6,183.98315140251296,137.0,0.0,52.0,71.37576619553727,249914.76304125472,3409.478349812479,325.8888888888889,377.1029184600818,942.0,25.0,2599.0,649.75,716.2142952124501,1394.0,25.0,2742.0,685.5,851.9438557401147,1931.0,35.0,0,0,0,0,112,112,1704.7391749062394,1704.7391749062394,0.0,422.0,66.63636363636364,128.5295862650096,16519.854545454546,1,2,0,5,9,0,0,0,1.0,73.3,94.6,52.0,0,0,0,733,5,426658,0,47,0,26,65535,256,3,20,0,0,0,0,1.430497474543086E15,0.0,1.430497474543086E15,1.430497474543086E15,NeedManualLabel
131.202.240.87-131.202.240.242-6061-52848-6,131.202.240.87,6061,131.202.240.242,52848,6,01/05/2015 01:24:34 PM,57,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,543859.649122807,52631.57894736842,28.5,19.091883092036785,42.0,15.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,1,0,0,0,40,20,35087.71929824561,17543.859649122805,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,3,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,10,0,0,32765,0,0,20,0,0,0,0,1.430497474546275E15,0.0,1.430497474546275E15,1.430497474546275E15,NeedManualLabel
131.202.240.87-131.202.240.242-6062-52849-6,131.202.240.87,6062,131.202.240.242,52849,6,01/05/2015 01:24:36 PM,3212,8,5,2694.0,137.0,1460.0,0.0,336.75,526.2266621903532,137.0,0.0,27.4,61.26826258349424,881382.3163138231,4047.322540473225,267.6666666666667,325.32398769487776,1012.0,24.0,3212.0,458.85714285714283,552.5840595394902,1434.0,28.0,2805.0,701.25,378.7693889426652,1038.0,304.0,0,0,0,0,172,112,2490.6600249066,1556.6625155666252,0.0,1460.0,202.21428571428572,419.88151782495623,176300.48901098903,1,2,0,6,12,0,0,0,0.0,217.76923076923077,336.75,27.4,0,0,0,2831,7,1309435,0,207,0,10,65535,1024,6,20,0,0,0,0,1.430497476275565E15,0.0,1.430497476275565E15,1.430497476275565E15,NeedManualLabel
131.202.240.242-131.202.240.87-52849-6062-6,131.202.240.242,52849,131.202.240.87,6062,6,01/05/2015 01:24:36 PM,134,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14925.373134328358,134.0,0.0,134.0,134.0,134.0,134.0,0.0,134.0,134.0,0,0,0,0,0,0,0,0,0,40,0,14925.373134328358,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1023,0,0,20,0,0,0,0,1.430497476278815E15,0.0,1.430497476278815E15,1.430497476278815E15,NeedManualLabel
131.202.240.87-131.202.240.242-6063-52850-6,131.202.240.87,6063,131.202.240.242,52850,6,01/05/2015 01:24:36 PM,2624,5,5,473.0,321.0,422.0,0.0,94.6,183.98315140251296,184.0,0.0,64.2,89.4661947329828,302591.46341463417,3810.9756097560976,291.55555555555554,358.78339952926723,1101.0,28.0,2311.0,577.75,613.0842111814657,1278.0,46.0,2447.0,611.75,794.2108766987938,1784.0,35.0,0,0,0,0,112,112,1905.4878048780488,1905.4878048780488,0.0,422.0,72.18181818181817,132.46042290572547,17545.763636363637,1,2,0,5,9,0,0,0,1.0,79.4,94.6,64.2,0,0,0,794,5,627667,0,47,0,32,65535,256,3,20,0,0,0,0,1.430497476315125E15,0.0,1.430497476315125E15,1.430497476315125E15,NeedManualLabel
131.202.240.87-131.202.240.242-6063-52850-6,131.202.240.87,6063,131.202.240.242,52850,6,01/05/2015 01:24:36 PM,57,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,543859.649122807,52631.57894736842,28.5,17.67766952966369,41.0,16.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,1,0,0,0,40,20,35087.71929824561,17543.859649122805,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,3,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,10,0,0,32765,0,0,20,0,0,0,0,1.430497476318014E15,0.0,1.430497476318014E15,1.430497476318014E15,NeedManualLabel
131.202.240.87-131.202.240.242-6064-52851-6,131.202.240.87,6064,131.202.240.242,52851,6,01/05/2015 01:24:37 PM,3441,8,5,2867.0,137.0,1460.0,0.0,358.375,547.8078227939847,137.0,0.0,27.4,61.26826258349424,873002.0342923568,3777.9715199070038,286.75,408.46834193562216,1283.0,10.0,3441.0,491.5714285714286,776.4485080894198,2054.0,22.0,3261.0,815.25,451.96930205490725,1283.0,266.0,0,0,0,0,172,112,2324.9055507120024,1453.0659691950013,0.0,1460.0,214.57142857142856,438.7316885130301,192485.49450549448,1,2,0,6,12,0,0,0,0.0,231.07692307692307,358.375,27.4,0,0,0,3004,7,1261125,0,220,0,10,65535,1024,6,20,0,0,0,0,1.430497477660705E15,0.0,1.430497477660705E15,1.430497477660705E15,NeedManualLabel
131.202.240.242-131.202.240.87-52851-6064-6,131.202.240.242,52851,131.202.240.87,6064,6,01/05/2015 01:24:37 PM,303,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6600.660066006601,303.0,0.0,303.0,303.0,303.0,303.0,0.0,303.0,303.0,0,0,0,0,0,0,0,0,0,40,0,6600.660066006601,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1023,0,0,20,0,0,0,0,1.430497477664181E15,0.0,1.430497477664181E15,1.430497477664181E15,NeedManualLabel
