Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.8-138.201.81.199-57764-80-6,192.168.0.8,57764,138.201.81.199,80,6,23/11/2020 06:47:14 PM,474326,5,3,99.0,203.0,99.0,0.0,19.8,44.274145954495836,203.0,0.0,67.66666666666667,117.20210464549403,636.6929074096718,16.866037282375412,67760.85714285714,115258.48036829881,238678.0,31.0,474326.0,118581.5,136776.22213796276,239700.0,130.0,239901.0,119950.5,168234.1382731222,238910.0,991.0,0,0,0,0,168,104,10.541273301484633,6.324763980890779,0.0,203.0,33.55555555555556,71.48096094609933,5109.527777777777,1,2,0,2,7,0,0,0,0.0,37.75,19.8,67.66666666666667,0,0,0,0,0,0,0,12,0,25,64240,509,1,32,0,0,0,0,1.606168034585009E15,0.0,1.606168034585009E15,1.606168034585009E15,7
192.168.0.8-189.7.129.32-55794-1194-6,192.168.0.8,55794,189.7.129.32,1194,6,23/11/2020 06:48:49 PM,112717357,30,30,504.0,2228.0,42.0,0.0,16.8,20.927460923142476,226.0,0.0,74.26666666666667,94.8286779456486,24.23761586247981,0.5323048871701276,1910463.6779661018,2676366.459618921,8178507.0,30.0,1.12717357E8,3886805.413793104,2632478.111170897,8178507.0,125.0,1.12700653E8,3886229.413793104,2641012.710308011,8201198.0,16756.0,1,0,0,0,960,960,0.2661524435850638,0.2661524435850638,0.0,226.0,45.47540983606555,73.3747473720528,5383.853551912569,0,0,0,30,60,0,0,0,1.0,46.233333333333334,16.8,74.26666666666667,0,0,0,720,4,370,0,8,0,37,501,513,11,32,4136255.0999999996,2663930.2334686057,1.1587265E7,2668107.0,1.460152908402811E14,4.842779100978169E14,1.606168129069302E15,6041277.0,7
134.221.96.0-0.0.0.24-0-0-0,134.221.96.0,0,0.0.0.24,0,0,23/11/2020 06:48:49 PM,117398793,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.08517975137955634,1.3044310333333334E7,1.395091202500788E7,2.7762017E7,1277730.0,1.17398793E8,1.3044310333333334E7,1.395091202500788E7,2.7762017E7,1277730.0,0,0,0,0,0,0,0,0,0,0,0,0.08517975137955634,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1279882.0,1678.8239931571445,1281813.0,1277730.0,3.212336480420524E14,7.183002116317048E14,1.606168129210834E15,2.7719684E7,7
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/11/2020 06:49:10 PM,110238579,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.04535617245211406,2.755964475E7,8452308.927237708,3.4879684E7,2.0239552E7,1.10238579E8,2.755964475E7,8452308.927237708,3.4879684E7,2.0239552E7,0,0,0,0,0,0,0,0,0,0,0,0.04535617245211406,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.212336522017996E14,7.183002213585099E14,1.606168150770419E15,2.0239552E7,7
192.168.100.3-239.255.255.250-53017-1900-17,192.168.100.3,53017,239255255250,1900,17,23/11/2020 06:49:10 PM,119999978,15,0,4935.0,0.0,357.0,283.0,329.0,33.932706514932924,0,0,0,0,41.125007539584715,0.12500002291667087,8571427.0,1.4063907955012023E7,3.0027525E7,48.0,1.19999978E8,8571427.0,1.4063907955012023E7,3.0027525E7,48.0,0,0,0,0,0,0,0,0,0,120,0,0.12500002291667087,0.0,283.0,357.0,326125,34.74070619124871,1206.9166666666665,0,0,0,0,0,0,0,0,0.0,347.8666666666667,329.0,0.0,0,0,0,0,0,0,1,329,0,0,0,0,14,8,406.0,83.61419337249707,531.0,359.0,3.212336540235718E14,7.183002199764458E14,1.60616815011988E15,2.9922562E7,7
192.168.100.3-239.255.255.250-34183-1900-17,192.168.100.3,34183,239255255250,1900,17,23/11/2020 06:49:10 PM,119999696,15,0,4935.0,0.0,357.0,283.0,329.0,33.932706514932924,0,0,0,0,41.125104183597266,0.12500031666746889,8571406.857142856,1.4064120693621937E7,3.0027781E7,39.0,1.19999696E8,8571406.857142856,1.4064120693621937E7,3.0027781E7,39.0,0,0,0,0,0,0,0,0,0,120,0,0.12500031666746889,0.0,283.0,357.0,326125,34.74070619124871,1206.9166666666665,0,0,0,0,0,0,0,0,0.0,347.8666666666667,329.0,0.0,0,0,0,0,0,0,1,329,0,0,0,0,14,8,101.75,6.499999999999999,105.0,92.0,3.212336540239288E14,7.183002199765638E14,1.606168150120448E15,2.992317E7,7
192.168.0.8-138.201.81.199-57770-80-6,192.168.0.8,57770,138.201.81.199,80,6,23/11/2020 06:52:14 PM,462373,5,3,99.0,203.0,99.0,0.0,19.8,44.274145954495836,203.0,0.0,67.66666666666667,117.20210464549403,653.1523250708843,17.302048346248593,66053.28571428571,112279.37233483612,230662.0,33.0,462373.0,115593.25,133262.15489121433,231273.0,156.0,231464.0,115732.0,162146.65599388722,230387.0,1077.0,0,0,0,0,168,104,10.81378021640537,6.488268129843222,0.0,203.0,33.55555555555556,71.48096094609933,5109.527777777777,1,2,0,2,7,0,0,0,0.0,37.75,19.8,67.66666666666667,0,0,0,0,0,0,0,12,0,25,64240,509,1,32,0,0,0,0,1.606168334586338E15,0.0,1.606168334586338E15,1.606168334586338E15,7
192.168.0.3-224.0.0.22-0-0-0,192.168.0.3,0,224.0.0.22,0,0,23/11/2020 06:50:38 PM,117985818,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.03390237969109135,3.9328606E7,6.6390872798891775E7,1.15987992E8,497022.0,1.17985818E8,3.9328606E7,6.6390872798891775E7,1.15987992E8,497022.0,0,0,0,0,0,0,0,0,0,0,0,0.03390237969109135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1997826.0,0.0,1997826.0,1997826.0,8.030841771757985E14,1.1357323710574605E15,1.606168238363605E15,1.15987992E8,7
192.168.0.8-189.7.129.32-55794-1194-6,192.168.0.8,55794,189.7.129.32,1194,6,23/11/2020 06:50:50 PM,119379879,39,39,1001.0,2829.0,177.0,0.0,25.666666666666668,37.15283748697174,359.0,0.0,72.53846153846152,98.6063001493809,32.08245838480034,0.6533764370794847,1550388.0389610392,3042832.1623813184,1.0494857E7,30.0,1.19362422E8,3141116.3684210526,3728636.8009775258,1.0494857E7,186.0,1.19360047E8,3141053.8684210526,3738302.1020377334,1.0514041E7,572.0,1,0,0,0,1248,1248,0.32668821853974234,0.32668821853974234,0.0,359.0,49.01265822784809,77.19646824505573,5959.294709509898,0,0,0,39,78,0,0,0,1.0,49.64102564102564,25.666666666666668,72.53846153846153,0,0,0,930,7,526,0,12,0,36,501,512,16,32,2171992.0,2433496.147076506,8799054.0,19071.0,1.3384736212489014E14,4.636608332533465E14,1.606168250028172E15,7221533.0,7
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/11/2020 06:51:21 PM,101199793,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.059288658821663794,2.02399586E7,708.9289809282732,2.0240654E7,2.0238863E7,1.01199793E8,2.02399586E7,708.9289809282732,2.0240654E7,2.0238863E7,0,0,0,0,0,0,0,0,0,0,0,0.059288658821663794,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.676947304081177E14,6.557154467542214E14,1.606168281248913E15,2.0238863E7,7
