Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.3-239.255.255.250-34183-1900-17,192.168.100.3,34183,239.255.255.250,1900,17,23/11/2020 11:56:44 PM,119996043,15,0,4935.0,0.0,357.0,283.0,329.0,33.932706514932924,0,0,0,0,41.12635614159377,0.1250041220109233,8571145.92857143,1.4063604522331636E7,3.0027522E7,2.0,1.19996043E8,8571145.92857143,1.4063604522331636E7,3.0027522E7,2.0,0,0,0,0,0,0,0,0,0,120,0,0.1250041220109233,0.0,283.0,357.0,326.125,34.74070619124871,1206.9166666666665,0,0,0,0,0,0,0,0,0.0,347.8666666666667,329.0,0.0,0,0,0,0,0,0,1,329,0,0,0,0,14,8,151.0,142.73285069200668,361.0,51.0,3.212373449965444E14,7.183084732445614E14,1.606186604987687E15,2.9931724E7,NeedManualLabel
192.168.0.8-189.7.129.32-55794-1194-6,192.168.0.8,55794,189.7.129.32,1194,6,23/11/2020 11:57:15 PM,115971817,27,25,730.0,914.0,226.0,0.0,27.037037037037035,44.93883148790782,226.0,0.0,36.56000000000001,60.60121010892989,14.175857915548567,0.44838480024849486,2273957.196078432,3676485.5244942987,9829613.0,28.0,1.15953823E8,4459762.423076924,4133778.440925824,9848590.0,28.0,1.14975472E8,4790644.666666667,4109161.082829032,9829613.0,19121.0,1,0,0,0,864,800,0.2328151847444108,0.21556961550408407,0.0,226.0,35.28301886792451,58.65425991431305,3440.3222060957905,0,0,0,26,52,0,0,0,0.0,35.96153846153846,27.037037037037038,36.56,0,0,0,0,0,0,0,14,0,17,513,512,12,32,1219607.272727273,841216.8388061535,3067997.0,19121.0,1.3384889469102869E14,4.636661406800754E14,1.606186635937689E15,8434776.0,NeedManualLabel
134.221.96.0-0.0.0.24-0-0-0,134.221.96.0,0,0.0.0.24,0,0,23/11/2020 11:57:18 PM,104918850,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11437410913291557,9538077.272727272,9671512.886067515,1.9640522E7,1119659.0,1.0491885E8,9538077.272727272,9671512.886067515,1.9640522E7,1119659.0,0,0,0,0,0,0,0,0,0,0,0,0.11437410913291557,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1120096.2,727.3614644727887,1121384.0,1119659.0,2.6769778943689634E14,6.557229412843045E14,1.606186638423163E15,1.9638105E7,NeedManualLabel
192.168.0.3-224.0.0.251-5353-5353-17,192.168.0.3,5353,224.0.0.251,5353,17,23/11/2020 11:54:22 PM,1003821,4,0,112.0,0.0,28.0,28.0,28.0,0.0,0,0,0,0,111.57367698025843,3.984774177866372,334607.0,578987.386355696,1003164.0,112.0,1003821.0,334607.0,578987.386355696,1003164.0,112.0,0,0,0,0,0,0,0,0,0,32,0,3.984774177866372,0.0,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,35.0,28.0,0.0,0,0,0,0,0,0,1,28,0,0,0,0,3,8,0,0,0,0,1.606186462418057E15,0.0,1.606186462418057E15,1.606186462418057E15,NeedManualLabel
192.168.100.3-239.255.255.250-53017-1900-17,192.168.100.3,53017,239.255.255.250,1900,17,23/11/2020 11:58:14 PM,90083886,12,0,3948.0,0.0,357.0,283.0,329.0,34.23979609115154,0,0,0,0,43.825818082492574,0.13320917350301695,8189444.181818181,1.4025961316756686E7,3.002802E7,37.0,9.0083886E7,8189444.181818181,1.4025961316756686E7,3.002802E7,37.0,0,0,0,0,0,0,0,0,0,96,0,0.13320917350301695,0.0,283.0,357.0,325.46153846153845,35.177207072704014,1237.4358974358972,0,0,0,0,0,0,0,0,0.0,352.5833333333333,329.0,0.0,0,0,0,0,0,0,1,329,0,0,0,0,11,8,95.66666666666667,8.144527815247079,105.0,90.0,4.015466962598795E14,8.030933324640864E14,1.606186694956009E15,3.0027653E7,NeedManualLabel
192.168.0.3-224.0.0.22-0-0-0,192.168.0.3,0,224.0.0.22,0,0,23/11/2020 11:58:50 PM,7498696,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4000695587606165,3749348.0,3886954.662473953,6497840.0,1000856.0,7498696.0,3749348.0,3886954.662473953,6497840.0,1000856.0,0,0,0,0,0,0,0,0,0,0,0,0.4000695587606165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000856.0,0.0,1000856.0,1000856.0,8.030933687252665E14,1.1357455247138352E15,1.606186730952693E15,6497840.0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/11/2020 11:58:25 PM,119041241,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.033601800236608755,3.9680413666666664E7,1268.2217208884783,3.9681878E7,3.9679668E7,1.19041241E8,3.9680413666666664E7,1268.2217208884783,3.9681878E7,3.9679668E7,0,0,0,0,0,0,0,0,0,0,0,0.033601800236608755,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0154670608576975E14,8.030933328107122E14,1.606186705301838E15,3.9679668E7,NeedManualLabel
192.168.100.3-239.255.255.250-34183-1900-17,192.168.100.3,34183,239.255.255.250,1900,17,23/11/2020 11:59:15 PM,90067902,12,0,3948.0,0.0,357.0,283.0,329.0,34.23979609115154,0,0,0,0,43.83359567984608,0.13323281361655342,8187991.090909091,1.40233623380231E7,3.0027832E7,31.0,9.0067902E7,8187991.090909091,1.40233623380231E7,3.0027832E7,31.0,0,0,0,0,0,0,0,0,0,96,0,0.13323281361655342,0.0,283.0,357.0,325.46153846153845,35.177207072704014,1237.4358974358972,0,0,0,0,0,0,0,0,0.0,352.5833333333333,329.0,0.0,0,0,0,0,0,0,1,329,0,0,0,0,11,8,275.6666666666667,152.36906947715252,372.0,100.0,4.0154671126957575E14,8.030933624944801E14,1.606186755011296E15,3.0011537E7,NeedManualLabel
192.168.0.8-189.7.129.32-55794-1194-6,192.168.0.8,55794,189.7.129.32,1194,6,23/11/2020 11:59:20 PM,112303705,25,23,546.0,462.0,42.0,0.0,21.839999999999993,21.415881957089695,42.0,0.0,20.086956521739136,21.451664575120464,8.975661132462193,0.42741243487915204,2389440.5319148926,4054387.457253866,1.0256596E7,44.0,1.12303705E8,4679321.041666666,4665496.716432653,1.0256596E7,66.0,1.11049195E8,5047690.681818182,4714298.077568973,1.0278196E7,503.0,1,0,0,0,800,736,0.22261064316622503,0.20480179171292703,0.0,42.0,21.428571428571416,21.21320343559643,450.00000000000017,0,0,0,24,48,0,0,0,0.0,21.875,21.84,20.08695652173913,0,0,0,0,0,0,0,11,0,9,513,513,12,32,496658.81818181823,550646.6279662154,1254431.0,18886.0,1.3384890550548269E14,4.636661764786734E14,1.606186760427959E15,8470537.0,NeedManualLabel
134.221.96.0-0.0.0.24-0-0-0,134.221.96.0,0,0.0.0.24,0,0,23/11/2020 11:59:22 PM,91678832,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.06544585995598198,1.83357664E7,2.357349560495792E7,4.4159401E7,1119504.0,9.1678832E7,1.83357664E7,2.357349560495792E7,4.4159401E7,1119504.0,0,0,0,0,0,0,0,0,0,0,0,0.06544585995598198,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1120075.0,807.5159441150373,1120646.0,1119504.0,5.353956171002556E14,9.273323344812931E14,1.606186762982293E15,4.4159073E7,NeedManualLabel
