Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
74.125.226.174-131.202.240.242-443-32634-6,74.125.226.174,443,131.202.240.242,32634,6,29/04/2015 02:21:31 PM,56,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,982142.8571428572,35714.28571428572,56.0,0.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,0,0,0,0,0,1,0,0,0,40,0,35714.28571428572,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,1,0,0,1,2,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,1,27,0,0,414,0,0,20,0,0,0,0,1.430328091527533E15,0.0,1.430328091527533E15,1.430328091527533E15,NeedManualLabel
131.202.240.242-74.125.226.174-32634-443-6,131.202.240.242,32634,74.125.226.174,443,6,29/04/2015 02:21:31 PM,36505,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,54.78701547733187,36505.0,0.0,36505.0,36505.0,36505.0,36505.0,0.0,36505.0,36505.0,0,0,0,0,0,0,0,0,0,40,0,54.78701547733187,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16442,0,0,20,0,0,0,0,1.430328091527648E15,0.0,1.430328091527648E15,1.430328091527648E15,NeedManualLabel
173.194.123.100-131.202.240.242-443-32671-6,173.194.123.100,443,131.202.240.242,32671,6,29/04/2015 02:21:58 PM,42,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,1309523.8095238097,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,1,0,0,0,40,0,47619.04761904762,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,1,0,0,1,2,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,1,27,0,0,403,0,0,20,0,0,0,0,1.430328118616915E15,0.0,1.430328118616915E15,1.430328118616915E15,NeedManualLabel
131.202.240.242-173.194.123.100-32671-443-6,131.202.240.242,32671,173.194.123.100,443,6,29/04/2015 02:21:58 PM,23348,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,85.66044200788076,23348.0,0.0,23348.0,23348.0,23348.0,23348.0,0.0,23348.0,23348.0,0,0,0,0,0,0,0,0,0,40,0,85.66044200788076,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16213,0,0,20,0,0,0,0,1.430328118617017E15,0.0,1.430328118617017E15,1.430328118617017E15,NeedManualLabel
74.125.226.184-131.202.240.242-443-32669-6,74.125.226.184,443,131.202.240.242,32669,6,29/04/2015 02:22:00 PM,64,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,859375.0,31250.0,64.0,0.0,64.0,64.0,64.0,64.0,0.0,64.0,64.0,0,0,0,0,0,1,0,0,0,40,0,31250.0,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,1,0,0,1,2,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,1,27,0,0,361,0,0,20,0,0,0,0,1.430328120502877E15,0.0,1.430328120502877E15,1.430328120502877E15,NeedManualLabel
131.202.240.242-74.125.226.184-32669-443-6,131.202.240.242,32669,74.125.226.184,443,6,29/04/2015 02:22:00 PM,633,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3159.55766192733,633.0,0.0,633.0,633.0,633.0,633.0,0.0,633.0,633.0,0,0,0,0,0,0,0,0,0,40,0,3159.55766192733,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16206,0,0,20,0,0,0,0,1.430328120503006E15,0.0,1.430328120503006E15,1.430328120503006E15,NeedManualLabel
173.194.123.119-131.202.240.242-443-32632-6,173.194.123.119,443,131.202.240.242,32632,6,29/04/2015 02:22:28 PM,79,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,696202.5316455696,25316.455696202534,79.0,0.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,0,0,0,0,0,1,0,0,0,40,0,25316.455696202534,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,1,0,0,1,2,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,1,27,0,0,361,0,0,20,0,0,0,0,1.430328148388527E15,0.0,1.430328148388527E15,1.430328148388527E15,NeedManualLabel
131.202.240.242-173.194.123.119-32632-443-6,131.202.240.242,32632,173.194.123.119,443,6,29/04/2015 02:22:28 PM,26107,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,76.60780633546558,26107.0,0.0,26107.0,26107.0,26107.0,26107.0,0.0,26107.0,26107.0,0,0,0,0,0,0,0,0,0,40,0,76.60780633546558,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16514,0,0,20,0,0,0,0,1.430328148388672E15,0.0,1.430328148388672E15,1.430328148388672E15,NeedManualLabel
74.125.226.171-131.202.240.242-443-32624-6,74.125.226.171,443,131.202.240.242,32624,6,29/04/2015 02:22:28 PM,60,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,916666.6666666666,33333.333333333336,60.0,0.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0,0,0,0,0,1,0,0,0,40,0,33333.333333333336,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,1,0,0,1,2,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,1,27,0,0,369,0,0,20,0,0,0,0,1.430328148599471E15,0.0,1.430328148599471E15,1.430328148599471E15,NeedManualLabel
131.202.240.242-74.125.226.171-32624-443-6,131.202.240.242,32624,74.125.226.171,443,6,29/04/2015 02:22:28 PM,13412,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,149.1201908738443,13412.0,0.0,13412.0,13412.0,13412.0,13412.0,0.0,13412.0,13412.0,0,0,0,0,0,0,0,0,0,40,0,149.1201908738443,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16523,0,0,20,0,0,0,0,1.430328148599594E15,0.0,1.430328148599594E15,1.430328148599594E15,NeedManualLabel
74.125.26.189-131.202.240.242-443-61417-17,74.125.26.189,443,131.202.240.242,61417,17,29/04/2015 02:20:28 PM,119283126,79,76,39410.0,6160.0,1350.0,19.0,498.860759493671,347.8915147061566,331.0,37.0,81.05263157894736,97.0993847885546,382.03224150916367,1.2994293928883118,774565.7532467535,1608893.3160161697,1.2747033E7,54.0,1.19257942E8,1528947.974358975,2012313.882634757,1.2770892E7,54.0,1.192574E8,1590098.6666666663,2026254.7761070698,1.2772008E7,68.0,0,0,0,0,632,608,0.6622898196011396,0.6371395732871723,19.0,1350.0,294.85897435897454,330.4639250960822,109206.40578990905,0,0,0,0,0,0,0,0,0.0,296.76129032258063,498.8607594936709,81.05263157894737,0,0,0,2229,7,3496,0,254,0,39,0,0,78,8,2.79702725E7,2.9796612139180597E7,4.9039659E7,6900886.0,4.76776015341979E14,8.258002670308318E14,1.43032802827621E15,5002694.0,NeedManualLabel
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.242,51434,131.202.240.45,161,17,29/04/2015 02:20:31 PM,90031079,486,486,46604.0,56781.0,118.0,43.0,95.89300411522633,30.175583637502335,180.0,46.0,116.83333333333326,43.856690234792154,1148.3256798466227,10.796271807427743,92719.95777548912,1440528.8251024736,2.9969946E7,31.0,9.000098E7,185569.03092783497,2037179.7820882634,3.0000116E7,31.0,9.0023031E7,185614.49690721658,2035823.5510343607,2.9978007E7,2388.0,0,0,0,0,3888,3888,5.398135903713872,5.398135903713872,43.0,180.0,106.33504624871529,39.0444082785478,1524.465817821932,0,0,0,0,0,0,0,0,1.0,106.44444444444444,95.89300411522633,116.83333333333333,0,0,0,12923,121,16280,0,47,0,58,0,0,485,8,5389986.666666666,9283100.662957251,1.6109188E7,30372.0,3.575820263339275E14,7.151640034472644E14,1.430328031504824E15,1.3891194E7,NeedManualLabel
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 02:20:22 PM,111792285,56,0,2800.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,25.04645110349073,0.5009290220698145,2032587.0,3791002.7922052406,1.9175969E7,46006.0,1.11792285E8,2032587.0,3791002.7922052406,1.9175969E7,46006.0,0,0,0,0,0,0,0,0,0,448,0,0.5009290220698145,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.892857142857146,50.0,0.0,0,0,0,320,6,121,1,50,0,0,0,0,55,8,5072793.714285714,4195294.276762943,1.1303689E7,1500413.0,1.78791012180509E14,5.056973182966815E14,1.430328022664533E15,5210008.0,NeedManualLabel
