Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-216.58.219.225-60318-443-6,131.202.240.150,60318,216.58.219.225,443,6,30/03/2015 11:02:23 AM,25695,1,3,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,20.0,34.64101615137755,4125.316209379257,155.6723097878965,8565.0,14809.90064112518,25666.0,12.0,0,0,0,0,0,29.0,14.5,3.5355339059327378,17.0,12.0,1,0,0,0,32,96,38.918077446974124,116.75423234092236,0.0,60.0,30.4,28.333725487482226,802.8,1,0,0,2,4,0,0,0,3.0,38.0,46.0,20.0,0,0,0,0,0,0,0,11,0,15,237,341,0,32,0,0,0,0,1.427724143932321E15,0.0,1.427724143932321E15,1.427724143932321E15,NeedManualLabel
131.202.240.150-216.58.219.225-60318-443-6,131.202.240.150,60318,216.58.219.225,443,6,30/03/2015 11:02:23 AM,258,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,298449.6124031008,11627.906976744187,129.0,132.93607486307093,223.0,35.0,258.0,129.0,132.93607486307093,223.0,35.0,0,0,0,0,0,1,0,0,0,96,0,11627.906976744187,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,237,0,1,32,0,0,0,0,1.42772414395818E15,0.0,1.42772414395818E15,1.42772414395818E15,NeedManualLabel
131.202.240.150-216.58.219.237-59030-443-6,131.202.240.150,59030,216.58.219.237,443,6,30/03/2015 11:02:23 AM,26637,2,3,46.0,60.0,46.0,0.0,23.0,32.526911934581186,60.0,0.0,20.0,34.64101615137755,3979.4271126628373,187.70882606900176,6659.250000000001,12527.710335492276,25434.0,7.0,26630.0,26630.0,0.0,26630.0,26630.0,1203.0,601.5,775.6961389616426,1150.0,53.0,1,0,0,0,64,96,75.0835304276007,112.62529564140105,0.0,60.0,25.333333333333332,28.218197438296208,796.2666666666667,1,0,0,2,5,0,0,0,1.0,30.4,23.0,20.0,0,0,0,0,0,0,0,9,0,12,237,341,0,32,0,0,0,0,1.427724143932214E15,0.0,1.427724143932214E15,1.427724143932214E15,NeedManualLabel
131.202.240.150-216.58.219.237-59030-443-6,131.202.240.150,59030,216.58.219.237,443,6,30/03/2015 11:02:23 AM,63,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,1222222.2222222222,47619.04761904762,31.5,36.062445840513924,57.0,6.0,63.0,31.5,36.062445840513924,57.0,6.0,0,0,0,0,0,1,0,0,0,96,0,47619.04761904762,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,237,0,1,32,0,0,0,0,1.42772414397189E15,0.0,1.42772414397189E15,1.42772414397189E15,NeedManualLabel
131.202.240.150-216.58.219.238-47703-443-6,131.202.240.150,47703,216.58.219.238,443,6,30/03/2015 11:02:24 AM,25508,1,3,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,20.0,34.64101615137755,4155.559040301082,156.81354869060686,8502.666666666668,14690.681717787413,25466.0,10.0,0,0,0,0,0,42.0,21.0,15.556349186104045,32.0,10.0,1,0,0,0,32,96,39.203387172651716,117.61016151795515,0.0,60.0,30.4,28.333725487482226,802.8,1,0,0,2,4,0,0,0,3.0,38.0,46.0,20.0,0,0,0,0,0,0,0,11,0,15,245,503,0,32,0,0,0,0,1.427724144933041E15,0.0,1.427724144933041E15,1.427724144933041E15,NeedManualLabel
131.202.240.150-216.58.219.227-54491-443-6,131.202.240.150,54491,216.58.219.227,443,6,30/03/2015 11:02:24 AM,25462,1,3,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,20.0,34.64101615137755,4163.066530516064,157.09685020815334,8487.333333333332,14691.832300068407,25452.0,5.0,0,0,0,0,0,10.0,5.0,0.0,5.0,5.0,1,0,0,0,32,96,39.274212552038335,117.822637656115,0.0,60.0,30.4,28.333725487482226,802.8,1,0,0,2,4,0,0,0,3.0,38.0,46.0,20.0,0,0,0,0,0,0,0,11,0,15,2125,350,0,32,0,0,0,0,1.427724144933104E15,0.0,1.427724144933104E15,1.427724144933104E15,NeedManualLabel
131.202.240.150-216.58.219.238-47703-443-6,131.202.240.150,47703,216.58.219.238,443,6,30/03/2015 11:02:24 AM,165,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,466666.6666666667,18181.81818181818,82.5,91.21677477306463,147.0,18.0,165.0,82.5,91.21677477306463,147.0,18.0,0,0,0,0,0,1,0,0,0,96,0,18181.81818181818,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,245,0,1,32,0,0,0,0,1.427724144958682E15,0.0,1.427724144958682E15,1.427724144958682E15,NeedManualLabel
131.202.240.150-216.58.219.227-54491-443-6,131.202.240.150,54491,216.58.219.227,443,6,30/03/2015 11:02:24 AM,106,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,726415.0943396227,28301.88679245283,53.0,56.568542494923804,93.0,13.0,106.0,53.0,56.568542494923804,93.0,13.0,0,0,0,0,0,1,0,0,0,96,0,28301.88679245283,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,2125,0,1,32,0,0,0,0,1.427724144965741E15,0.0,1.427724144965741E15,1.427724144965741E15,NeedManualLabel
131.202.240.150-216.58.219.230-44273-443-6,131.202.240.150,44273,216.58.219.230,443,6,30/03/2015 11:02:32 AM,25576,1,3,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,20.0,34.64101615137755,4144.510478573662,156.3966218329684,8525.333333333332,14742.063944147487,25548.0,6.0,0,0,0,0,0,28.0,14.0,11.313708498984761,22.0,6.0,1,0,0,0,32,96,39.0991554582421,117.2974663747263,0.0,60.0,30.4,28.333725487482226,802.8,1,0,0,2,4,0,0,0,3.0,38.0,46.0,20.0,0,0,0,0,0,0,0,11,0,15,245,350,0,32,0,0,0,0,1.427724152034517E15,0.0,1.427724152034517E15,1.427724152034517E15,NeedManualLabel
131.202.240.150-216.58.219.230-44273-443-6,131.202.240.150,44273,216.58.219.230,443,6,30/03/2015 11:02:32 AM,164,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,469512.1951219512,18292.682926829268,82.0,14.142135623730951,92.0,72.0,164.0,82.0,14.142135623730951,92.0,72.0,0,0,0,0,0,1,0,0,0,96,0,18292.682926829268,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,245,0,1,32,0,0,0,0,1.427724152062429E15,0.0,1.427724152062429E15,1.427724152062429E15,NeedManualLabel
