Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-216.58.219.225-60348-443-6,131.202.240.150,60348,216.58.219.225,443,6,30/03/2015 11:18:49 AM,58728536,9,10,739.0,345.0,517.0,0.0,82.1111111111111,165.95891392483597,149.0,0.0,34.5,47.42537998442044,18.457807291501357,0.32352245252631534,3262696.4444444445,1.3800205434212787E7,5.8559225E7,5.0,5.8702919E7,7337864.875,2.0723030488962077E7,5.8624739E7,71.0,5.8702728E7,6522525.333333333,1.95233722559659E7,5.8584818E7,5.0,0,0,0,0,296,328,0.15324747751246515,0.17027497501385017,0.0,517.0,54.200000000000024,115.71544044722269,13390.06315789474,1,2,0,10,18,0,0,0,1.0,57.05263157894737,82.11111111111111,34.5,0,0,0,978,8,18741,0,38,0,18,29200,341,5,32,143694.0,0.0,143694.0,143694.0,7.138625939492685E14,1.009554079218643E15,1.427725129339312E15,5.8559225E7,NeedManualLabel
131.202.240.150-216.58.219.225-60348-443-6,131.202.240.150,60348,216.58.219.225,443,6,30/03/2015 11:19:48 AM,74,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,1040540.5405405406,40540.54054054054,37.0,43.840620433565945,68.0,6.0,74.0,37.0,43.840620433565945,68.0,6.0,0,0,0,0,0,1,0,0,0,96,0,40540.54054054054,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,237,0,1,32,0,0,0,0,1.427725188067922E15,0.0,1.427725188067922E15,1.427725188067922E15,NeedManualLabel
131.202.240.150-216.58.219.237-59062-443-6,131.202.240.150,59062,216.58.219.237,443,6,30/03/2015 11:18:50 AM,58257707,10,10,739.0,345.0,517.0,0.0,73.89999999999999,158.60744693179518,149.0,0.0,34.5,47.42537998442044,18.606980188904448,0.34330221750746215,3066195.1052631577,1.3323040346819062E7,5.8083441E7,4.0,5.8257703E7,6473078.111111111,1.9363333172103077E7,5.810862E7,155.0,5.8231266E7,6470140.666666666,1.9364542457906783E7,5.8108889E7,15.0,0,0,0,0,328,328,0.17165110875373107,0.17165110875373107,0.0,517.0,51.61904761904763,113.40391359669921,12860.44761904762,1,2,0,10,19,0,0,0,1.0,54.2,73.9,34.5,0,0,0,978,8,16970,0,36,0,17,29200,341,5,32,148711.0,0.0,148711.0,148711.0,7.138625944471185E14,1.0095540805955695E15,1.427725130810796E15,5.8083441E7,NeedManualLabel
131.202.240.150-216.58.219.237-59062-443-6,131.202.240.150,59062,216.58.219.237,443,6,30/03/2015 11:19:49 AM,88,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,875000.0,34090.90909090909,44.0,39.59797974644666,72.0,16.0,88.0,44.0,39.59797974644666,72.0,16.0,0,0,0,0,0,1,0,0,0,96,0,34090.90909090909,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,237,0,1,32,0,0,0,0,1.427725189068603E15,0.0,1.427725189068603E15,1.427725189068603E15,NeedManualLabel
131.202.240.150-216.58.219.193-58777-443-6,131.202.240.150,58777,216.58.219.193,443,6,30/03/2015 11:18:50 AM,58252773,12,13,508.0,4042.0,211.0,0.0,42.333333333333336,67.43391827065466,1338.0,0.0,310.9230769230769,518.5547964517124,78.10786964596518,0.4291641189338746,2427198.875,1.1852951112576406E7,5.8075064E7,1.0,5.8252772E7,5295706.545454546,1.751078555932519E7,5.8092692E7,105.0,5.8226945E7,4852245.416666667,1.6768944547474269E7,5.8100765E7,9.0,0,0,0,0,392,424,0.2059987770882598,0.22316534184561482,0.0,1338.0,174.99999999999997,387.75332364790887,150352.63999999996,1,2,0,11,24,0,0,0,1.0,182.0,42.333333333333336,310.9230769230769,0,0,0,4444,11,65159,0,20,0,161,29200,341,5,32,151305.0,0.0,151305.0,151305.0,7.138625944458585E14,1.0095540806056344E15,1.427725130816653E15,5.8075064E7,NeedManualLabel
131.202.240.150-216.58.219.193-58777-443-6,131.202.240.150,58777,216.58.219.193,443,6,30/03/2015 11:19:49 AM,66,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,1166666.6666666665,45454.54545454545,33.0,35.35533905932738,58.0,8.0,66.0,33.0,35.35533905932738,58.0,8.0,0,0,0,0,0,1,0,0,0,96,0,45454.54545454545,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,316,0,1,32,0,0,0,0,1.427725189080298E15,0.0,1.427725189080298E15,1.427725189080298E15,NeedManualLabel
131.202.240.150-173.194.123.103-37898-443-6,131.202.240.150,37898,173.194.123.103,443,6,30/03/2015 11:18:51 AM,58124262,5,9,736.0,209.0,536.0,0.0,147.2,220.71067033562286,65.0,0.0,23.22222222222222,28.573491988982454,16.258270943723982,0.24086327324035528,4471097.076923076,1.6080470075053588E7,5.7990099E7,3.0,5.8098784E7,1.4524696E7,2.902037456409443E7,5.8055247E7,24.0,5.8099275E7,7262409.374999999,2.0507382633106615E7,5.8015561E7,3.0,1,0,0,0,160,288,0.08602259758584117,0.15484067565451412,0.0,536.0,70.2,134.24934157859292,18022.88571428572,1,0,0,8,14,0,0,0,1.0,75.21428571428571,147.2,23.22222222222222,0,0,0,839,6,19270,0,52,0,14,317,424,3,32,108685.0,0.0,108685.0,108685.0,7.1386259496737E14,1.0095540814633216E15,1.427725131944641E15,5.7990099E7,NeedManualLabel
131.202.240.150-173.194.123.103-37898-443-6,131.202.240.150,37898,173.194.123.103,443,6,30/03/2015 11:19:50 AM,81,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,950617.2839506172,37037.03703703704,40.5,48.79036790187178,75.0,6.0,81.0,40.5,48.79036790187178,75.0,6.0,0,0,0,0,0,1,0,0,0,96,0,37037.03703703704,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,317,0,1,32,0,0,0,0,1.427725190068966E15,0.0,1.427725190068966E15,1.427725190068966E15,NeedManualLabel
131.202.240.150-216.58.219.227-54518-443-6,131.202.240.150,54518,216.58.219.227,443,6,30/03/2015 11:18:49 AM,61018578,277,326,1656.0,862461.0,517.0,0.0,5.978339350180509,39.61562923696839,6690.0,0.0,2645.5858895705533,1501.277336234911,14161.539457704177,9.88223619370481,101359.76411960133,2388581.1329377587,5.8594957E7,0.0,6.0992616E7,220987.73913043478,3531342.0714677977,5.8659946E7,3.0,6.0992557E7,187669.40615384612,3252152.5967181367,5.8620908E7,1.0,0,0,0,0,10420,10440,4.539601037572524,5.342635156132285,0.0,6690.0,1430.6572847682119,1717.3383500021112,2949251.008387974,1,2,0,68,602,0,0,0,1.0,1433.0298507462687,5.978339350180505,2645.5858895705524,0,0,0,432005,164,786687,0,2,0,1430,29200,350,14,32,2397659.0,0.0,2397659.0,2397659.0,7.138625938228605E14,1.0095540789893425E15,1.427725129050764E15,5.8594957E7,NeedManualLabel
131.202.240.150-216.58.219.227-54518-443-6,131.202.240.150,54518,216.58.219.227,443,6,30/03/2015 11:19:50 AM,156,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,493589.7435897436,19230.76923076923,78.0,82.02438661763951,136.0,20.0,156.0,78.0,82.02438661763951,136.0,20.0,0,0,0,0,0,1,0,0,0,96,0,19230.76923076923,0.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,1,25,0,0,7564,0,1,32,0,0,0,0,1.427725190078544E15,0.0,1.427725190078544E15,1.427725190078544E15,NeedManualLabel
