Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 01:35:57 PM,54735237,15,0,750.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,13.702324884425002,0.27404649768850003,3909659.7857142854,1.0047860549275415E7,3.8451225E7,10880.0,5.4735237E7,3909659.7857142854,1.0047860549275415E7,3.8451225E7,10880.0,0,0,0,0,0,0,0,0,0,120,0,0.27404649768850003,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.333333333333336,50.0,0.0,0,0,0,300,6,99,1,50,0,0,0,0,14,8,4487598.0,4216462.179866197,7469087.0,1506109.0,4.767751339829666E14,8.257987175270218E14,1.430325357704314E15,5793361.0,NeedManualLabel
131.202.240.87-224.0.0.252-63345-5355-17,131.202.240.87,63345,224.0.0.252,5355,17,29/04/2015 01:33:47 PM,411323,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.97189313507876,4.8623587788672165,411323.0,0.0,411323.0,411323.0,411323.0,411323.0,0.0,411323.0,411323.0,0,0,0,0,0,0,0,0,0,16,0,4.8623587788672165,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325227087222E15,0.0,1.430325227087222E15,1.430325227087222E15,NeedManualLabel
131.202.240.87-131.202.244.3-54247-53-17,131.202.240.87,54247,131.202.244.3,53,17,29/04/2015 01:35:04 PM,576,1,1,42.0,507.0,42.0,42.0,42.0,0.0,507.0,507.0,507.0,0.0,953125.0,3472.222222222222,576.0,0.0,576.0,576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1736.111111111111,1736.111111111111,42.0,507.0,197.0,268.46787517317597,72075.0,0,0,0,0,0,0,0,0,1.0,295.5,42.0,507.0,0,0,0,0,0,0,0,21,0,253,0,0,0,8,0,0,0,0,1.430325304340172E15,0.0,1.430325304340172E15,1.430325304340172E15,NeedManualLabel
131.202.240.87-224.0.0.252-50114-5355-17,131.202.240.87,50114,224.0.0.252,5355,17,29/04/2015 01:32:47 PM,415742,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,105.83486874070938,4.8106758518504265,415742.0,0.0,415742.0,415742.0,415742.0,415742.0,0.0,415742.0,415742.0,0,0,0,0,0,0,0,0,0,16,0,4.8106758518504265,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325167925694E15,0.0,1.430325167925694E15,1.430325167925694E15,NeedManualLabel
131.202.240.87-224.0.0.252-62917-5355-17,131.202.240.87,62917,224.0.0.252,5355,17,29/04/2015 01:35:57 PM,411291,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.9802159541541,4.862737088825186,411291.0,0.0,411291.0,411291.0,411291.0,411291.0,0.0,411291.0,411291.0,0,0,0,0,0,0,0,0,0,16,0,4.862737088825186,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325357705372E15,0.0,1.430325357705372E15,1.430325357705372E15,NeedManualLabel
131.202.240.87-224.0.0.252-54096-5355-17,131.202.240.87,54096,224.0.0.252,5355,17,29/04/2015 01:36:50 PM,448529,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,98.0984507133318,4.459020486969627,448529.0,0.0,448529.0,448529.0,448529.0,448529.0,0.0,448529.0,448529.0,0,0,0,0,0,0,0,0,0,16,0,4.459020486969627,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325410925186E15,0.0,1.430325410925186E15,1.430325410925186E15,NeedManualLabel
131.202.240.87-131.202.244.3-62130-53-17,131.202.240.87,62130,131.202.244.3,53,17,29/04/2015 01:31:53 PM,1103,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,103354.48776065276,1813.236627379873,1103.0,0.0,1103.0,1103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,906.6183136899365,906.6183136899365,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0,0,0,0,1.430325113016922E15,0.0,1.430325113016922E15,1.430325113016922E15,NeedManualLabel
131.202.240.87-224.0.0.252-55151-5355-17,131.202.240.87,55151,224.0.0.252,5355,17,29/04/2015 01:32:47 PM,416089,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,105.74660709607801,4.806663958912637,416089.0,0.0,416089.0,416089.0,416089.0,416089.0,0.0,416089.0,416089.0,0,0,0,0,0,0,0,0,0,16,0,4.806663958912637,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325167925326E15,0.0,1.430325167925326E15,1.430325167925326E15,NeedManualLabel
131.202.240.87-224.0.0.252-61689-5355-17,131.202.240.87,61689,224.0.0.252,5355,17,29/04/2015 01:33:47 PM,411147,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.01768467239212,4.86444021238146,411147.0,0.0,411147.0,411147.0,411147.0,411147.0,0.0,411147.0,411147.0,0,0,0,0,0,0,0,0,0,16,0,4.86444021238146,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325227087561E15,0.0,1.430325227087561E15,1.430325227087561E15,NeedManualLabel
131.202.240.87-224.0.0.252-60842-5355-17,131.202.240.87,60842,224.0.0.252,5355,17,29/04/2015 01:36:05 PM,415521,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,105.89115832894126,4.81323446949733,415521.0,0.0,415521.0,415521.0,415521.0,415521.0,0.0,415521.0,415521.0,0,0,0,0,0,0,0,0,0,16,0,4.81323446949733,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325365004196E15,0.0,1.430325365004196E15,1.430325365004196E15,NeedManualLabel
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,6,29/04/2015 01:35:08 PM,177771,1,1,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,33.75128676780802,11.250428922602673,177771.0,0.0,177771.0,177771.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,5.625214461301336,5.625214461301336,0.0,6.0,4.0,3.4641016151377544,12.0,0,0,0,1,2,0,0,0,1.0,6.0,6.0,0.0,0,0,0,0,0,0,0,3,0,0,64800,16384,0,20,0,0,0,0,1.430325308000579E15,0.0,1.430325308000579E15,1.430325308000579E15,NeedManualLabel
131.202.240.87-224.0.0.252-59398-5355-17,131.202.240.87,59398,224.0.0.252,5355,17,29/04/2015 01:26:08 PM,411324,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.97163306784918,4.862346957629509,411324.0,0.0,411324.0,411324.0,411324.0,411324.0,0.0,411324.0,411324.0,0,0,0,0,0,0,0,0,0,16,0,4.862346957629509,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430324768693117E15,0.0,1.430324768693117E15,1.430324768693117E15,NeedManualLabel
131.202.240.87-224.0.0.252-62528-5355-17,131.202.240.87,62528,224.0.0.252,5355,17,29/04/2015 01:36:50 PM,449065,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,97.98136127286696,4.453698239675771,449065.0,0.0,449065.0,449065.0,449065.0,449065.0,0.0,449065.0,449065.0,0,0,0,0,0,0,0,0,0,16,0,4.453698239675771,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325410924671E15,0.0,1.430325410924671E15,1.430325410924671E15,NeedManualLabel
131.202.240.87-224.0.0.252-50351-5355-17,131.202.240.87,50351,224.0.0.252,5355,17,29/04/2015 01:27:42 PM,411423,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.94589267007436,4.861176939548835,411423.0,0.0,411423.0,411423.0,411423.0,411423.0,0.0,411423.0,411423.0,0,0,0,0,0,0,0,0,0,16,0,4.861176939548835,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430324862215661E15,0.0,1.430324862215661E15,1.430324862215661E15,NeedManualLabel
131.202.240.87-224.0.0.252-56738-5355-17,131.202.240.87,56738,224.0.0.252,5355,17,29/04/2015 01:28:30 PM,412215,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.74041458947394,4.85183702679427,412215.0,0.0,412215.0,412215.0,412215.0,412215.0,0.0,412215.0,412215.0,0,0,0,0,0,0,0,0,0,16,0,4.85183702679427,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430324910584786E15,0.0,1.430324910584786E15,1.430324910584786E15,NeedManualLabel
131.202.240.87-224.0.0.252-57947-5355-17,131.202.240.87,57947,224.0.0.252,5355,17,29/04/2015 01:27:42 PM,411040,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.04554301284546,4.865706500583885,411040.0,0.0,411040.0,411040.0,411040.0,411040.0,0.0,411040.0,411040.0,0,0,0,0,0,0,0,0,0,16,0,4.865706500583885,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430324862216035E15,0.0,1.430324862216035E15,1.430324862216035E15,NeedManualLabel
131.202.240.87-131.202.244.3-13970-53-17,131.202.240.87,13970,131.202.244.3,53,17,29/04/2015 01:35:27 PM,44666,1,1,33.0,479.0,33.0,33.0,33.0,0.0,479.0,479.0,479.0,0.0,11462.85765459186,44.776787713249455,44666.0,0.0,44666.0,44666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,22.388393856624727,22.388393856624727,33.0,479.0,181.66666666666666,257.49822005857305,66305.33333333333,0,0,0,0,0,0,0,0,1.0,272.5,33.0,479.0,0,0,0,0,0,0,0,16,0,239,0,0,0,8,0,0,0,0,1.430325327498926E15,0.0,1.430325327498926E15,1.430325327498926E15,NeedManualLabel
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,6,29/04/2015 01:36:28 PM,39216986,22,20,460.0,2289.0,246.0,0.0,20.90909090909091,55.73313034615783,281.0,0.0,114.44999999999999,108.7369955926975,70.09717676927033,1.07096450502341,956511.8536585366,1901237.5742583245,8376709.0,55.0,3.9127042E7,1863192.4761904762,2391812.0023040194,8547669.0,50124.0,3.4178919E7,1798890.4736842106,2388307.229578895,8548428.0,40988.0,1,0,0,0,440,400,0.5609814073932148,0.5099830976301952,0.0,281.0,64.81395348837206,95.4042166917648,9101.964562569214,0,0,0,23,42,0,0,0,0.0,66.35714285714286,20.90909090909091,114.45,0,0,0,429,4,2016,0,10,0,54,16384,16384,4,20,1.21916705E7,1.0049960895687131E7,1.9298066E7,5085275.0,4.767751342888914E14,8.257987438332121E14,1.430325388386011E15,6103954.0,NeedManualLabel
131.202.240.87-224.0.0.252-57197-5355-17,131.202.240.87,57197,224.0.0.252,5355,17,29/04/2015 01:36:06 PM,411533,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.9173067530429,4.859877579683768,411533.0,0.0,411533.0,411533.0,411533.0,411533.0,0.0,411533.0,411533.0,0,0,0,0,0,0,0,0,0,16,0,4.859877579683768,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.43032536649558E15,0.0,1.43032536649558E15,1.43032536649558E15,NeedManualLabel
131.202.240.87-224.0.0.252-52100-5355-17,131.202.240.87,52100,224.0.0.252,5355,17,29/04/2015 01:26:04 PM,411644,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.8884764505252,4.85856711138751,411644.0,0.0,411644.0,411644.0,411644.0,411644.0,0.0,411644.0,411644.0,0,0,0,0,0,0,0,0,0,16,0,4.85856711138751,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430324764230564E15,0.0,1.430324764230564E15,1.430324764230564E15,NeedManualLabel
131.202.240.87-224.0.0.252-58638-5355-17,131.202.240.87,58638,224.0.0.252,5355,17,29/04/2015 01:31:21 PM,412738,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.60515872054427,4.845689032752012,412738.0,0.0,412738.0,412738.0,412738.0,412738.0,0.0,412738.0,412738.0,0,0,0,0,0,0,0,0,0,16,0,4.845689032752012,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430325081849937E15,0.0,1.430325081849937E15,1.430325081849937E15,NeedManualLabel
131.202.240.87-224.0.0.252-65038-5355-17,131.202.240.87,65038,224.0.0.252,5355,17,29/04/2015 01:26:04 PM,411996,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.79715337042109,4.854416062291867,411996.0,0.0,411996.0,411996.0,411996.0,411996.0,0.0,411996.0,411996.0,0,0,0,0,0,0,0,0,0,16,0,4.854416062291867,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430324764230216E15,0.0,1.430324764230216E15,1.430324764230216E15,NeedManualLabel
131.202.240.87-131.202.244.3-13968-53-17,131.202.240.87,13968,131.202.244.3,53,17,29/04/2015 01:25:27 PM,61968,1,1,33.0,511.0,33.0,33.0,33.0,0.0,511.0,511.0,511.0,0.0,8778.724502969275,32.274722437387034,61968.0,0.0,61968.0,61968.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16.137361218693517,16.137361218693517,33.0,511.0,192.33333333333334,275.97342867264115,76161.33333333334,0,0,0,0,0,0,0,0,1.0,288.5,33.0,511.0,0,0,0,0,0,0,0,16,0,255,0,0,0,8,0,0,0,0,1.430324727323512E15,0.0,1.430324727323512E15,1.430324727323512E15,NeedManualLabel
131.202.240.87-224.0.0.252-54225-5355-17,131.202.240.87,54225,224.0.0.252,5355,17,29/04/2015 01:26:08 PM,410824,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.10182462563043,4.868264755710475,410824.0,0.0,410824.0,410824.0,410824.0,410824.0,0.0,410824.0,410824.0,0,0,0,0,0,0,0,0,0,16,0,4.868264755710475,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430324768693632E15,0.0,1.430324768693632E15,1.430324768693632E15,NeedManualLabel
131.202.240.87-64.12.27.65-64334-443-6,131.202.240.87,64334,64.12.27.65,443,6,29/04/2015 01:32:02 PM,1124443,1,2,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.33597523396028,2.66798761698014,562221.5,713593.0716903717,1066808.0,57635.0,0,0,0,0,0,1066808.0,1066808.0,0.0,1066808.0,1066808.0,1,0,0,0,20,40,0.8893292056600467,1.7786584113200934,0.0,6.0,3.0,3.4641016151377544,12.0,0,0,1,1,3,0,0,0,2.0,4.0,6.0,0.0,0,0,0,0,0,0,0,2,0,0,63808,16384,0,20,0,0,0,0,1.430325122001247E15,0.0,1.430325122001247E15,1.430325122001247E15,NeedManualLabel
