Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 01:25:46 PM,117940402,41,0,2050.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,17.381660272787606,0.3476332054557521,2948510.0500000003,5326222.764779451,2.5092214E7,25.0,1.17940402E8,2948510.0500000003,5326222.764779451,2.5092214E7,25.0,0,0,0,0,0,0,0,0,0,328,0,0.3476332054557521,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,51.21951219512195,50.0,0.0,0,0,0,375,7,120,1,50,0,0,0,0,40,8,2682605.625,2229277.1043279567,7178012.0,749928.0,1.589249823587442E14,4.767749114604007E14,1.430324746253146E15,5114274.0,NeedManualLabel
131.202.240.242-178.237.18.202-31773-443-6,131.202.240.242,31773,178.237.18.202,443,6,29/04/2015 01:25:51 PM,114066126,27,27,587.0,1991.0,124.0,0.0,21.74074074074074,34.62945899374448,371.0,0.0,73.74074074074072,101.1782861292164,22.60092536148725,0.473409608037359,2152191.0566037735,4336650.475646491,2.0587091E7,40.0,1.14066126E8,4387158.692307694,5449651.464449285,2.0649847E7,88358.0,1.13840419E8,4378477.653846154,5474796.3816742115,2.0651988E7,32995.0,1,0,0,0,540,540,0.2367048040186795,0.2367048040186795,0.0,371.0,46.98181818181818,78.82904402451028,6214.01818181818,0,0,0,30,54,0,0,0,1.0,47.851851851851855,21.74074074074074,73.74074074074075,0,0,0,443,4,2134,0,10,0,36,63477,16384,10,20,2596189.7499999995,6382507.002684888,1.8354101E7,64897.0,1.5892498271634912E14,4.767749134779454E14,1.43032475199087E15,8575901.0,NeedManualLabel
131.202.240.242-64.12.104.73-31785-443-6,131.202.240.242,31785,64.12.104.73,443,6,29/04/2015 01:25:59 PM,119995480,5,4,370.0,0.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,3.083449476596952,0.07500282510641235,1.4999435E7,1.5974896985715566E7,2.9948993E7,56029.0,1.1999548E8,2.999887E7,6960.480443188215,3.0005646E7,2.9989162E7,8.999011E7,2.9996703333333332E7,6680.1896929154145,3.0001626E7,2.9989099E7,1,0,0,0,100,80,0.04166823617022908,0.03333458893618326,0.0,74.0,44.400000000000006,38.21343568257985,1460.2666666666667,0,0,0,5,9,0,0,0,0.0,49.333333333333336,74.0,0.0,0,0,0,0,0,0,0,41,0,0,64800,16384,4,20,56287.75,286.73027395097296,56653.0,56029.0,2.860649759539734E14,6.396606652612779E14,1.430324759999538E15,2.993307E7,NeedManualLabel
131.202.240.242-205.188.12.43-31783-443-6,131.202.240.242,31783,205.188.12.43,443,6,29/04/2015 01:26:00 PM,119995090,5,4,370.0,0.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,3.083459498217802,0.07500306887556815,1.4999386249999998E7,1.5976158454362119E7,2.9950875E7,54873.0,1.1999509E8,2.99987725E7,6776.149767136267,3.0005756E7,2.9989585E7,8.9988809E7,2.9996269666666668E7,5740.854843429969,3.0000714E7,2.9989788E7,1,0,0,0,100,80,0.04166837159753786,0.03333469727803029,0.0,74.0,44.400000000000006,38.21343568257985,1460.2666666666667,0,0,0,5,9,0,0,0,0.0,49.333333333333336,74.0,0.0,0,0,0,0,0,0,0,41,0,0,64518,16384,4,20,55059.0,249.65175745425924,55406.0,54873.0,2.860649759551596E14,6.396606652614009E14,1.430324760000944E15,2.9934712E7,NeedManualLabel
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.242,51434,131.202.240.45,161,17,29/04/2015 01:26:00 PM,90060870,16,16,1264.0,1504.0,79.0,79.0,79.0,0.0,94.0,94.0,94.0,0.0,30.73476860705432,0.35531524401218867,2905189.3548387103,9008873.578989796,2.9983521E7,48.0,9.0031058E7,6002070.533333333,1.2425333214166906E7,3.0013802E7,48.0,9.0052863E7,6003524.199999999,1.241328672417199E7,2.9991577E7,7011.0,0,0,0,0,128,128,0.17765762200609433,0.17765762200609433,79.0,94.0,86.27272727272725,7.612788283838287,57.95454545454549,0,0,0,0,0,0,0,0,1.0,88.96875,79.0,94.0,0,0,0,692,8,23014,0,39,0,47,0,0,15,8,30089.0,378.099193334236,30472.0,29716.0,3.57581212703515E14,7.151623654466314E14,1.430324760873462E15,2.9976411E7,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 01:26:05 PM,119996016,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.09166971010104202,1.1999601600000001E7,1.2895236637020519E7,2.9942461E7,1134.0,1.19996016E8,1.1999601600000001E7,1.2895236637020519E7,2.9942461E7,1134.0,0,0,0,0,0,0,0,0,0,0,0,0.09166971010104202,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,536757.5,753919.3714214405,1069859.0,3656.0,2.383874802898198E14,5.839276309889329E14,1.430324765819046E15,1.248562E7,NeedManualLabel
131.202.240.242-224.0.0.252-50785-5355-17,131.202.240.242,50785,224.0.0.252,5355,17,29/04/2015 01:26:47 PM,421045,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.5018940968305,4.750086095310477,421045.0,0.0,421045.0,421045.0,421045.0,421045.0,0.0,421045.0,421045.0,0,0,0,0,0,0,0,0,0,16,0,4.750086095310477,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430324807579455E15,0.0,1.430324807579455E15,1.430324807579455E15,NeedManualLabel
131.202.240.242-178.237.18.202-31773-443-6,131.202.240.242,31773,178.237.18.202,443,6,29/04/2015 01:27:52 PM,117414079,30,31,772.0,3251.0,135.0,0.0,25.73333333333333,40.559818177288626,399.0,0.0,104.87096774193549,124.91296755087357,34.26335269384517,0.5195288377639959,1956901.316666667,4212004.84174547,1.9138884E7,60.0,1.17414079E8,4048761.344827586,5425917.103471807,1.9195526E7,47387.0,1.1718588E8,3906196.000000001,5367973.684481246,1.9188991E7,31524.0,1,0,0,0,600,620,0.25550598578557177,0.2640228519784242,0.0,399.0,66.56451612903227,100.22198655537763,10044.446589106294,0,0,0,35,61,0,0,0,1.0,67.65573770491804,25.733333333333334,104.87096774193549,0,0,0,446,4,2051,0,12,0,53,64604,16384,11,20,1165731.5,1679097.8988668786,4952934.0,35496.0,1.300295432142009E14,4.3125917224414694E14,1.430324872062462E15,5247595.0,NeedManualLabel
131.202.240.242-131.202.6.26-32442-13000-6,131.202.240.242,32442,131.202.6.26,13000,6,29/04/2015 01:29:55 PM,15346,10,10,1674.0,6500.0,506.0,0.0,167.4,196.38069604158596,1350.0,0.0,650.0,571.8638144018402,532646.9438290108,1303.2712107389548,807.6842105263158,799.8351255541203,2928.0,27.0,15346.0,1705.1111111111109,1462.6890001333543,4880.0,344.0,14314.0,1590.4444444444443,1179.641376765743,3523.0,115.0,0,0,0,0,212,212,651.6356053694774,651.6356053694774,0.0,1350.0,389.2380952380952,480.3091613494276,230696.89047619049,1,2,0,11,19,0,0,0,1.0,408.7,167.4,650.0,0,0,0,8174,13,595816,0,83,0,325,65535,32768,5,20,0,0,0,0,1.430324995119451E15,0.0,1.430324995119451E15,1.430324995119451E15,NeedManualLabel
131.202.6.26-131.202.240.242-13000-32442-6,131.202.6.26,13000,131.202.240.242,32442,6,29/04/2015 01:29:55 PM,86,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,23255.81395348837,86.0,0.0,86.0,86.0,86.0,86.0,0.0,86.0,86.0,0,0,0,0,0,0,0,0,0,40,0,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32768,0,0,20,0,0,0,0,1.430324995135063E15,0.0,1.430324995135063E15,1.430324995135063E15,NeedManualLabel
