Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-209.148.205.41-43572-80-6,131.202.240.150,43572,209.148.205.41,80,6,01/04/2015 02:53:07 PM,21981,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.98767117055638,21981.0,0.0,21981.0,21981.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.49383558527819,45.49383558527819,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,462,553,0,32,0,0,0,0,1.427910787706092E15,0.0,1.427910787706092E15,1.427910787706092E15,NeedManualLabel
131.202.240.150-209.148.205.41-43574-80-6,131.202.240.150,43574,209.148.205.41,80,6,01/04/2015 02:53:07 PM,21928,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.20758847136082,21928.0,0.0,21928.0,21928.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.60379423568041,45.60379423568041,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,286,553,0,32,0,0,0,0,1.427910787706194E15,0.0,1.427910787706194E15,1.427910787706194E15,NeedManualLabel
131.202.240.150-209.148.205.41-43573-80-6,131.202.240.150,43573,209.148.205.41,80,6,01/04/2015 02:53:07 PM,21966,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.04980424292089,21966.0,0.0,21966.0,21966.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.52490212146044,45.52490212146044,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,472,553,0,32,0,0,0,0,1.427910787706164E15,0.0,1.427910787706164E15,1.427910787706164E15,NeedManualLabel
131.202.240.150-209.148.205.32-39794-80-6,131.202.240.150,39794,209.148.205.32,80,6,01/04/2015 02:53:07 PM,22012,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.85953116481919,22012.0,0.0,22012.0,22012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.429765582409594,45.429765582409594,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,821,0,32,0,0,0,0,1.42791078770628E15,0.0,1.42791078770628E15,1.42791078770628E15,NeedManualLabel
131.202.240.150-209.148.205.32-39796-80-6,131.202.240.150,39796,209.148.205.32,80,6,01/04/2015 02:53:07 PM,21995,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.92975676290065,21995.0,0.0,21995.0,21995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.464878381450326,45.464878381450326,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,1123,0,32,0,0,0,0,1.427910787706323E15,0.0,1.427910787706323E15,1.427910787706323E15,NeedManualLabel
131.202.240.150-209.148.205.41-43556-80-6,131.202.240.150,43556,209.148.205.41,80,6,01/04/2015 02:53:07 PM,22362,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.43743851176103,22362.0,0.0,22362.0,22362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.718719255880515,44.718719255880515,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,985,486,0,32,0,0,0,0,1.427910787706256E15,0.0,1.427910787706256E15,1.427910787706256E15,NeedManualLabel
131.202.240.150-209.148.205.32-39829-80-6,131.202.240.150,39829,209.148.205.32,80,6,01/04/2015 02:53:07 PM,22274,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.79078746520608,22274.0,0.0,22274.0,22274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.89539373260304,44.89539373260304,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,888,0,32,0,0,0,0,1.427910787706374E15,0.0,1.427910787706374E15,1.427910787706374E15,NeedManualLabel
131.202.240.150-209.148.205.8-58303-80-6,131.202.240.150,58303,209.148.205.8,80,6,01/04/2015 02:53:07 PM,22240,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.92805755395683,22240.0,0.0,22240.0,22240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.96402877697842,44.96402877697842,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,1056,0,32,0,0,0,0,1.427910787706415E15,0.0,1.427910787706415E15,1.427910787706415E15,NeedManualLabel
131.202.240.150-209.148.205.32-39823-80-6,131.202.240.150,39823,209.148.205.32,80,6,01/04/2015 02:53:07 PM,22189,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.13475145342287,22189.0,0.0,22189.0,22189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.06737572671143,45.06737572671143,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1351,687,0,32,0,0,0,0,1.427910787706474E15,0.0,1.427910787706474E15,1.427910787706474E15,NeedManualLabel
131.202.240.150-209.148.205.8-58314-80-6,131.202.240.150,58314,209.148.205.8,80,6,01/04/2015 02:53:07 PM,22228,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.97660608241857,22228.0,0.0,22228.0,22228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.988303041209285,44.988303041209285,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,1022,0,32,0,0,0,0,1.427910787706442E15,0.0,1.427910787706442E15,1.427910787706442E15,NeedManualLabel
