Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.240.72-22-51955-6,131.202.240.150,22,131.202.240.72,51955,6,02/04/2015 09:06:49 AM,237,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8438.818565400845,237.0,0.0,237.0,237.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4219.409282700422,4219.409282700422,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,13336,205,0,32,0,0,0,0,1.427976409447908E15,0.0,1.427976409447908E15,1.427976409447908E15,NeedManualLabel
131.202.240.150-131.202.244.5-43340-53-17,131.202.240.150,43340,131.202.244.5,53,17,02/04/2015 09:06:49 AM,417,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,474820.1438848921,4796.163069544365,417.0,0.0,417.0,417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2398.0815347721823,2398.0815347721823,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,1.427976409298103E15,0.0,1.427976409298103E15,1.427976409298103E15,NeedManualLabel
131.202.240.150-131.202.244.5-43643-53-17,131.202.240.150,43643,131.202.244.5,53,17,02/04/2015 09:06:49 AM,356,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,556179.7752808989,5617.9775280898875,356.0,0.0,356.0,356.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2808.9887640449438,2808.9887640449438,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,1.427976409298926E15,0.0,1.427976409298926E15,1.427976409298926E15,NeedManualLabel
131.202.240.150-131.202.244.5-10126-53-17,131.202.240.150,10126,131.202.244.5,53,17,02/04/2015 09:06:49 AM,356,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,556179.7752808989,5617.9775280898875,356.0,0.0,356.0,356.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2808.9887640449438,2808.9887640449438,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,1.42797640936013E15,0.0,1.42797640936013E15,1.42797640936013E15,NeedManualLabel
131.202.240.150-131.202.244.5-29108-53-17,131.202.240.150,29108,131.202.244.5,53,17,02/04/2015 09:06:49 AM,395,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,501265.8227848101,5063.291139240506,395.0,0.0,395.0,395.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2531.645569620253,2531.645569620253,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,1.427976409446613E15,0.0,1.427976409446613E15,1.427976409446613E15,NeedManualLabel
131.202.240.150-131.202.244.5-14559-53-17,131.202.240.150,14559,131.202.244.5,53,17,02/04/2015 09:06:44 AM,418,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,473684.2105263158,4784.688995215311,418.0,0.0,418.0,418.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2392.3444976076553,2392.3444976076553,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,1.427976404288172E15,0.0,1.427976404288172E15,1.427976404288172E15,NeedManualLabel
131.202.240.150-131.202.244.5-53944-53-17,131.202.240.150,53944,131.202.244.5,53,17,02/04/2015 09:06:49 AM,345,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,573913.0434782609,5797.101449275363,345.0,0.0,345.0,345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2898.5507246376815,2898.5507246376815,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,1.427976409300042E15,0.0,1.427976409300042E15,1.427976409300042E15,NeedManualLabel
131.202.240.150-131.202.244.5-32751-53-17,131.202.240.150,32751,131.202.244.5,53,17,02/04/2015 09:06:49 AM,390,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,507692.3076923077,5128.205128205128,390.0,0.0,390.0,390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2564.102564102564,2564.102564102564,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,1.427976409359094E15,0.0,1.427976409359094E15,1.427976409359094E15,NeedManualLabel
131.202.240.150-131.202.240.72-44471-22-6,131.202.240.150,44471,131.202.240.72,22,6,02/04/2015 09:06:44 AM,5224888,48,26,1056.0,1488.0,48.0,0.0,22.0,24.169613417801234,128.0,48.0,57.23076923076924,23.590350047945776,486.90038906097124,14.162983015138314,71573.80821917807,149914.9688403635,1049576.0,3.0,5224888.0,111167.82978723405,175157.9284869514,1049576.0,297.0,5223000.0,208920.0,194306.1915682308,1049856.0,2077.0,1,0,0,0,1536,832,9.186799793603232,4.976183221535083,0.0,128.0,34.559999999999995,29.05830113521547,844.3848648648647,0,0,0,48,74,0,0,0,0.0,35.027027027027025,22.0,57.23076923076923,0,0,0,2368,45,576,0,14,0,20,423,249,21,32,0,0,0,0,1.427976404222402E15,0.0,1.427976404222402E15,1.427976404222402E15,NeedManualLabel
131.202.240.150-131.202.244.5-36108-53-17,131.202.240.150,36108,131.202.244.5,53,17,02/04/2015 09:06:44 AM,375,1,1,45.0,188.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,0.0,621333.3333333334,5333.333333333333,375.0,0.0,375.0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2666.6666666666665,2666.6666666666665,45.0,188.0,92.66666666666666,82.56108849411648,6816.333333333333,0,0,0,0,0,0,0,0,1.0,139.0,45.0,188.0,0,0,0,0,0,0,0,22,0,94,0,0,0,8,0,0,0,0,1.427976404287507E15,0.0,1.427976404287507E15,1.427976404287507E15,NeedManualLabel
131.202.240.150-131.202.244.5-13154-53-17,131.202.240.150,13154,131.202.244.5,53,17,02/04/2015 09:06:49 AM,345,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,573913.0434782609,5797.101449275363,345.0,0.0,345.0,345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2898.5507246376815,2898.5507246376815,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,1.427976409447126E15,0.0,1.427976409447126E15,1.427976409447126E15,NeedManualLabel
131.202.240.72-131.202.240.150-51955-22-6,131.202.240.72,51955,131.202.240.150,22,6,02/04/2015 09:06:44 AM,5210284,1771,1711,8175085.0,6513.0,8688.0,0.0,4616.084133258046,1719.7393621443184,1448.0,0.0,3.806545879602569,40.88283763716444,1570278.702658051,668.2937052951432,1496.777937374313,83911.30708564643,4950293.0,1.0,5210284.0,2943.6632768361624,117678.38302154282,4950293.0,2.0,5210139.0,3046.8649122807024,121174.09402229494,5010572.0,2.0,0,0,0,0,56680,54760,339.9046961739514,328.38900912119186,0.0,8688.0,2349.0089003732364,2611.988975917987,6822486.410317094,1,2,0,588,3481,0,0,0,0.0,2349.6835152211374,4616.084133258047,3.8065458796025715,0,0,0,4090799,923,38773140,0,2347,0,1,14600,13336,1762,32,0,0,0,0,1.427976404235211E15,0.0,1.427976404235211E15,1.427976404235211E15,NeedManualLabel
