Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
216.58.219.205-131.202.240.150-443-41348-6,216.58.219.205,443,131.202.240.150,41348,6,02/04/2015 09:42:39 AM,51,2,0,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0,0,0,0,1235294.1176470588,39215.686274509804,51.0,0.0,51.0,51.0,51.0,51.0,0.0,51.0,51.0,0,0,0,0,0,1,0,0,0,64,0,39215.686274509804,0.0,0.0,63.0,42.0,36.373066958946424,1323.0,1,0,0,1,2,0,0,0,0.0,63.0,31.5,0.0,0,0,0,0,0,0,1,31,0,0,358,0,0,32,0,0,0,0,1.427978559978696E15,0.0,1.427978559978696E15,1.427978559978696E15,NeedManualLabel
173.194.123.37-131.202.240.150-443-57590-6,173.194.123.37,443,131.202.240.150,57590,6,02/04/2015 09:42:40 AM,28,2,0,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0,0,0,0,2250000.0,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,63.0,42.0,36.373066958946424,1323.0,1,0,0,1,2,0,0,0,0.0,63.0,31.5,0.0,0,0,0,0,0,0,1,31,0,0,374,0,0,32,0,0,0,0,1.427978560076573E15,0.0,1.427978560076573E15,1.427978560076573E15,NeedManualLabel
131.202.240.150-173.194.123.38-57676-443-6,131.202.240.150,57676,173.194.123.38,443,6,02/04/2015 09:42:47 AM,59741469,2,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,1.05454387136011,0.10043274965334381,1.19482938E7,1.9550500902387887E7,4.5030811E7,65.0,4.5056043E7,4.5056043E7,0.0,4.5056043E7,4.5056043E7,5.9716237E7,1.9905412333333336E7,2.298135275080334E7,4.5055962E7,65.0,0,0,0,0,64,128,0.03347758321778127,0.06695516643556254,0.0,63.0,9.0,23.811761799581316,567.0,1,0,0,1,6,0,0,0,2.0,10.5,0.0,15.75,0,0,0,0,0,0,0,0,0,10,465,409,0,32,25191.5,57.27564927611035,25232.0,25151.0,4.759928756884784E14,8.244437930393208E14,1.427978567374414E15,1.466021E7,NeedManualLabel
131.202.240.150-131.202.244.3-19471-53-17,131.202.240.150,19471,131.202.244.3,53,17,02/04/2015 09:45:14 AM,485,1,1,45.0,189.0,45.0,45.0,45.0,0.0,189.0,189.0,189.0,0.0,482474.22680412367,4123.711340206185,485.0,0.0,485.0,485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2061.8556701030925,2061.8556701030925,45.0,189.0,93.0,83.13843876330611,6912.0,0,0,0,0,0,0,0,0,1.0,139.5,45.0,189.0,0,0,0,0,0,0,0,22,0,94,0,0,0,8,0,0,0,0,1.427978714424265E15,0.0,1.427978714424265E15,1.427978714424265E15,NeedManualLabel
131.202.240.150-131.202.6.3-10917-53-17,131.202.240.150,10917,131.202.6.3,53,17,02/04/2015 09:43:34 AM,1190,1,1,45.0,189.0,45.0,45.0,45.0,0.0,189.0,189.0,189.0,0.0,196638.65546218486,1680.672268907563,1190.0,0.0,1190.0,1190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,840.3361344537815,840.3361344537815,45.0,189.0,93.0,83.13843876330611,6912.0,0,0,0,0,0,0,0,0,1.0,139.5,45.0,189.0,0,0,0,0,0,0,0,22,0,94,0,0,0,8,0,0,0,0,1.427978614355478E15,0.0,1.427978614355478E15,1.427978614355478E15,NeedManualLabel
131.202.240.150-131.202.244.3-1328-53-17,131.202.240.150,1328,131.202.244.3,53,17,02/04/2015 09:45:21 AM,439,1,1,36.0,164.0,36.0,36.0,36.0,0.0,164.0,164.0,164.0,0.0,455580.86560364463,4555.808656036446,439.0,0.0,439.0,439.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2277.904328018223,2277.904328018223,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,118.0,36.0,164.0,0,0,0,0,0,0,0,18,0,82,0,0,0,8,0,0,0,0,1.427978721844048E15,0.0,1.427978721844048E15,1.427978721844048E15,NeedManualLabel
131.202.240.150-131.202.244.3-18011-53-17,131.202.240.150,18011,131.202.244.3,53,17,02/04/2015 09:45:14 AM,410,1,1,36.0,164.0,36.0,36.0,36.0,0.0,164.0,164.0,164.0,0.0,487804.8780487805,4878.048780487805,410.0,0.0,410.0,410.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2439.0243902439024,2439.0243902439024,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,118.0,36.0,164.0,0,0,0,0,0,0,0,18,0,82,0,0,0,8,0,0,0,0,1.427978714425516E15,0.0,1.427978714425516E15,1.427978714425516E15,NeedManualLabel
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 09:43:15 AM,2249504,2,0,382.0,0.0,191.0,191.0,191.0,0.0,0,0,0,0,169.81521259797717,0.8890848827119223,2249504.0,0.0,2249504.0,2249504.0,2249504.0,2249504.0,0.0,2249504.0,2249504.0,0,0,0,0,0,0,0,0,0,16,0,0.8890848827119223,0.0,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,286.5,191.0,0.0,0,0,0,0,0,0,1,191,0,0,0,0,1,8,0,0,0,0,1.427978595090285E15,0.0,1.427978595090285E15,1.427978595090285E15,NeedManualLabel
131.202.240.150-173.194.123.37-57590-443-6,131.202.240.150,57590,173.194.123.37,443,6,02/04/2015 09:42:40 AM,25165,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.4754619511226,25165.0,0.0,25165.0,25165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.7377309755613,39.7377309755613,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,374,0,32,0,0,0,0,1.42797856007678E15,0.0,1.42797856007678E15,1.42797856007678E15,NeedManualLabel
131.202.240.150-173.194.123.38-57676-443-6,131.202.240.150,57676,173.194.123.38,443,6,02/04/2015 09:43:47 AM,25137,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.56398933842543,25137.0,0.0,25137.0,25137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.781994669212715,39.781994669212715,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,465,409,0,32,0,0,0,0,1.427978627116384E15,0.0,1.427978627116384E15,1.427978627116384E15,NeedManualLabel
