Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.240.242-42134-22-6,131.202.240.87,42134,131.202.240.242,22,6,04/05/2015 01:21:15 PM,1239,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,34705.40758676352,4035.512510088781,309.75,285.8815314076794,704.0,66.0,535.0,267.5,184.55486988968892,398.0,137.0,907.0,907.0,0.0,907.0,907.0,0,0,0,0,72,52,2421.3075060532688,1614.2050040355125,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756475333203E15,0.0,1.430756475333203E15,1.430756475333203E15,NeedManualLabel
131.202.240.87-131.202.240.242-42137-22-6,131.202.240.87,42137,131.202.240.242,22,6,04/05/2015 01:21:42 PM,1401,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,30692.362598144184,3568.879371877231,350.25,319.4478308999244,748.0,68.0,653.0,326.5,296.2777413171634,536.0,117.0,933.0,933.0,0.0,933.0,933.0,0,0,0,0,72,52,2141.3276231263385,1427.5517487508923,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756502764945E15,0.0,1.430756502764945E15,1.430756502764945E15,NeedManualLabel
131.202.240.87-131.202.240.242-42129-22-6,131.202.240.87,42129,131.202.240.242,22,6,04/05/2015 01:20:44 PM,1330,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,32330.82706766917,3759.3984962406016,332.5,310.70403923991717,756.0,66.0,574.0,287.0,210.71782079359116,436.0,138.0,960.0,960.0,0.0,960.0,960.0,0,0,0,0,72,52,2255.6390977443607,1503.7593984962407,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756444453339E15,0.0,1.430756444453339E15,1.430756444453339E15,NeedManualLabel
131.202.240.87-131.202.240.242-42138-22-6,131.202.240.87,42138,131.202.240.242,22,6,04/05/2015 01:21:47 PM,1312,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,32774.39024390244,3810.9756097560976,328.0,361.4369470138141,845.0,52.0,467.0,233.5,176.06958851545033,358.0,109.0,1006.0,1006.0,0.0,1006.0,1006.0,0,0,0,0,72,52,2286.5853658536585,1524.390243902439,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756507820993E15,0.0,1.430756507820993E15,1.430756507820993E15,NeedManualLabel
131.202.240.87-131.202.240.242-42130-22-6,131.202.240.87,42130,131.202.240.242,22,6,04/05/2015 01:20:49 PM,1412,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,30453.257790368272,3541.0764872521245,353.0,327.0810297158794,789.0,69.0,623.0,311.5,245.36605307173198,485.0,138.0,996.0,996.0,0.0,996.0,996.0,0,0,0,0,72,52,2124.6458923512746,1416.4305949008499,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756449509006E15,0.0,1.430756449509006E15,1.430756449509006E15,NeedManualLabel
131.202.240.87-131.202.240.242-42132-22-6,131.202.240.87,42132,131.202.240.242,22,6,04/05/2015 01:21:05 PM,1328,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,32379.518072289156,3765.0602409638554,332.0,307.981601182062,750.0,65.0,578.0,289.0,210.71782079359116,438.0,140.0,955.0,955.0,0.0,955.0,955.0,0,0,0,0,72,52,2259.0361445783133,1506.0240963855422,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756465212732E15,0.0,1.430756465212732E15,1.430756465212732E15,NeedManualLabel
131.202.240.87-131.202.240.242-42135-22-6,131.202.240.87,42135,131.202.240.242,22,6,04/05/2015 01:21:20 PM,1301,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,33051.49884704073,3843.197540353574,325.25,298.1323811105843,725.0,66.0,576.0,288.0,219.20310216782974,443.0,133.0,924.0,924.0,0.0,924.0,924.0,0,0,0,0,72,52,2305.9185242121443,1537.2790161414296,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756480391711E15,0.0,1.430756480391711E15,1.430756480391711E15,NeedManualLabel
131.202.240.87-131.202.240.242-42140-22-6,131.202.240.87,42140,131.202.240.242,22,6,04/05/2015 01:22:03 PM,1259,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,34154.09054805402,3971.405877680699,314.75,334.88940960661427,781.0,59.0,478.0,239.0,219.20310216782974,394.0,84.0,924.0,924.0,0.0,924.0,924.0,0,0,0,0,72,52,2382.8435266084193,1588.5623510722796,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756523280621E15,0.0,1.430756523280621E15,1.430756523280621E15,NeedManualLabel
131.202.240.87-131.202.240.242-42128-22-6,131.202.240.87,42128,131.202.240.242,22,6,04/05/2015 01:20:36 PM,86558626,62739,33061,8.6365807E7,372690.0,1460.0,0.0,1376.5888362900168,300.0631338145654,1460.0,0.0,11.272798765917539,90.63941853974093,1002078.0251294654,1106.7643333432763,903.5441497301606,125365.85272428398,3.5375519E7,0.0,8.6558626E7,1379.6841786477112,154924.07212083155,3.5375519E7,2.0,8.6508868E7,2616.723169993957,213934.54553458764,3.5426007E7,10.0,0,0,0,0,1254792,661232,724.8151097037977,381.94922363947876,0.0,1460.0,905.4028350434724,695.0580642435889,483105.712670045,0,2,0,7540,95799,0,0,0,0.0,905.4122860125261,1376.5888362900268,11.272798765917546,0,0,0,7228208,5374,4172142,0,901,0,3,65535,7261,62415,20,3364619.0,2822388.432834857,5360349.0,1368889.0,4.769188289496376E14,8.260475994818022E14,1.430756436798163E15,1.4675231E7,NeedManualLabel
131.202.240.87-131.202.240.242-42133-22-6,131.202.240.87,42133,131.202.240.242,22,6,04/05/2015 01:21:10 PM,1320,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,32575.757575757576,3787.878787878788,330.0,335.32372418306466,811.0,70.0,509.0,254.5,167.58430714121175,373.0,136.0,1017.0,1017.0,0.0,1017.0,1017.0,0,0,0,0,72,52,2272.7272727272725,1515.1515151515152,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756470272859E15,0.0,1.430756470272859E15,1.430756470272859E15,NeedManualLabel
