Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-224.0.0.252-57601-5355-17,131.202.240.242,57601,224.0.0.252,5355,17,04/05/2015 03:14:26 PM,410223,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.25873488322205,4.875397040146457,410223.0,0.0,410223.0,410223.0,410223.0,410223.0,0.0,410223.0,410223.0,0,0,0,0,0,0,0,0,0,16,0,4.875397040146457,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430763266397901E15,0.0,1.430763266397901E15,1.430763266397901E15,NeedManualLabel
131.202.240.87-131.202.240.242-38038-22-6,131.202.240.87,38038,131.202.240.242,22,6,04/05/2015 03:14:39 PM,1172,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,36689.41979522184,4266.2116040955625,293.0,245.04013276740335,606.0,47.0,566.0,283.0,333.75440072005046,519.0,47.0,1011.0,1011.0,0.0,1011.0,1011.0,0,0,0,0,72,52,2559.726962457338,1706.4846416382252,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430763279366129E15,0.0,1.430763279366129E15,1.430763279366129E15,NeedManualLabel
131.202.240.242-224.0.0.252-50540-5355-17,131.202.240.242,50540,224.0.0.252,5355,17,04/05/2015 03:15:45 PM,409676,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.40194690438298,4.881906677471954,409676.0,0.0,409676.0,409676.0,409676.0,409676.0,0.0,409676.0,409676.0,0,0,0,0,0,0,0,0,0,16,0,4.881906677471954,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430763345284628E15,0.0,1.430763345284628E15,1.430763345284628E15,NeedManualLabel
62.41.78.227-131.202.240.242-443-64573-6,62.41.78.227,443,131.202.240.242,64573,6,04/05/2015 03:15:22 PM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,383,16323,0,20,0,0,0,0,1.43076332226895E15,0.0,1.43076332226895E15,1.43076332226895E15,NeedManualLabel
131.202.240.242-131.202.244.3-58925-53-17,131.202.240.242,58925,131.202.244.3,53,17,04/05/2015 03:14:23 PM,530,1,1,46.0,194.0,46.0,46.0,46.0,0.0,194.0,194.0,194.0,0.0,452830.1886792453,3773.5849056603774,530.0,0.0,530.0,530.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1886.7924528301887,1886.7924528301887,46.0,194.0,95.33333333333334,85.44783984006462,7301.333333333334,0,0,0,0,0,0,0,0,1.0,143.0,46.0,194.0,0,0,0,0,0,0,0,23,0,97,0,0,0,8,0,0,0,0,1.430763263838134E15,0.0,1.430763263838134E15,1.430763263838134E15,NeedManualLabel
131.202.240.242-131.202.240.45-64918-161-17,131.202.240.242,64918,131.202.240.45,161,17,04/05/2015 03:14:39 PM,60029855,477,477,45889.0,55947.0,118.0,43.0,96.20335429769396,30.198338573348636,180.0,46.0,117.28930817610063,44.03207567178448,1696.4225550769697,15.892092359710015,62990.4039874082,1093470.8751513606,2.9970314E7,44.0,6.0000868E7,126052.24369747899,1547384.9337518383,3.0000389E7,44.0,6.0022257E7,126097.17857142858,1546015.6680475285,2.9977898E7,194.0,0,0,0,0,3816,3816,7.946046179855007,7.946046179855007,43.0,180.0,106.71727748691099,39.17083030085729,1534.3539464585597,0,0,0,0,0,0,0,0,1.0,106.82914046121593,96.20335429769392,117.28930817610063,0,0,0,25459,238,7767,0,48,0,58,0,0,476,8,7383948.0,1.0399811168067332E7,1.4737725E7,30171.0,4.76921108311293E14,8.26051551624453E14,1.430763279701065E15,1.52625E7,NeedManualLabel
131.202.240.87-131.202.240.242-38040-22-6,131.202.240.87,38040,131.202.240.242,22,6,04/05/2015 03:14:49 PM,1141,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,37686.24014022787,4382.120946538124,285.25,239.1838553637487,606.0,52.0,535.0,267.5,304.763022691402,483.0,52.0,972.0,972.0,0.0,972.0,972.0,0,0,0,0,72,52,2629.2725679228743,1752.8483786152497,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430763289488069E15,0.0,1.430763289488069E15,1.430763289488069E15,NeedManualLabel
131.202.240.242-224.0.0.252-65427-5355-17,131.202.240.242,65427,224.0.0.252,5355,17,04/05/2015 03:15:47 PM,410894,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.08357873320126,4.867435396963694,410894.0,0.0,410894.0,410894.0,410894.0,410894.0,0.0,410894.0,410894.0,0,0,0,0,0,0,0,0,0,16,0,4.867435396963694,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430763347458437E15,0.0,1.430763347458437E15,1.430763347458437E15,NeedManualLabel
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,04/05/2015 03:14:18 PM,91649134,16,0,800.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,8.728942272384156,0.17457884544768312,6109942.266666666,1.4677749320185136E7,5.5579211E7,6393.0,9.1649134E7,6109942.266666666,1.4677749320185136E7,5.5579211E7,6393.0,0,0,0,0,0,0,0,0,0,128,0,0.17457884544768312,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.125,50.0,0.0,0,0,0,450,9,101,1,50,0,0,0,0,15,8,1501913.0,1484.9242404917497,1502963.0,1500863.0,3.5769083557004675E14,7.153816150024851E14,1.430763258073774E15,8323784.0,NeedManualLabel
131.202.240.242-131.202.244.3-56918-53-17,131.202.240.242,56918,131.202.244.3,53,17,04/05/2015 03:14:44 PM,1044,1,1,45.0,189.0,45.0,45.0,45.0,0.0,189.0,189.0,189.0,0.0,224137.93103448275,1915.7088122605364,1044.0,0.0,1044.0,1044.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,957.8544061302682,957.8544061302682,45.0,189.0,93.0,83.13843876330611,6912.0,0,0,0,0,0,0,0,0,1.0,139.5,45.0,189.0,0,0,0,0,0,0,0,22,0,94,0,0,0,8,0,0,0,0,1.430763284537725E15,0.0,1.430763284537725E15,1.430763284537725E15,NeedManualLabel
