Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-38035-13111-6,131.202.240.87,38035,131.202.6.26,13111,6,04/05/2015 03:14:23 PM,276340,4,3,120.0,192.0,120.0,0.0,30.0,60.0,192.0,0.0,64.0,110.85125168440814,1129.043931388869,25.331113845263083,46056.66666666667,85599.15978248074,214168.0,57.0,276340.0,92113.33333333333,157516.29529141844,273997.0,808.0,274853.0,137426.5,108528.87009685488,214168.0,60685.0,0,0,0,0,92,72,14.474922197293191,10.856191647969894,0.0,192.0,39.0,74.73381334538509,5585.142857142858,1,2,0,2,6,0,0,0,0.0,44.57142857142857,30.0,64.0,0,0,0,0,0,0,0,17,0,27,8192,516,1,20,0,0,0,0,1.430763263333004E15,0.0,1.430763263333004E15,1.430763263333004E15,NeedManualLabel
131.202.6.26-131.202.240.87-13111-38035-6,131.202.6.26,13111,131.202.240.87,38035,6,04/05/2015 03:14:23 PM,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,40,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,1.430763263610213E15,0.0,1.430763263610213E15,1.430763263610213E15,NeedManualLabel
131.202.240.87-131.202.6.26-38037-13111-6,131.202.240.87,38037,131.202.6.26,13111,6,04/05/2015 03:14:27 PM,275714,4,3,120.0,192.0,120.0,0.0,30.0,60.0,192.0,0.0,64.0,110.85125168440814,1131.6073902667256,25.38862734572782,45952.33333333333,85028.75619145953,212145.0,64.0,275714.0,91904.66666666667,157965.05814367093,274307.0,669.0,274624.0,137312.0,105829.84351306582,212145.0,62479.0,0,0,0,0,92,72,14.50778705470161,10.880840291026209,0.0,192.0,39.0,74.73381334538509,5585.142857142858,1,2,0,2,6,0,0,0,0.0,44.57142857142857,30.0,64.0,0,0,0,0,0,0,0,17,0,27,8192,516,1,20,0,0,0,0,1.430763267044503E15,0.0,1.430763267044503E15,1.430763267044503E15,NeedManualLabel
131.202.6.26-131.202.240.87-13111-38037-6,131.202.6.26,13111,131.202.240.87,38037,6,04/05/2015 03:14:27 PM,472,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4237.28813559322,472.0,0.0,472.0,472.0,472.0,472.0,0.0,472.0,472.0,0,0,0,0,0,0,0,0,0,40,0,4237.28813559322,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,1.430763267320601E15,0.0,1.430763267320601E15,1.430763267320601E15,NeedManualLabel
131.202.240.87-131.202.6.26-38045-13111-6,131.202.240.87,38045,131.202.6.26,13111,6,04/05/2015 03:15:05 PM,276658,4,3,120.0,192.0,120.0,0.0,30.0,60.0,192.0,0.0,64.0,110.85125168440814,1127.746170361963,25.301997411967122,46109.66666666667,91134.04841806748,228466.0,58.0,276658.0,92219.33333333333,157845.86515120798,274484.0,984.0,275371.0,137685.5,128383.01429901076,228466.0,46905.0,0,0,0,0,92,72,14.458284235409783,10.843713176557337,0.0,192.0,39.0,74.73381334538509,5585.142857142858,1,2,0,2,6,0,0,0,0.0,44.57142857142857,30.0,64.0,0,0,0,0,0,0,0,17,0,27,8192,516,1,20,0,0,0,0,1.430763305235989E15,0.0,1.430763305235989E15,1.430763305235989E15,NeedManualLabel
131.202.6.26-131.202.240.87-13111-38045-6,131.202.6.26,13111,131.202.240.87,38045,6,04/05/2015 03:15:05 PM,41,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,41.0,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,40,0,48780.487804878045,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,1.430763305513011E15,0.0,1.430763305513011E15,1.430763305513011E15,NeedManualLabel
131.202.240.87-224.0.0.252-60084-5355-17,131.202.240.87,60084,224.0.0.252,5355,17,04/05/2015 03:14:28 PM,413734,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.34852344743241,4.83402379306511,413734.0,0.0,413734.0,413734.0,413734.0,413734.0,0.0,413734.0,413734.0,0,0,0,0,0,0,0,0,0,16,0,4.83402379306511,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430763268792156E15,0.0,1.430763268792156E15,1.430763268792156E15,NeedManualLabel
131.202.240.87-131.202.240.242-38038-22-6,131.202.240.87,38038,131.202.240.242,22,6,04/05/2015 03:14:31 PM,1682,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,25564.803804994055,2972.651605231867,420.5,410.454625994153,901.0,67.0,781.0,390.5,423.556961930742,690.0,91.0,1059.0,1059.0,0.0,1059.0,1059.0,0,0,0,0,72,52,1783.5909631391203,1189.0606420927468,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430763271333685E15,0.0,1.430763271333685E15,1.430763271333685E15,NeedManualLabel
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,04/05/2015 03:14:21 PM,18797771,12,0,600.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,31.9186780177288,0.638373560354576,1708888.2727272727,2728205.775285621,8036869.0,27253.0,1.8797771E7,1708888.2727272727,2728205.775285621,8036869.0,27253.0,0,0,0,0,0,0,0,0,0,96,0,0.638373560354576,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,0.0,0,0,0,300,6,195,1,50,0,0,0,0,11,8,1504380.5,1778.373554684167,1505638.0,1503123.0,4.769210917748466E14,8.260515498112118E14,1.430763261070868E15,6216803.0,NeedManualLabel
131.202.240.87-131.202.240.242-38040-22-6,131.202.240.87,38040,131.202.240.242,22,6,04/05/2015 03:14:41 PM,1449,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,29675.638371290544,3450.655624568668,362.25,370.79228237204,860.0,69.0,589.0,294.5,289.20667350529794,499.0,90.0,1019.0,1019.0,0.0,1019.0,1019.0,0,0,0,0,72,52,2070.3933747412007,1380.2622498274673,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430763281455848E15,0.0,1.430763281455848E15,1.430763281455848E15,NeedManualLabel
