Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.6.26-50031-13111-6,131.202.240.242,50031,131.202.6.26,13111,6,04/05/2015 01:21:50 PM,298814,4,3,120.0,192.0,120.0,0.0,30.0,60.0,192.0,0.0,64.0,110.85125168440814,1044.1277851774012,23.425943898210924,49802.333333333336,91133.87315299765,232557.0,46.0,298814.0,99604.66666666667,170508.5712987278,296490.0,617.0,278084.0,139042.0,132250.18128532,232557.0,45527.0,0,0,0,0,92,72,13.386253656120529,10.039690242090396,0.0,192.0,39.0,74.73381334538509,5585.142857142858,1,2,0,2,6,0,0,0,0.0,44.57142857142857,30.0,64.0,0,0,0,0,0,0,0,17,0,27,8192,516,1,20,0,0,0,0,1.430756510063856E15,0.0,1.430756510063856E15,1.430756510063856E15,NeedManualLabel
131.202.6.26-131.202.240.242-13111-50031-6,131.202.6.26,13111,131.202.240.242,50031,6,04/05/2015 01:21:50 PM,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,40,0,133333.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,1.43075651036306E15,0.0,1.43075651036306E15,1.43075651036306E15,NeedManualLabel
131.202.240.87-131.202.240.242-42134-22-6,131.202.240.87,42134,131.202.240.242,22,6,04/05/2015 01:21:23 PM,1039,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,41385.94802694899,4812.319538017325,259.75,184.39879789919092,535.0,144.0,504.0,252.0,152.73506473629428,360.0,144.0,867.0,867.0,0.0,867.0,867.0,0,0,0,0,72,52,2887.3917228103946,1924.9278152069298,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756483379268E15,0.0,1.430756483379268E15,1.430756483379268E15,NeedManualLabel
131.202.240.242-224.0.0.252-57510-5355-17,131.202.240.242,57510,224.0.0.252,5355,17,04/05/2015 01:22:37 PM,410837,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.09843563262315,4.86811071057378,410837.0,0.0,410837.0,410837.0,410837.0,410837.0,0.0,410837.0,410837.0,0,0,0,0,0,0,0,0,0,16,0,4.86811071057378,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430756557279226E15,0.0,1.430756557279226E15,1.430756557279226E15,NeedManualLabel
131.202.240.87-131.202.240.242-42137-22-6,131.202.240.87,42137,131.202.240.242,22,6,04/05/2015 01:21:50 PM,1081,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,39777.98334875116,4625.346901017577,270.25,211.8181216673084,543.0,44.0,538.0,269.0,318.1980515339464,494.0,44.0,897.0,897.0,0.0,897.0,897.0,0,0,0,0,72,52,2775.208140610546,1850.1387604070308,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756510811084E15,0.0,1.430756510811084E15,1.430756510811084E15,NeedManualLabel
131.202.240.242-131.202.240.45-64918-161-17,131.202.240.242,64918,131.202.240.45,161,17,04/05/2015 01:21:09 PM,90031910,16,16,1264.0,1504.0,79.0,79.0,79.0,0.0,94.0,94.0,94.0,0.0,30.744654867368695,0.35542953603894445,2904255.1612903234,9005775.837174986,2.9970372E7,44.0,9.0001395E7,6000092.999999999,1.2421263911262993E7,3.0000428E7,44.0,9.0023645E7,6001576.333333333,1.240911617269678E7,2.9978814E7,6994.0,0,0,0,0,128,128,0.17771476801947222,0.17771476801947222,79.0,94.0,86.27272727272725,7.612788283838287,57.95454545454549,0,0,0,0,0,0,0,0,1.0,88.96875,79.0,94.0,0,0,0,692,8,22680,0,39,0,47,0,0,15,8,30458.666666666668,359.7628848746537,30872.0,30216.0,3.5768913984652375E14,7.153782197531369E14,1.430756469476229E15,2.9969415E7,NeedManualLabel
131.202.240.87-131.202.240.242-42129-22-6,131.202.240.87,42129,131.202.240.242,22,6,04/05/2015 01:20:52 PM,1110,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,38738.738738738735,4504.504504504504,277.5,208.08411760631805,588.0,144.0,522.0,261.0,165.46298679765212,378.0,144.0,921.0,921.0,0.0,921.0,921.0,0,0,0,0,72,52,2702.7027027027025,1801.8018018018017,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430756452499486E15,0.0,1.430756452499486E15,1.430756452499486E15,NeedManualLabel
131.202.240.242-224.0.0.252-57603-5355-17,131.202.240.242,57603,224.0.0.252,5355,17,04/05/2015 01:20:54 PM,411189,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.00675358533424,4.86394334478792,411189.0,0.0,411189.0,411189.0,411189.0,411189.0,0.0,411189.0,411189.0,0,0,0,0,0,0,0,0,0,16,0,4.86394334478792,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430756454971334E15,0.0,1.430756454971334E15,1.430756454971334E15,NeedManualLabel
131.202.240.242-77.72.169.130-15647-11113-17,131.202.240.242,15647,77.72.169.130,11113,17,04/05/2015 01:21:08 PM,100145079,6,6,378.0,255.0,108.0,18.0,63.0,49.29503017546495,67.0,18.0,42.5,26.83840531775314,6.3208298033296275,0.11982615740909247,9104098.09090909,2.0152339502712913E7,4.9864219E7,62.0,1.00145079E8,2.00290158E7,2.723550666727036E7,4.9864219E7,137774.0,1.00007039E8,2.00014078E7,2.738787943224122E7,5.0005185E7,117.0,0,0,0,0,48,48,0.059913078704546235,0.059913078704546235,18.0,108.0,57.0,40.650953248355684,1652.4999999999998,0,0,0,0,0,0,0,0,1.0,61.75,63.0,42.5,0,0,0,211,4,1517,0,31,0,21,0,0,5,8,137973.0,281.4284989122459,138172.0,137774.0,4.76918855932394E14,8.260476031955145E14,1.430756468069145E15,4.9863818E7,NeedManualLabel
131.202.240.242-224.0.0.252-51304-5355-17,131.202.240.242,51304,224.0.0.252,5355,17,04/05/2015 01:22:39 PM,414131,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.24657415165731,4.8293897341662415,414131.0,0.0,414131.0,414131.0,414131.0,414131.0,0.0,414131.0,414131.0,0,0,0,0,0,0,0,0,0,16,0,4.8293897341662415,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430756559669765E15,0.0,1.430756559669765E15,1.430756559669765E15,NeedManualLabel
131.202.240.242-224.0.0.252-55895-5355-17,131.202.240.242,55895,224.0.0.252,5355,17,04/05/2015 01:22:37 PM,410487,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.18975265964573,4.872261484529352,410487.0,0.0,410487.0,410487.0,410487.0,410487.0,0.0,410487.0,410487.0,0,0,0,0,0,0,0,0,0,16,0,4.872261484529352,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.43075655727954E15,0.0,1.43075655727954E15,1.43075655727954E15,NeedManualLabel
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,04/05/2015 01:20:54 PM,106198644,21,0,1050.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,9.88713189219252,0.19774263784385043,5309932.2,1.1736359859108767E7,4.3123923E7,749581.0,1.06198644E8,5309932.2,1.1736359859108767E7,4.3123923E7,749581.0,0,0,0,0,0,0,0,0,0,168,0,0.19774263784385043,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.38095238095238,50.0,0.0,0,0,0,300,6,77,1,50,0,0,0,0,20,8,4165973.0,2688675.0914284904,6881477.0,1504955.0,3.5768913619523475E14,7.15378212517175E14,1.430756454970997E15,1.3179148E7,NeedManualLabel
131.202.240.242-224.0.0.252-53965-5355-17,131.202.240.242,53965,224.0.0.252,5355,17,04/05/2015 01:21:00 PM,413349,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.44757819663286,4.83852628166513,413349.0,0.0,413349.0,413349.0,413349.0,413349.0,0.0,413349.0,413349.0,0,0,0,0,0,0,0,0,0,16,0,4.83852628166513,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430756460352791E15,0.0,1.430756460352791E15,1.430756460352791E15,NeedManualLabel
131.202.240.242-224.0.0.252-62509-5355-17,131.202.240.242,62509,224.0.0.252,5355,17,04/05/2015 01:21:52 PM,410351,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.22527787187066,4.873876266903212,410351.0,0.0,410351.0,410351.0,410351.0,410351.0,0.0,410351.0,410351.0,0,0,0,0,0,0,0,0,0,16,0,4.873876266903212,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,1.430756512650677E15,0.0,1.430756512650677E15,1.430756512650677E15,NeedManualLabel
