Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.45.42.52-131.202.240.150-80-50457-6,23.45.42.52,80,131.202.240.150,50457,6,31/03/2015 03:06:45 PM,681718,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.400646601674006,340859.0,426303.3646688705,642301.0,39417.0,0,0,0,0,0,642301.0,642301.0,0.0,642301.0,642301.0,0,0,0,0,32,64,1.4668822005580018,2.9337644011160036,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,996,317,0,32,0,0,0,0,1.427825205894975E15,0.0,1.427825205894975E15,1.427825205894975E15,NeedManualLabel
131.202.240.150-184.73.220.127-48078-80-6,131.202.240.150,48078,184.73.220.127,80,6,31/03/2015 03:07:01 PM,14582312,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2057286937764053,7291156.0,1.0230770220956875E7,1.4525403E7,56909.0,0,0,0,0,0,1.4525403E7,1.4525403E7,0.0,1.4525403E7,1.4525403E7,0,0,0,0,32,64,0.06857623125880176,0.13715246251760352,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,438,136,0,32,56909.0,0.0,56909.0,56909.0,7.139126180279085E14,1.0096248862223292E15,1.427825221530414E15,1.4525403E7,NeedManualLabel
131.202.240.150-184.73.220.127-48078-80-6,131.202.240.150,48078,184.73.220.127,80,6,31/03/2015 03:07:16 PM,429549,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.656046225226924,429549.0,0.0,429549.0,429549.0,429549.0,429549.0,0.0,429549.0,429549.0,0,0,0,0,0,0,0,0,0,64,0,4.656046225226924,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,438,0,0,32,0,0,0,0,1.427825236150382E15,0.0,1.427825236150382E15,1.427825236150382E15,NeedManualLabel
131.202.240.150-23.67.250.97-44615-80-6,131.202.240.150,44615,23.67.250.97,80,6,31/03/2015 03:07:05 PM,16758883,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17900954377448663,8379441.5,1.1798297968520056E7,1.6722098E7,36785.0,0,0,0,0,0,1.6722098E7,1.6722098E7,0.0,1.6722098E7,1.6722098E7,0,0,0,0,32,64,0.05966984792482888,0.11933969584965776,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,508,0,32,36785.0,0.0,36785.0,36785.0,7.139126209182475E14,1.00962488720329E15,1.427825225114397E15,1.6722098E7,NeedManualLabel
131.202.240.150-54.210.92.215-36527-80-6,131.202.240.150,36527,54.210.92.215,80,6,31/03/2015 03:07:12 PM,14343729,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20915063300484832,7171864.5,1.006556815656148E7,1.4289296E7,54433.0,0,0,0,0,0,1.4289296E7,1.4289296E7,0.0,1.4289296E7,1.4289296E7,0,0,0,0,32,64,0.06971687766828277,0.13943375533656555,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1140,166,0,32,54433.0,0.0,54433.0,54433.0,7.13912623189865E14,1.0096248938563439E15,1.427825232090434E15,1.4289296E7,NeedManualLabel
131.202.240.150-54.210.92.215-36527-80-6,131.202.240.150,36527,54.210.92.215,80,6,31/03/2015 03:07:26 PM,109653,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,18.239355056405206,109653.0,0.0,109653.0,109653.0,109653.0,109653.0,0.0,109653.0,109653.0,0,0,0,0,0,0,0,0,0,64,0,18.239355056405206,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1140,0,0,32,0,0,0,0,1.427825246470427E15,0.0,1.427825246470427E15,1.427825246470427E15,NeedManualLabel
131.202.240.150-23.67.250.97-44615-80-6,131.202.240.150,44615,23.67.250.97,80,6,31/03/2015 03:07:21 PM,4669784,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.42828533396833773,4669784.0,0.0,4669784.0,4669784.0,4669784.0,4669784.0,0.0,4669784.0,4669784.0,0,0,0,0,0,0,0,0,0,64,0,0.42828533396833773,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,237,0,0,32,0,0,0,0,1.427825241910398E15,0.0,1.427825241910398E15,1.427825241910398E15,NeedManualLabel
131.202.240.150-54.225.95.177-36933-443-6,131.202.240.150,36933,54.225.95.177,443,6,31/03/2015 03:07:12 PM,19105846,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.6225400330349151,0.26170000532821214,4776461.5,6611302.889399461,1.405E7,77.0,1.4107798E7,1.4107798E7,0.0,1.4107798E7,1.4107798E7,1.9048125E7,9524062.5,6400642.19495298,1.405E7,4998125.0,0,0,0,0,64,96,0.10468000213128484,0.15702000319692727,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,0,0,0,6,716,136,0,32,57721.0,0.0,57721.0,57721.0,7.13912623246197E14,1.009624894274425E15,1.427825232442394E15,1.405E7,NeedManualLabel
131.202.240.150-107.21.98.35-57264-443-6,131.202.240.150,57264,107.21.98.35,443,6,31/03/2015 03:07:12 PM,19188191,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.6155769973313274,0.26057693505343993,4797047.75,6648453.280014551,1.4128003E7,80.0,1.4183299E7,1.4183299E7,0.0,1.4183299E7,1.4183299E7,1.9132975E7,9566487.5,6450957.08507509,1.4128003E7,5004972.0,0,0,0,0,64,96,0.10423077402137595,0.15634616103206395,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,0,0,0,6,382,136,0,32,27648.0,38987.03948750148,55216.0,80.0,4.759417506211094E14,8.243552769494646E14,1.427825232730433E15,5004892.0,NeedManualLabel
131.202.240.150-107.21.98.35-57264-443-6,131.202.240.150,57264,107.21.98.35,443,6,31/03/2015 03:07:31 PM,63001,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,31.745527848764304,63001.0,0.0,63001.0,63001.0,63001.0,63001.0,0.0,63001.0,63001.0,0,0,0,0,0,0,0,0,0,64,0,31.745527848764304,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,382,0,0,32,0,0,0,0,1.427825251958377E15,0.0,1.427825251958377E15,1.427825251958377E15,NeedManualLabel
