Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-173.194.123.28-5741-80-6,131.202.240.242,5741,173.194.123.28,80,6,25/05/2015 02:07:19 PM,24917,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.26648472930127,24917.0,0.0,24917.0,24917.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40.133242364650634,40.133242364650634,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16537,346,0,20,0,0,0,0,1.432573639090285E15,0.0,1.432573639090285E15,1.432573639090285E15,NeedManualLabel
131.202.240.242-216.58.219.230-5753-80-6,131.202.240.242,5753,216.58.219.230,80,6,25/05/2015 02:07:19 PM,25542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.30240388379924,25542.0,0.0,25542.0,25542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,39.15120194189962,39.15120194189962,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16537,344,0,20,0,0,0,0,1.43257363910001E15,0.0,1.43257363910001E15,1.43257363910001E15,NeedManualLabel
131.202.240.242-23.10.191.198-5704-80-6,131.202.240.242,5704,23.10.191.198,80,6,25/05/2015 02:07:19 PM,54787,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.50501031266541,54787.0,0.0,54787.0,54787.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18.252505156332706,18.252505156332706,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,258,490,0,20,0,0,0,0,1.432573639203681E15,0.0,1.432573639203681E15,1.432573639203681E15,NeedManualLabel
131.202.240.242-23.10.191.198-5737-80-6,131.202.240.242,5737,23.10.191.198,80,6,25/05/2015 02:07:19 PM,54768,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.51767455448437,54768.0,0.0,54768.0,54768.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18.258837277242186,18.258837277242186,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,258,490,0,20,0,0,0,0,1.432573639203781E15,0.0,1.432573639203781E15,1.432573639203781E15,NeedManualLabel
131.202.240.242-216.58.219.206-5771-80-6,131.202.240.242,5771,216.58.219.206,80,6,25/05/2015 02:07:20 PM,25518,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.37604827964574,25518.0,0.0,25518.0,25518.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,39.18802413982287,39.18802413982287,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16339,344,0,20,0,0,0,0,1.432573640090107E15,0.0,1.432573640090107E15,1.432573640090107E15,NeedManualLabel
131.202.240.242-50.7.70.210-5777-80-6,131.202.240.242,5777,50.7.70.210,80,6,25/05/2015 02:07:20 PM,49761,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.192118325596354,49761.0,0.0,49761.0,49761.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20.096059162798177,20.096059162798177,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16476,237,0,20,0,0,0,0,1.432573640090388E15,0.0,1.432573640090388E15,1.432573640090388E15,NeedManualLabel
131.202.240.242-72.247.10.19-5763-80-6,131.202.240.242,5763,72.247.10.19,80,6,25/05/2015 02:07:20 PM,52299,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.241648979904014,52299.0,0.0,52299.0,52299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,19.120824489952007,19.120824489952007,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16537,490,0,20,0,0,0,0,1.432573640090077E15,0.0,1.432573640090077E15,1.432573640090077E15,NeedManualLabel
131.202.240.242-209.148.205.26-5787-80-6,131.202.240.242,5787,209.148.205.26,80,6,25/05/2015 02:07:22 PM,22180,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.17132551848513,22180.0,0.0,22180.0,22180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,45.08566275924257,45.08566275924257,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16263,585,0,20,0,0,0,0,1.432573642094458E15,0.0,1.432573642094458E15,1.432573642094458E15,NeedManualLabel
131.202.240.242-54.235.174.154-5859-80-6,131.202.240.242,5859,54.235.174.154,80,6,25/05/2015 02:07:22 PM,55423,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.08610143803114,55423.0,0.0,55423.0,55423.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18.04305071901557,18.04305071901557,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16537,62,0,20,0,0,0,0,1.432573642090868E15,0.0,1.432573642090868E15,1.432573642090868E15,NeedManualLabel
131.202.240.242-23.50.75.27-5853-80-6,131.202.240.242,5853,23.50.75.27,80,6,25/05/2015 02:07:22 PM,59863,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.40961862920335,59863.0,0.0,59863.0,59863.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16.704809314601675,16.704809314601675,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16537,490,0,20,0,0,0,0,1.432573642094447E15,0.0,1.432573642094447E15,1.432573642094447E15,NeedManualLabel
