Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-54.192.52.180-11262-443-6,131.202.240.87,11262,54.192.52.180,443,6,25/05/2015 02:07:53 PM,24855,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.46670690002013,24855.0,0.0,24855.0,24855.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40.233353450010064,40.233353450010064,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16309,140,0,20,0,0,0,0,1.432573673109536E15,0.0,1.432573673109536E15,1.432573673109536E15,NeedManualLabel
131.202.240.87-23.45.9.55-11272-443-6,131.202.240.87,11272,23.45.9.55,443,6,25/05/2015 02:07:54 PM,50657,1,2,0.0,85.0,0.0,0.0,0.0,0.0,85.0,0.0,42.5,60.10407640085654,1677.95171447184,59.22182521665318,25328.5,35595.04825814962,50498.0,159.0,0,0,0,0,0,159.0,159.0,0.0,159.0,159.0,0,0,0,0,20,40,19.740608405551058,39.481216811102115,0.0,85.0,21.25,42.5,1806.2499999999998,2,0,0,1,3,0,0,0,2.0,28.333333333333332,0.0,42.5,0,0,0,0,0,0,0,0,0,28,16292,557,0,20,0,0,0,0,1.43257367427053E15,0.0,1.43257367427053E15,1.43257367427053E15,NeedManualLabel
131.202.240.87-38.65.20.19-11230-443-6,131.202.240.87,11230,38.65.20.19,443,6,25/05/2015 02:07:54 PM,50666,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47420360794221,50666.0,0.0,50666.0,50666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,19.737101803971104,19.737101803971104,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64224,64085,0,20,0,0,0,0,1.432573674283005E15,0.0,1.432573674283005E15,1.432573674283005E15,NeedManualLabel
131.202.240.87-65.55.2.6-11277-443-6,131.202.240.87,11277,65.55.2.6,443,6,25/05/2015 02:07:52 PM,2407099,10,8,1524.0,6150.0,549.0,0.0,152.4,226.39307017270255,1350.0,0.0,768.75,568.2046286330304,3188.0699547463564,7.477881051007873,141594.05882352943,446778.2061092325,1868362.0,41.0,2407099.0,267455.44444444444,601156.4810810724,1868362.0,1713.0,451854.0,64550.571428571435,62775.096699400216,136453.0,89.0,0,0,0,0,212,172,4.15437836167104,3.3235026893368325,0.0,1350.0,403.8947368421054,504.5273800231089,254547.87719298253,1,2,0,8,17,0,0,0,0.0,426.3333333333333,152.4,768.75,0,0,0,7674,11,17051,0,84,0,341,8192,511,4,20,0,0,0,0,1.432573672566487E15,0.0,1.432573672566487E15,1.432573672566487E15,NeedManualLabel
131.202.240.87-208.71.121.1-11293-443-6,131.202.240.87,11293,208.71.121.1,443,6,25/05/2015 02:07:54 PM,700911,7,9,1228.0,4753.0,736.0,0.0,175.42857142857144,275.5278915965116,1212.0,0.0,528.1111111111111,570.23119093146,8533.180389521638,22.827434581565992,46727.4,115776.41942665675,456203.0,1.0,700911.0,116818.5,167297.81698844727,456203.0,11991.0,640253.0,80031.625,176211.08158353518,510747.0,1.0,0,0,0,0,152,184,9.987002629435121,12.84043195213087,0.0,1212.0,351.8235294117647,479.4583187428962,229880.27941176467,1,2,0,9,15,0,0,0,1.0,373.8125,175.42857142857142,528.1111111111111,0,0,0,5981,9,9520,0,76,0,297,8192,65535,3,20,0,0,0,0,1.432573674285882E15,0.0,1.432573674285882E15,1.432573674285882E15,NeedManualLabel
131.202.240.87-74.125.226.57-11301-443-6,131.202.240.87,11301,74.125.226.57,443,6,25/05/2015 02:07:54 PM,785197,13,23,718.0,25487.0,394.0,0.0,55.230769230769226,119.25473704508474,1350.0,0.0,1108.1304347826085,484.571441805477,33373.79027174072,45.84836671561404,22434.2,86732.43140825833,513435.0,0.0,785197.0,65433.08333333333,142132.13903167608,513435.0,381.0,246416.0,11200.727272727272,29757.14059672916,125910.0,0.0,0,0,0,0,272,472,16.55635464730507,29.29201206830897,0.0,1350.0,708.2432432432433,646.7768551056078,418320.30030030035,1,2,0,15,35,0,0,0,1.0,727.9166666666666,55.23076923076923,1108.1304347826087,0,0,0,26205,24,126446,0,19,0,707,8192,352,3,20,0,0,0,0,1.43257367434241E15,0.0,1.43257367434241E15,1.43257367434241E15,NeedManualLabel
131.202.240.87-96.16.196.150-11319-443-6,131.202.240.87,11319,96.16.196.150,443,6,25/05/2015 02:07:54 PM,512000,9,7,2047.0,1211.0,661.0,0.0,227.44444444444446,264.48114824648235,773.0,0.0,173.0,288.7178553536307,6363.28125,31.25,34133.33333333333,35014.29193642967,107002.0,40.0,512000.0,64000.00000000001,35789.96334967987,107042.0,2059.0,408096.0,68016.0,65142.90234860587,169836.0,131.0,0,0,0,0,192,152,17.578125,13.671875,0.0,773.0,191.64705882352942,263.4442401098548,69402.86764705883,1,2,0,8,15,0,0,0,0.0,203.625,227.44444444444446,173.0,0,0,0,3258,8,7712,0,127,0,75,8192,573,5,20,0,0,0,0,1.432573674976587E15,0.0,1.432573674976587E15,1.432573674976587E15,NeedManualLabel
131.202.240.87-68.67.153.146-11327-443-6,131.202.240.87,11327,68.67.153.146,443,6,25/05/2015 02:07:55 PM,361651,8,9,1527.0,4802.0,852.0,0.0,190.875,307.7593853738896,1350.0,0.0,533.5555555555557,560.8785766792824,17500.297247899216,47.006644527458796,22603.1875,38770.36462767019,138877.0,0.0,361651.0,51664.42857142857,45229.57306474435,138877.0,2937.0,168167.0,21020.875,28555.569416427832,56684.0,0.0,0,0,0,0,172,192,22.120773895274727,24.885870632184066,0.0,1350.0,351.6111111111112,473.2827955621918,223996.60457516342,1,2,0,8,16,0,0,0,1.0,372.29411764705884,190.875,533.5555555555555,0,0,0,6329,10,38321,0,89,0,282,8192,43,3,20,0,0,0,0,1.432573675127308E15,0.0,1.432573675127308E15,1.432573675127308E15,NeedManualLabel
131.202.240.87-96.16.196.150-11299-443-6,131.202.240.87,11299,96.16.196.150,443,6,25/05/2015 02:07:54 PM,1153959,12,9,1930.0,6142.0,469.0,0.0,160.83333333333334,213.03001637982354,1350.0,0.0,682.4444444444445,599.7591414707889,6995.049217519861,18.198220214063067,57697.95,112178.52222543128,486687.0,29.0,1153959.0,104905.36363636363,137749.48702864393,486687.0,687.0,567569.0,70946.125,103722.5668811311,301347.0,89.0,0,0,0,0,252,192,10.39898297946461,7.799237234598457,0.0,1350.0,366.90909090909093,483.89195065987604,234151.41991341993,1,2,0,9,20,0,0,0,0.0,384.3809523809524,160.83333333333334,682.4444444444445,0,0,0,8072,12,7803,0,91,0,292,8192,591,5,20,0,0,0,0,1.4325736743361E15,0.0,1.4325736743361E15,1.4325736743361E15,NeedManualLabel
131.202.240.87-208.71.123.98-11323-443-6,131.202.240.87,11323,208.71.123.98,443,6,25/05/2015 02:07:55 PM,443631,9,9,1078.0,4702.0,565.0,0.0,119.77777777777777,203.51583339987198,1212.0,0.0,522.4444444444445,560.756656472108,13028.846045474731,40.57426104127079,26095.941176470587,37016.15338009642,122917.0,28.0,443631.0,55453.875,39636.31269947691,122917.0,249.0,301179.0,37647.375,62943.347731880516,179317.0,88.0,0,0,0,0,192,184,20.287130520635394,20.287130520635394,0.0,1212.0,304.2105263157895,451.8020189502094,204125.0643274854,1,2,0,9,17,0,0,0,1.0,321.1111111111111,119.77777777777777,522.4444444444445,0,0,0,5780,9,19327,0,59,0,261,8192,65535,3,20,0,0,0,0,1.432573675053751E15,0.0,1.432573675053751E15,1.432573675053751E15,NeedManualLabel
