Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.150,40273,131.202.240.86,49624,17,31/03/2015 01:58:37 PM,119984968,11544,17450,4925535.0,1.3657119E7,1388.0,3.0,426.67489604989476,430.27765332650944,1384.0,3.0,782.6429226360996,520.5227657700023,154874.85065629223,241.6469369729715,4138.411616597084,44002.50095311308,7436817.0,-1.0,1.19984968E8,10394.60868058561,70406.85187834667,7512185.0,5.0,1.19979723E8,6876.022866639906,57339.56316509079,7487059.0,1.0,0,0,0,0,92352,139600,96.21205216306763,145.43488480990385,3.0,1388.0,640.8930850146542,516.8569565084608,267141.11349118897,0,0,0,0,0,0,0,0,1.0,640.9151893495206,426.67489604989606,782.6429226361032,0,0,0,9291327,14497,165108,0,169,0,471,0,0,11543,8,673713.0,0.0,673713.0,673713.0,7.13910562445948E14,1.0096219892152166E15,1.427821117455079E15,7436817.0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,31/03/2015 01:58:42 PM,104912144,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.19063569990524643,5521691.7894736845,7594290.567719626,2.3000067E7,11.0,1.04912144E8,5521691.7894736845,7594290.567719626,2.3000067E7,11.0,0,0,0,0,0,0,0,0,0,0,0,0.19063569990524643,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,442580.24999999994,1251065.0065217863,3538808.0,11.0,1.5864680264774956E14,4.7594036992899656E14,1.427821122458407E15,5009978.0,NeedManualLabel
131.202.240.86-131.202.240.150-49624-49292-6,131.202.240.86,49624,131.202.240.150,49292,6,31/03/2015 01:58:37 PM,14351481,12,16,1487.0,130.0,869.0,0.0,123.9166666666667,244.39478432663128,19.0,0.0,8.125,9.521029356114811,112.67129852312803,1.9510181562446414,531536.3333333334,1550986.0816824788,8094102.0,5.0,1.4351481E7,1304680.090909091,2336824.0170931336,8189249.0,76.0,1.4151372E7,943424.7999999999,2026627.9018914367,8094102.0,57.0,1,0,0,0,384,512,0.8361506383905606,1.1148675178540808,0.0,869.0,85.72413793103446,222.46571109013055,49490.992610837435,0,0,0,16,28,0,0,0,1.0,88.78571428571429,123.91666666666667,8.125,0,0,0,348,11,87,0,53,0,4,259,495,8,32,35428.0,0.0,35428.0,35428.0,7.1391056280289E14,1.0096219887904675E15,1.427821117511678E15,8094102.0,NeedManualLabel
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,6,31/03/2015 01:58:40 PM,90150680,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665552384075195,1.8030136E7,2.463581436470119E7,4.50174E7,38616.0,9.0111986E7,4.5055993E7,32.526911934581186,4.5056016E7,4.505597E7,9.0111947E7,4.50559735E7,170.41273426595797,4.5056094E7,4.5055853E7,0,0,0,0,96,96,0.03327761920375975,0.03327761920375975,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,977,366,0,32,38674.5,82.73149339882606,38733.0,38616.0,4.75940403524343E14,8.243528823067128E14,1.427821120538392E15,4.5017237E7,NeedManualLabel
131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,6,31/03/2015 01:58:37 PM,104132250,8,6,739.0,68.0,363.0,0.0,92.37500000000001,166.47516974869598,57.0,0.0,11.333333333333334,22.446974554862994,7.749760520876097,0.13444442043651222,8010173.076923076,1.9761104300173964E7,5.987639E7,25.0,1.0413225E8,1.4876035714285716E7,2.5726306985082895E7,5.987639E7,45679.0,1.04086505E8,2.0817301E7,2.9009838932856917E7,5.9922306E7,124.0,1,0,0,0,256,192,0.07682538310657841,0.05761903732993381,0.0,363.0,54.66666666666667,125.61145686297128,15778.238095238095,0,0,0,8,14,0,0,0,0.0,58.57142857142857,92.375,11.333333333333334,0,0,0,0,0,0,0,52,0,4,261,43,3,32,111000.0,27745.45588019775,130619.0,91381.0,4.759404071371364E14,8.243528765874305E14,1.427821117547127E15,4.3987892E7,NeedManualLabel
134.170.19.108-131.202.240.150-443-33309-6,134.170.19.108,443,131.202.240.150,33309,6,31/03/2015 02:00:24 PM,19,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,105263.15789473684,19.0,0.0,19.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,44,52631.57894736842,52631.57894736842,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,63094,65331,0,20,0,0,0,0,1.427821224495931E15,0.0,1.427821224495931E15,1.427821224495931E15,NeedManualLabel
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.150,40273,131.202.240.86,49624,17,31/03/2015 02:00:37 PM,119998514,12683,20291,5258204.0,1.660447E7,1321.0,3.0,414.5867696917142,418.0309311851597,1342.0,3.0,818.3169878271177,508.0422412872761,182191.20613443595,274.78673610908214,3639.2962120522707,4368.896786824871,22731.0,1.0,1.19984997E8,9461.046916890069,7371.1535794686215,28541.0,12.0,1.19978791E8,5913.198176441574,7862.490691832527,50505.0,1.0,0,0,0,0,101464,162328,105.69297549801325,169.0937606110689,3.0,1342.0,663.0100075815006,514.4143526786667,264622.1262418116,0,0,0,0,0,0,0,0,1.0,663.0301146357737,414.5867696917133,818.3169878271154,0,0,0,21862674,32974,182191,0,159,0,503,0,0,12682,8,0,0,0,0,1.427821237455296E15,0.0,1.427821237455296E15,1.427821237455296E15,NeedManualLabel
131.202.240.86-131.202.240.150-49624-49292-6,131.202.240.86,49624,131.202.240.150,49292,6,31/03/2015 02:00:49 PM,2672016,2,2,2.0,2.0,2.0,0.0,1.0,1.4142135623730951,2.0,0.0,1.0,1.4142135623730951,1.4969970239699162,1.4969970239699162,890672.0,1376593.6396558718,2476203.0,36.0,2672016.0,2672016.0,0.0,2672016.0,2672016.0,2476203.0,2476203.0,0.0,2476203.0,2476203.0,1,0,0,0,64,64,0.7484985119849581,0.7484985119849581,0.0,2.0,1.2,1.0954451150103321,1.1999999999999997,0,0,0,2,4,0,0,0,1.0,1.5,1.0,1.0,0,0,0,0,0,0,0,0,0,0,258,495,0,32,0,0,0,0,1.427821249210819E15,0.0,1.427821249210819E15,1.427821249210819E15,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,31/03/2015 02:00:45 PM,114999440,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.15652250132696297,6764672.941176469,8821311.278843176,2.3000106E7,4.0,1.1499944E8,6764672.941176469,8821311.278843176,2.3000106E7,4.0,0,0,0,0,0,0,0,0,0,0,0,0.15652250132696297,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125.625,252.661793991211,726.0,4.0,1.5864681781755044E14,4.7594041032824125E14,1.427821245359527E15,5006614.0,NeedManualLabel
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,6,31/03/2015 02:00:55 PM,90150669,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06655524652845339,1.80301338E7,2.4635878151079163E7,4.5021349E7,38622.0,9.0112018E7,4.5056009E7,5605.942561246949,4.5059973E7,4.5052045E7,9.0112045E7,4.50560225E7,5584.0222510301655,4.5059971E7,4.5052074E7,0,0,0,0,96,96,0.033277623264226695,0.033277623264226695,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,977,366,0,32,38623.0,1.4142135623730951,38624.0,38622.0,4.759404485803774E14,8.243529603459365E14,1.42782125570636E15,4.5013423E7,NeedManualLabel
