Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-193.182.8.113-44067-80-6,131.202.240.150,44067,193.182.8.113,80,6,01/04/2015 03:18:00 PM,95377,4,4,167.0,514.0,167.0,0.0,41.75,83.5,514.0,0.0,128.5,257.0,7140.086184300198,83.87766442643404,13625.285714285714,22034.843594591162,46299.0,4.0,95373.0,31791.0,27575.30402370933,49939.0,59.0,50034.0,16678.0,25794.577589098062,46390.0,17.0,0,0,0,0,136,136,41.93883221321702,41.93883221321702,0.0,514.0,75.66666666666667,173.40559391207654,30069.5,1,2,0,2,7,0,0,0,1.0,85.125,41.75,128.5,0,0,0,0,0,0,0,20,0,64,29200,235,1,32,0,0,0,0,1.42791228001188E15,0.0,1.42791228001188E15,1.42791228001188E15,NeedManualLabel
131.202.240.150-54.230.53.71-53442-80-6,131.202.240.150,53442,54.230.53.71,80,6,01/04/2015 03:18:01 PM,13852739,88,92,403.0,403064.0,203.0,0.0,4.579545454545452,30.203037675844534,8028.0,0.0,4381.130434782608,1921.993523318674,29125.431439948446,12.993820211295398,77389.6033519553,791154.0280633608,1.0000799E7,2.0,1.3852739E7,159226.88505747129,1132403.5381429864,1.0000799E7,9.0,3826904.0,42053.890109890075,373306.98635637225,3563226.0,8.0,0,0,0,0,2824,2952,6.352534325522194,6.641285885773203,0.0,8028.0,2229.099447513812,2584.9440980522677,6681935.990055253,1,2,0,6,179,0,0,0,1.0,2241.483333333333,4.579545454545454,4381.130434782609,0,0,0,402152,90,1494183,0,2,0,2239,29200,130,2,32,3851940.0,0.0,3851940.0,3851940.0,7.13956145953445E14,1.0096864504037212E15,1.427912281906091E15,1.0000799E7,NeedManualLabel
131.202.240.150-54.230.53.71-53451-80-6,131.202.240.150,53451,54.230.53.71,80,6,01/04/2015 03:18:05 PM,15246577,228,251,600.0,1113360.0,200.0,0.0,2.631578947368422,22.84028559265607,29436.0,0.0,4435.697211155374,3450.800741270377,73062.95701651591,31.416887869323062,31896.60460251046,487194.6068953306,1.0000812E7,0.0,1.5246577E7,67165.53744493391,706112.6844501395,1.0000812E7,3.0,5220466.0,20881.86399999999,235519.34103739387,3692990.0,3.0,0,0,0,0,7580,8040,14.954176271828096,16.462711597494966,0.0,29436.0,2320.750000000002,3335.903134122831,1.1128249720250526E7,1,2,0,13,478,0,0,0,1.0,2325.5949895615868,2.6315789473684212,4435.697211155379,0,0,0,556980,126,716211,0,1,0,2324,29200,139,3,32,5245765.0,0.0,5245765.0,5245765.0,7.139561478680085E14,1.0096864531113045E15,1.427912285735205E15,1.0000812E7,NeedManualLabel
131.202.240.150-54.172.176.107-60370-443-6,131.202.240.150,60370,54.172.176.107,443,6,01/04/2015 03:18:11 PM,14889727,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,2.0819723558397008,0.33580199287737106,3722431.75,7408607.209344294,1.4835276E7,4.0,1.4889723E7,1.4889723E7,0.0,1.4889723E7,1.4889723E7,1.4835313E7,7417656.5,1.0490098097423136E7,1.4835276E7,37.0,0,0,0,0,64,96,0.13432079715094844,0.20148119572642265,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,0,0,0,6,469,272,0,32,54414.0,0.0,54414.0,54414.0,7.139561533540575E14,1.0096864540327849E15,1.427912291872839E15,1.4835276E7,NeedManualLabel
131.202.240.150-54.213.126.9-42951-443-6,131.202.240.150,42951,54.213.126.9,443,6,01/04/2015 03:18:12 PM,19752947,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333332,21.361959960016154,1.873138220843705,0.2531267866005007,4938236.75,6898943.058805282,1.4673669E7,79.0,1.475212E7,1.475212E7,0.0,1.475212E7,1.475212E7,1.9674575E7,9837287.5,6839676.310110333,1.4673669E7,5000906.0,0,0,0,0,64,96,0.10125071464020027,0.15187607196030042,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,1,0,0,1,5,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,0,0,0,7,525,126,0,32,39225.5,55361.51121943836,78372.0,79.0,4.759707705584346E14,8.244055404863042E14,1.427912292000808E15,5000827.0,NeedManualLabel
131.202.240.150-23.23.192.43-34875-443-6,131.202.240.150,34875,23.23.192.43,443,6,01/04/2015 03:18:12 PM,20012267,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333332,21.361959960016154,1.8488659980401019,0.24984675649190569,5003066.75,7037657.37971793,1.4958061E7,10.0,1.5016107E7,1.5016107E7,0.0,1.5016107E7,1.5016107E7,1.9954231E7,9977115.5,7044120.679541237,1.4958061E7,4996170.0,0,0,0,0,64,96,0.09993870259676227,0.14990805389514342,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,1,0,0,1,5,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,0,0,0,7,340,136,0,32,58036.0,0.0,58036.0,58036.0,7.13956153479431E14,1.0096864540364455E15,1.427912292000801E15,1.4958061E7,NeedManualLabel
131.202.240.150-54.152.126.67-58511-443-6,131.202.240.150,58511,54.152.126.67,443,6,01/04/2015 03:18:13 PM,19384001,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333332,21.361959960016154,1.9087906567895863,0.2579446833499441,4846000.25,6742228.629874861,1.4329277E7,82.0,1.4386363E7,1.4386363E7,0.0,1.4386363E7,1.4386363E7,1.9326997E7,9663498.5,6598407.233728796,1.4329277E7,4997720.0,0,0,0,0,64,96,0.10317787333997763,0.15476681000996645,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,1,0,0,1,5,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,0,0,0,7,589,136,0,32,57004.0,0.0,57004.0,57004.0,7.139561537410715E14,1.009686455295696E15,1.427912293152866E15,1.4329277E7,NeedManualLabel
131.202.240.150-54.152.126.67-58511-443-6,131.202.240.150,58511,54.152.126.67,443,6,01/04/2015 03:18:32 PM,304075,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6.577324673189181,304075.0,0.0,304075.0,304075.0,304075.0,304075.0,0.0,304075.0,304075.0,0,0,0,0,0,0,0,0,0,64,0,6.577324673189181,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,589,0,0,32,0,0,0,0,1.427912312576898E15,0.0,1.427912312576898E15,1.427912312576898E15,NeedManualLabel
131.202.240.150-23.23.192.43-34875-443-6,131.202.240.150,34875,23.23.192.43,443,6,01/04/2015 03:18:32 PM,828545,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.413870097580699,828545.0,0.0,828545.0,828545.0,828545.0,828545.0,0.0,828545.0,828545.0,0,0,0,0,0,0,0,0,0,64,0,2.413870097580699,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,340,0,0,32,0,0,0,0,1.427912312052821E15,0.0,1.427912312052821E15,1.427912312052821E15,NeedManualLabel
131.202.240.150-54.213.126.9-42951-443-6,131.202.240.150,42951,54.213.126.9,443,6,01/04/2015 03:18:31 PM,1090656,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.8337587653668983,1090656.0,0.0,1090656.0,1090656.0,1090656.0,1090656.0,0.0,1090656.0,1090656.0,0,0,0,0,0,0,0,0,0,64,0,1.8337587653668983,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,525,0,0,32,0,0,0,0,1.427912311792898E15,0.0,1.427912311792898E15,1.427912311792898E15,NeedManualLabel
131.202.240.150-54.172.176.107-60370-443-6,131.202.240.150,60370,54.172.176.107,443,6,01/04/2015 03:18:26 PM,6082894,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3287908682939404,6082894.0,0.0,6082894.0,6082894.0,6082894.0,6082894.0,0.0,6082894.0,6082894.0,0,0,0,0,0,0,0,0,0,64,0,0.3287908682939404,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,469,0,0,32,0,0,0,0,7.13956156441896E14,1.0096864707773854E15,1.427912306800898E15,6082894.0,NeedManualLabel
131.202.240.150-173.252.100.27-52830-443-6,131.202.240.150,52830,173.252.100.27,443,6,01/04/2015 03:18:13 PM,19846940,1,4,0.0,76.0,0.0,0.0,0.0,0.0,45.0,0.0,19.0,22.67156809750927,3.829305676341038,0.25192800502243673,4961735.0,9831137.003951307,1.9708114E7,3.0,0,0,0,0,0,1.9708146E7,6569382.0,1.1378475685522951E7,1.9708114E7,3.0,0,0,0,0,32,128,0.05038560100448734,0.20154240401794937,0.0,45.0,12.666666666666666,20.116328359486147,404.66666666666663,1,0,0,2,5,0,0,0,4.0,15.2,0.0,19.0,0,0,0,0,0,0,0,0,0,15,1444,241,0,32,138794.0,0.0,138794.0,138794.0,7.139561566224745E14,1.0096864517637909E15,1.427912293536835E15,1.9708114E7,NeedManualLabel
131.202.240.150-173.252.100.27-52830-443-6,131.202.240.150,52830,173.252.100.27,443,6,01/04/2015 03:18:33 PM,142,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14084.507042253521,142.0,0.0,142.0,142.0,142.0,142.0,0.0,142.0,142.0,0,0,0,0,0,0,0,0,0,64,0,14084.507042253521,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1444,0,0,32,0,0,0,0,1.427912313383812E15,0.0,1.427912313383812E15,1.427912313383812E15,NeedManualLabel
131.202.240.150-23.235.40.246-41706-80-6,131.202.240.150,41706,23.235.40.246,80,6,01/04/2015 03:18:23 PM,10293438,43,43,218.0,131522.0,218.0,0.0,5.069767441860466,33.244688332507806,21408.0,0.0,3058.6511627906975,4544.516187166163,12798.44498990522,8.354837324516843,121099.27058823529,1092979.5577142434,1.0078945E7,5.0,214493.0,5106.97619047619,13465.940216941726,45010.0,10.0,1.0252987E7,244118.73809523808,1554607.0122349102,1.0078955E7,15.0,0,0,0,0,1384,1384,4.177418662258422,4.177418662258422,0.0,21408.0,1514.2528735632184,3527.714390229507,1.2444768819032343E7,1,2,0,8,85,0,0,0,1.0,1531.860465116279,5.069767441860465,3058.6511627906975,0,0,0,131740,41,757374,0,2,0,1529,29200,31,1,32,214493.0,0.0,214493.0,214493.0,7.139561565862275E14,1.0096864653302314E15,1.42791230309351E15,1.0078945E7,NeedManualLabel
131.202.240.150-54.173.60.199-36376-443-6,131.202.240.150,36376,54.173.60.199,443,6,01/04/2015 03:18:11 PM,29889460,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.0371549034341871,0.16728304894099794,7472365.000000001,1.4908008587941919E7,2.9834344E7,2.0,2.9889458E7,2.9889458E7,0.0,2.9889458E7,2.9889458E7,2.9834387E7,1.49171935E7,2.1096036549060594E7,2.9834344E7,43.0,0,0,0,0,64,96,0.06691321957639917,0.10036982936459876,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,0,0,0,6,549,310,0,32,55073.0,0.0,55073.0,55073.0,7.139561608535965E14,1.0096864434268492E15,1.427912291872849E15,2.9834344E7,NeedManualLabel
