Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.194.123.1-51270-443-6,131.202.240.150,51270,173.194.123.1,443,6,02/04/2015 11:46:21 AM,14668996,1,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,4.294772457501522,0.2726839655556522,4889665.333333334,8447472.69804492,1.4643956E7,63.0,0,0,0,0,0,1.4644019E7,7322009.5,1.0354796043270215E7,1.4643956E7,63.0,0,0,0,0,32,96,0.06817099138891305,0.20451297416673916,0.0,63.0,12.6,28.17445651649735,793.8,1,0,0,1,4,0,0,0,3.0,15.75,0.0,21.0,0,0,0,0,0,0,0,0,0,15,335,409,0,32,24977.0,0.0,24977.0,24977.0,7.13992998017163E14,1.0097385605256171E15,1.42798598139037E15,1.4643956E7,NeedManualLabel
131.202.240.150-216.58.219.195-33183-443-6,131.202.240.150,33183,216.58.219.195,443,6,02/04/2015 11:46:08 AM,104820337,3,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.60102840539427,0.07632106735165334,1.4974333857142858E7,2.1218875509612367E7,4.5030447E7,37.0,9.0112005E7,4.50560025E7,14.849242404917497,4.5056013E7,4.5055992E7,1.04794792E8,2.6198698E7,2.2584592905128945E7,4.5056087E7,37.0,0,0,0,0,96,160,0.02862040025687,0.047700667094783336,0.0,63.0,7.0,21.0,441.0,1,0,0,1,8,0,0,0,1.0,7.875,0.0,12.6,0,0,0,0,0,0,0,0,0,7,841,391,0,32,25616.333333333332,72.00925866396163,25689.0,25545.0,3.5699651826946175E14,7.139929667099564E14,1.427985968334396E15,1.4682606E7,NeedManualLabel
131.202.240.150-74.125.29.95-39982-443-6,131.202.240.150,39982,74.125.29.95,443,6,02/04/2015 11:46:08 AM,104839820,3,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.6009167127528452,0.07630688415909145,1.4977117142857142E7,2.1208639476150762E7,4.5018251E7,46.0,9.0112066E7,4.5056033E7,56.568542494923804,4.5056073E7,4.5055993E7,1.04801998E8,2.62004995E7,2.258335744443075E7,4.5056487E7,46.0,0,0,0,0,96,160,0.028615081559659295,0.04769180259943216,0.0,63.0,7.0,21.0,441.0,1,0,0,1,8,0,0,0,1.0,7.875,0.0,12.6,0,0,0,0,0,0,0,0,0,7,357,350,0,32,37981.0,223.07173734025562,38236.0,37822.0,3.5699651829705E14,7.139929667768795E14,1.427985968462369E15,1.4689823E7,NeedManualLabel
131.202.240.150-216.58.219.206-60366-443-6,131.202.240.150,60366,216.58.219.206,443,6,02/04/2015 11:46:08 AM,104780120,3,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.6012590938051989,0.0763503611181205,1.4968588571428575E7,2.121891702058429E7,4.5030521E7,12.0,9.0112004E7,4.5056002E7,91.92388155425118,4.5056067E7,4.5055937E7,1.04754574E8,2.61886435E7,2.2591591947592366E7,4.5056291E7,12.0,0,0,0,0,96,160,0.028631385419295188,0.047718975698825314,0.0,63.0,7.0,21.0,441.0,1,0,0,1,8,0,0,0,1.0,7.875,0.0,12.6,0,0,0,0,0,0,0,0,0,7,270,358,0,32,25747.333333333332,248.4558981657174,26025.0,25546.0,3.56996518355312E14,7.139929669087135E14,1.427985968718382E15,1.4642079E7,NeedManualLabel
131.202.240.150-74.125.226.174-43754-443-6,131.202.240.150,43754,74.125.226.174,443,6,02/04/2015 11:46:15 AM,104859316,3,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.6008049871315201,0.07629269677860573,1.4979902285714287E7,2.1218214174412712E7,4.5030804E7,72.0,9.0107937E7,4.50539685E7,2747.109844909737,4.5055911E7,4.5052026E7,1.04834209E8,2.620855225E7,2.2576031695141647E7,4.5055966E7,72.0,0,0,0,0,96,160,0.028609761291977145,0.04768293548662857,0.0,63.0,7.0,21.0,441.0,1,0,0,1,8,0,0,0,1.0,7.875,0.0,12.6,0,0,0,0,0,0,0,0,0,7,574,566,0,32,25125.333333333332,31.754264805429415,25162.0,25107.0,3.5699652004057275E14,7.139929702252336E14,1.427985975378423E15,1.4726145E7,NeedManualLabel
217.23.3.253-131.202.240.150-9001-34160-6,217.23.3.253,9001,131.202.240.150,34160,6,02/04/2015 11:46:04 AM,119988272,22715,13960,3.7372754E7,1203884.0,12042.0,0.0,1645.2896324014964,823.195239095165,2676.0,0.0,86.23810888252112,306.8664689528835,321503.4049327754,305.6548726695556,3271.7530675682833,14944.703466721112,1251410.0,-1.0,1.1995216E8,5280.97913181299,20513.99541152618,1379417.0,2.0,1.19988201E8,8595.759080163343,24816.353699607662,1296306.0,4.0,0,0,0,0,726880,459144,189.31016858047593,116.34470408907964,0.0,12042.0,1051.8223906641983,1014.1962013104893,1028593.9347526265,0,0,0,1055,36675,0,0,0,0.0,1051.8510702113156,1645.2896324014969,86.23810888252149,0,0,0,12858879,7957,327903,0,1019,0,32,3177,5989,22557,32,0,0,0,0,1.42798596438617E15,0.0,1.42798596438617E15,1.42798596438617E15,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 11:46:14 AM,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,199999.99999999997,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,199999.99999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.427985974718958E15,0.0,1.427985974718958E15,1.427985974718958E15,NeedManualLabel
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 11:46:30 AM,90158645,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06654935863332906,1.8031729E7,2.4627352509468615E7,4.5009928E7,46072.0,9.0112031E7,4.50560155E7,21.920310216782973,4.5056031E7,4.5056E7,9.0112573E7,4.50562865E7,447.59859249108456,4.5056603E7,4.505597E7,0,0,0,0,96,96,0.03327467931666453,0.03327467931666453,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,443,366,0,32,46373.5,426.38538905548813,46675.0,46072.0,4.759953602938996E14,8.244480702371009E14,1.427985990862415E15,4.5009356E7,NeedManualLabel
217.23.3.253-131.202.240.150-9001-34160-6,217.23.3.253,9001,131.202.240.150,34160,6,02/04/2015 11:48:04 AM,119280680,17227,10680,2.8003336E7,895229.0,14718.0,0.0,1625.5491960294846,829.3110927063499,2676.0,0.0,83.82294007490617,309.2505517426457,242273.64397989682,233.9607721887568,4274.37396975562,20028.053135601625,1015179.0,0.0,1.1928068E8,6924.456054800883,28247.951079731676,1035036.0,2.0,1.19128471E8,11155.395729937258,33563.86349249683,1015199.0,3.0,0,0,0,0,551264,350140,144.424059286047,89.53671290270981,0.0,14718.0,1035.541887630795,1011.2628925427806,1022652.6378339914,0,0,0,995,27907,0,0,0,0.0,1035.5789945175045,1625.5491960294885,83.82294007490637,0,0,0,14449282,8988,244744,0,1003,0,32,3177,5989,16995,32,0,0,0,0,1.427986084393235E15,0.0,1.427986084393235E15,1.427986084393235E15,NeedManualLabel
131.202.240.150-216.58.219.195-33183-443-6,131.202.240.150,33183,216.58.219.195,443,6,02/04/2015 11:47:53 AM,25592,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.14942169427947,25592.0,0.0,25592.0,25592.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.074710847139734,39.074710847139734,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,841,391,0,32,0,0,0,0,1.427986073154837E15,0.0,1.427986073154837E15,1.427986073154837E15,NeedManualLabel
