Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.194.208.189-48642-443-6,131.202.240.150,48642,173.194.208.189,443,6,02/04/2015 11:28:52 AM,90158314,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06654960295730464,1.80316628E7,2.4627713730807204E7,4.5009977E7,45983.0,9.0112016E7,4.5056008E7,83.43860018001261,4.5056067E7,4.5055949E7,9.0112331E7,4.50561655E7,154.8563850798539,4.5056275E7,4.5056056E7,0,0,0,0,96,96,0.03327480147865232,0.03327480147865232,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,755,540,0,32,46036.5,75.66042558696059,46090.0,45983.0,4.759950074834634E14,8.24447459150929E14,1.427984932430447E15,4.5009966E7,NeedManualLabel
131.202.240.150-216.58.219.227-41653-443-6,131.202.240.150,41653,216.58.219.227,443,6,02/04/2015 11:28:52 AM,90133976,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656757269866803,1.80267952E7,2.4648953183782384E7,4.5030585E7,25440.0,9.0108025E7,4.50540125E7,2846.1047942758537,4.5056025E7,4.5052E7,9.0108132E7,4.5054066E7,3493.107499061545,4.5056536E7,4.5051596E7,0,0,0,0,96,96,0.033283786349334016,0.033283786349334016,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,250,366,0,32,25642.0,285.6711395993652,25844.0,25440.0,4.75995007667713E14,8.244474594381908E14,1.427984932946398E15,4.5026156E7,NeedManualLabel
131.202.240.150-216.58.219.195-32829-443-6,131.202.240.150,32829,216.58.219.195,443,6,02/04/2015 11:28:59 AM,45081723,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872775337357892,1.5027241E7,2.5983616533387188E7,4.5030537E7,25513.0,4.505605E7,4.505605E7,0.0,4.505605E7,4.505605E7,4.505621E7,4.505621E7,0.0,4.505621E7,4.505621E7,0,0,0,0,64,64,0.04436387668678946,0.04436387668678946,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,360,0,32,25513.0,0.0,25513.0,25513.0,7.139924921864515E14,1.0097378021998496E15,1.427984939342366E15,4.5030537E7,NeedManualLabel
131.202.240.150-131.202.244.5-49868-53-17,131.202.240.150,49868,131.202.244.5,53,17,02/04/2015 11:28:50 AM,316,1,1,32.0,248.0,32.0,32.0,32.0,0.0,248.0,248.0,248.0,0.0,886075.9493670886,6329.113924050634,316.0,0.0,316.0,316.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3164.556962025317,3164.556962025317,32.0,248.0,104.0,124.70765814495917,15552.0,0,0,0,0,0,0,0,0,1.0,156.0,32.0,248.0,0,0,0,0,0,0,0,16,0,124,0,0,0,8,0,0,0,0,1.427984930104544E15,0.0,1.427984930104544E15,1.427984930104544E15,NeedManualLabel
131.202.240.150-131.202.244.5-29177-53-17,131.202.240.150,29177,131.202.244.5,53,17,02/04/2015 11:28:52 AM,429,1,1,43.0,263.0,43.0,43.0,43.0,0.0,263.0,263.0,263.0,0.0,713286.7132867132,4662.004662004661,429.0,0.0,429.0,429.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2331.0023310023307,2331.0023310023307,43.0,263.0,116.33333333333333,127.01705922171766,16133.333333333332,0,0,0,0,0,0,0,0,1.0,174.5,43.0,263.0,0,0,0,0,0,0,0,21,0,131,0,0,0,8,0,0,0,0,1.427984932962277E15,0.0,1.427984932962277E15,1.427984932962277E15,NeedManualLabel
131.202.240.150-74.125.226.184-39212-80-6,131.202.240.150,39212,74.125.226.184,80,6,02/04/2015 11:28:52 AM,90137719,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656480845715654,1.80275438E7,2.4650629074523095E7,4.5030971E7,25007.0,9.0112012E7,4.5056006E7,39.59797974644666,4.5056034E7,4.5055978E7,9.0112712E7,4.5056356E7,410.1219330881976,4.5056646E7,4.5056066E7,0,0,0,0,96,96,0.03328240422857827,0.03328240422857827,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,251,375,0,32,25051.0,62.22539674441618,25095.0,25007.0,4.75995007668103E14,8.244474594343898E14,1.427984932942399E15,4.5030939E7,NeedManualLabel
131.202.240.150-131.202.244.3-10296-53-17,131.202.240.150,10296,131.202.244.3,53,17,02/04/2015 11:30:05 AM,519,1,1,33.0,379.0,33.0,33.0,33.0,0.0,379.0,379.0,379.0,0.0,793834.2967244701,3853.5645472061656,519.0,0.0,519.0,519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1926.7822736030828,1926.7822736030828,33.0,379.0,148.33333333333331,199.7631931396105,39905.33333333333,0,0,0,0,0,0,0,0,1.0,222.5,33.0,379.0,0,0,0,0,0,0,0,16,0,189,0,0,0,8,0,0,0,0,1.427985005875891E15,0.0,1.427985005875891E15,1.427985005875891E15,NeedManualLabel
131.202.240.150-216.58.219.237-35119-443-6,131.202.240.150,35119,216.58.219.237,443,6,02/04/2015 11:28:52 AM,90133644,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656781789494719,1.80267288E7,2.4649148433833323E7,4.5030438E7,25460.0,9.0108057E7,4.50540285E7,2786.7078246561837,4.5055999E7,4.5052058E7,9.0108184E7,4.5054092E7,2733.6748160671928,4.5056025E7,4.5052159E7,0,0,0,0,96,96,0.033283908947473594,0.033283908947473594,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,254,350,0,32,25510.5,71.4177848998413,25561.0,25460.0,4.759950074117986E14,8.244474589946786E14,1.42798493217836E15,4.5026598E7,NeedManualLabel
131.202.240.150-173.194.123.94-51683-443-6,131.202.240.150,51683,173.194.123.94,443,6,02/04/2015 11:28:53 AM,90132986,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656830386158515,1.80265972E7,2.4649810359176006E7,4.5031099E7,24900.0,9.010805E7,4.5054025E7,2829.841338308563,4.5056026E7,4.5052024E7,9.0108086E7,4.5054043E7,2817.1134162472054,4.5056035E7,4.5052051E7,0,0,0,0,96,96,0.03328415193079257,0.03328415193079257,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,337,363,0,32,24913.5,19.091883092036785,24927.0,24900.0,4.759950079241964E14,8.244474598811495E14,1.427984933714366E15,4.5027124E7,NeedManualLabel
131.202.240.150-131.202.244.5-14353-53-17,131.202.240.150,14353,131.202.244.5,53,17,02/04/2015 11:28:48 AM,40348,1,1,31.0,378.0,31.0,31.0,31.0,0.0,378.0,378.0,378.0,0.0,10136.809755130365,49.56875185882819,40348.0,0.0,40348.0,40348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,24.784375929414097,24.784375929414097,31.0,378.0,146.66666666666669,200.34054340880016,40136.333333333336,0,0,0,0,0,0,0,0,1.0,220.0,31.0,378.0,0,0,0,0,0,0,0,15,0,189,0,0,0,8,0,0,0,0,1.427984928830402E15,0.0,1.427984928830402E15,1.427984928830402E15,NeedManualLabel
