Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-4188-13111-6,131.202.240.87,4188,131.202.6.26,13111,6,01/04/2015 11:23:11 AM,15562,4,2,2.0,2.0,2.0,0.0,0.5,1.0,2.0,0.0,1.0,1.4142135623730951,257.03637064644647,385.5545559696697,3112.4,5954.967447434116,13741.0,62.0,15562.0,5187.333333333334,7408.577483790888,13741.0,796.0,14541.0,14541.0,0.0,14541.0,14541.0,0,0,0,0,92,52,257.03637064644647,128.51818532322324,0.0,2.0,0.5714285714285715,0.9759000729485333,0.9523809523809526,1,2,0,2,5,0,0,0,0.0,0.6666666666666666,0.5,1.0,0,0,0,0,0,0,0,0,0,0,8192,516,1,20,0,0,0,0,1.427898191924235E15,0.0,1.427898191924235E15,1.427898191924235E15,NeedManualLabel
131.202.6.26-131.202.240.87-13111-4188-6,131.202.6.26,13111,131.202.240.87,4188,6,01/04/2015 11:23:11 AM,2072,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,965.2509652509652,2072.0,0.0,2072.0,2072.0,2072.0,2072.0,0.0,2072.0,2072.0,0,0,0,0,0,0,0,0,0,40,0,965.2509652509652,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,1.427898191940345E15,0.0,1.427898191940345E15,1.427898191940345E15,NeedManualLabel
131.202.240.87-207.241.226.111-4189-6969-6,131.202.240.87,4189,207241226111,6969,6,01/04/2015 11:23:32 AM,200856,3,4,205.0,147.0,205.0,0.0,68.33333333333333,118.35680518387328,147.0,0.0,36.75,73.5,1752.4993029832317,34.85083841159836,33476.0,51710.25865338521,100400.0,46.0,100346.0,50173.0,70748.86188483883,100200.0,146.0,100789.0,33596.33333333333,58095.29418406738,100679.0,46.0,0,0,0,0,72,92,14.936073604970725,19.914764806627634,0.0,205.0,44.0,82.93370846646133,6878.0,1,2,0,2,6,0,0,0,1.0,50.285714285714285,68.33333333333333,36.75,0,0,0,0,0,0,0,29,0,21,8192,54,1,20,0,0,0,0,1.427898212563939E15,0.0,1.427898212563939E15,1.427898212563939E15,NeedManualLabel
131.202.240.87-207.241.226.111-4189-6969-6,131.202.240.87,4189,207241226111,6969,6,01/04/2015 11:23:32 AM,94,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21276.595744680853,94.0,0.0,94.0,94.0,94.0,94.0,0.0,94.0,94.0,0,0,0,0,0,0,0,0,0,40,0,21276.595744680853,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,257,0,0,20,0,0,0,0,1.427898212764861E15,0.0,1.427898212764861E15,1.427898212764861E15,NeedManualLabel
131.202.240.87-207.241.239.206-4190-6969-6,131.202.240.87,4190,207241239206,6969,6,01/04/2015 11:23:33 AM,202478,3,4,376.0,171.0,376.0,0.0,125.33333333333333,217.08370121529927,171.0,0.0,42.75,85.5,2701.528067246812,34.571657167692294,33746.333333333336,52166.710705838705,101322.0,44.0,101045.0,50522.5,71281.31329107229,100926.0,119.0,101614.0,33871.33333333333,58570.74256259121,101503.0,44.0,0,0,0,0,72,92,14.816424500439554,19.755232667252738,0.0,376.0,68.37500000000001,137.95230801155265,19030.83928571429,1,2,0,2,6,0,0,0,1.0,78.14285714285714,125.33333333333333,42.75,0,0,0,0,0,0,0,53,0,24,8192,54,1,20,0,0,0,0,1.427898213534019E15,0.0,1.427898213534019E15,1.427898213534019E15,NeedManualLabel
131.202.240.87-207.241.239.206-4190-6969-6,131.202.240.87,4190,207241239206,6969,6,01/04/2015 11:23:33 AM,89,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,22471.91011235955,89.0,0.0,89.0,89.0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,0,0,0,0,0,40,0,22471.91011235955,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,257,0,0,20,0,0,0,0,1.42789821373656E15,0.0,1.42789821373656E15,1.42789821373656E15,NeedManualLabel
131.202.240.87-207.241.224.2-4192-80-6,131.202.240.87,4192,207.241.224.2,80,6,01/04/2015 11:23:33 AM,231326,5,3,783.0,327.0,615.0,0.0,156.6,266.3790532305421,327.0,0.0,109.0,188.79353802500762,4798.423004763839,34.58322886316281,33046.571428571435,46397.5004637719,100239.0,41.0,231326.0,57831.5,50226.46698371952,100280.0,1779.0,122559.0,61279.5,57778.402197533986,102135.0,20424.0,0,0,0,0,112,72,21.614518039476756,12.968710823686052,0.0,615.0,123.33333333333333,216.9325932173402,47059.75,1,2,0,3,7,0,0,0,0.0,138.75,156.6,109.0,0,0,0,0,0,0,0,97,0,40,8192,237,2,20,0,0,0,0,1.427898213534589E15,0.0,1.427898213534589E15,1.427898213534589E15,NeedManualLabel
207.241.224.2-131.202.240.87-80-4192-6,207.241.224.2,80,131.202.240.87,4192,6,01/04/2015 11:23:33 AM,135,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14814.814814814814,135.0,0.0,135.0,135.0,135.0,135.0,0.0,135.0,135.0,0,0,0,0,0,0,0,0,0,40,0,14814.814814814814,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,247,0,0,20,0,0,0,0,1.427898213865817E15,0.0,1.427898213865817E15,1.427898213865817E15,NeedManualLabel
131.202.240.87-131.202.6.26-4193-13111-6,131.202.240.87,4193,131.202.6.26,13111,6,01/04/2015 11:23:33 AM,314263,4,3,160.0,198.0,160.0,0.0,40.0,80.0,198.0,0.0,66.0,114.3153532995459,1139.1732402478178,22.274337099817668,52377.166666666664,97363.76616055208,246276.0,72.0,314263.0,104754.33333333333,171259.65278002093,302442.0,1488.0,312339.0,156169.5,127429.83435797128,246276.0,66063.0,0,0,0,0,92,72,12.728192628467239,9.546144471350429,0.0,198.0,44.75,83.48096446838302,6969.071428571428,1,2,0,2,6,0,0,0,0.0,51.142857142857146,40.0,66.0,0,0,0,0,0,0,0,22,0,28,8192,516,1,20,0,0,0,0,1.427898213661395E15,0.0,1.427898213661395E15,1.427898213661395E15,NeedManualLabel
131.202.6.26-131.202.240.87-13111-4193-6,131.202.6.26,13111,131.202.240.87,4193,6,01/04/2015 11:23:33 AM,87,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,22988.505747126437,87.0,0.0,87.0,87.0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,0,0,0,0,40,0,22988.505747126437,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,1.427898213976219E15,0.0,1.427898213976219E15,1.427898213976219E15,NeedManualLabel
