Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.244.3-42335-53-6,131.202.240.87,42335,131.202.244.3,53,6,29/04/2015 10:48:24 AM,1606,4,3,39.0,332.0,39.0,0.0,9.75,19.5,332.0,0.0,110.66666666666667,191.68028937095576,231008.71731008717,4358.65504358655,267.6666666666667,332.204555457427,929.0,46.0,1606.0,535.3333333333334,360.28090892154324,929.0,222.0,1385.0,692.5,683.7722574073914,1176.0,209.0,0,0,0,0,92,72,2490.6600249066,1867.9950186799501,0.0,332.0,46.375,116.21401132639484,13505.69642857143,1,2,0,2,6,0,0,0,0.0,53.0,9.75,110.66666666666667,0,0,0,0,0,0,0,5,0,47,8192,229,1,20,0,0,0,0,1.430315304471975E15,0.0,1.430315304471975E15,1.430315304471975E15,NeedManualLabel
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 10:47:03 AM,119994062,1356,5301,85117.0,411275.0,209.0,2.0,62.77064896755158,35.30490983101806,222.0,2.0,77.58441803433323,20.730359984357786,4136.804702886047,55.47774522375949,18027.95402644235,198921.8014612235,1.6206618E7,10.0,1.19994062E8,88556.50332103313,453055.93668621004,1.6350959E7,45.0,1.19985218E8,22638.720377358448,222768.48136455144,1.6206618E7,39.0,0,0,0,0,10848,42408,11.30055918933722,44.17718603442227,2.0,222.0,74.55602282967867,25.14434102251623,632.2378854565925,0,0,0,0,0,0,0,0,3.0,74.56722247258524,62.77064896755162,77.58441803433314,0,0,0,248196,3328,4782,0,12,0,61,0,0,1355,8,8.1088275E7,0.0,8.1088275E7,8.1088275E7,7.15157619790529E14,1.0113855822226085E15,1.43031522337444E15,1.6206618E7,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 10:47:06 AM,99263410,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.23170672859213684,4511973.181818182,7600493.960140289,2.0998347E7,15.0,9.926341E7,4511973.181818182,7600493.960140289,2.0998347E7,15.0,0,0,0,0,0,0,0,0,0,0,0,0.23170672859213684,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1452827.2,1748633.0474295344,4262150.0,15.0,2.0433075973199572E14,5.4060833499982925E14,1.430315226387633E15,6076232.0,NeedManualLabel
131.202.240.87-65.55.163.222-42337-443-6,131.202.240.87,42337,65.55.163.222,443,6,29/04/2015 10:49:28 AM,499087,9,7,1917.0,4438.0,869.0,0.0,213.00000000000003,308.5704943768927,1350.0,0.0,634.0,608.2589908912157,12733.250916172932,32.05853889201682,33272.46666666667,58491.88501208238,234420.0,29.0,499087.0,62385.875,74737.28758111405,234453.0,1364.0,417215.0,69535.83333333334,85332.33113285179,235212.0,183.0,0,0,0,0,192,152,18.03292812675946,14.02561076525736,0.0,1350.0,373.82352941176464,489.129614122642,239247.7794117647,1,2,0,7,15,0,0,0,0.0,397.1875,213.0,634.0,0,0,0,6355,9,15284,0,119,0,277,8192,258,4,20,0,0,0,0,1.430315368222552E15,0.0,1.430315368222552E15,1.430315368222552E15,NeedManualLabel
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 10:49:03 AM,119995871,6001,6000,498083.0,498000.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8300.977289460236,100.01177457181007,9999.655916666687,3937.726395665479,22376.0,19.0,1.19987944E8,19997.9906666666,2772.6070167848297,28315.0,8995.0,1.19978347E8,19999.724454075684,3122.27849776297,25447.0,5486.0,0,0,0,0,48008,48000,50.01005409594469,50.001720475865376,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.0069160903258,83.0,83.0,0,0,0,996083,12001,8300,0,41,0,41,0,0,6000,8,0,0,0,0,1.430315343381937E15,0.0,1.430315343381937E15,1.430315343381937E15,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 10:49:06 AM,105000977,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.20952185997278863,5000046.523809523,6279019.9350180095,1.8261981E7,14.0,1.05000977E8,5000046.523809523,6279019.9350180095,1.8261981E7,14.0,0,0,0,0,0,0,0,0,0,0,0,0.20952185997278863,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,304451.3333333333,912950.5131907479,2738986.0,14.0,1.4303154489101112E14,4.523054231774589E14,1.430315346649386E15,5737991.0,NeedManualLabel
131.202.240.87-131.202.6.26-42338-13000-6,131.202.240.87,42338,131.202.6.26,13000,6,29/04/2015 10:51:17 AM,106187,15,12,8322.0,5828.0,1350.0,0.0,554.8000000000001,570.0496469606836,1350.0,0.0,485.66666666666674,547.9253985938619,133255.48325124543,254.26841327092768,4084.1153846153848,10985.761385819093,42991.0,4.0,67825.0,4844.642857142857,11790.198716973107,44696.0,4.0,105397.0,9581.545454545456,24038.696006080016,81353.0,89.0,0,0,0,0,312,252,141.26022959495984,113.00818367596787,0.0,1350.0,505.3571428571429,549.3613945290857,301797.94179894176,1,2,0,12,26,0,0,0,0.0,524.074074074074,554.8,485.6666666666667,0,0,0,14150,18,1058735,0,308,0,215,65535,32239,10,20,0,0,0,0,1.430315477708206E15,0.0,1.430315477708206E15,1.430315477708206E15,NeedManualLabel
131.202.240.87-131.202.6.26-42338-13000-6,131.202.240.87,42338,131.202.6.26,13000,6,29/04/2015 10:51:17 AM,77,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,25974.025974025975,77.0,0.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0,0,0,0,0,0,0,0,0,40,0,25974.025974025975,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32213,0,0,20,0,0,0,0,1.430315477814435E15,0.0,1.430315477814435E15,1.430315477814435E15,NeedManualLabel
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 10:51:03 AM,119995099,6000,6000,498000.0,498000.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8300.338999678646,100.00408433347765,10000.424952079344,4185.17978281498,21772.0,15.0,1.1998421E8,20000.70178363063,2785.2969570517025,25972.0,12646.0,1.1998648E8,20001.08018003001,3092.6032185352556,26489.0,5469.0,0,0,0,0,48000,48000,50.002042166738825,50.002042166738825,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.00691666666667,83.0,83.0,0,0,0,996000,12000,8300,0,41,0,41,0,0,5999,8,0,0,0,0,1.430315463386925E15,0.0,1.430315463386925E15,1.430315463386925E15,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 10:51:09 AM,108260496,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21245053227910576,4920931.636363637,6982276.632835668,2.099834E7,15.0,1.08260496E8,4920931.636363637,6982276.632835668,2.099834E7,15.0,0,0,0,0,0,0,0,0,0,0,0,0.21245053227910576,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,894651.0,1449270.148558577,3260502.0,16.0,1.5892395237631444E14,4.7677181887978375E14,1.430315469389071E15,5058619.0,NeedManualLabel
