Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.6.26-31667-13000-6,131.202.240.242,31667,131.202.6.26,13000,6,29/04/2015 10:50:23 AM,417679,10,14,1829.0,6127.0,506.0,0.0,182.9,209.315524720191,1350.0,0.0,437.64285714285717,521.268070285243,19048.12068598134,57.46039422618805,18159.956521739132,66896.84004935459,322374.0,7.0,417679.0,46408.77777777778,110352.03053611856,336293.0,371.0,394566.0,30351.23076923077,88645.46149329346,322374.0,7.0,0,0,0,0,212,292,23.941830927578355,33.5185632986097,0.0,1350.0,318.24,428.6960150658428,183780.27333333332,1,2,0,12,23,0,0,0,1.0,331.5,182.9,437.64285714285717,0,0,0,7956,14,20695,0,76,0,255,65535,32565,5,20,0,0,0,0,1.430315423869105E15,0.0,1.430315423869105E15,1.430315423869105E15,NeedManualLabel
131.202.6.26-131.202.240.242-13000-31667-6,131.202.6.26,13000,131.202.240.242,31667,6,29/04/2015 10:50:24 AM,59,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,33898.30508474576,59.0,0.0,59.0,59.0,59.0,59.0,0.0,59.0,59.0,0,0,0,0,0,0,0,0,0,40,0,33898.30508474576,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32565,0,0,20,0,0,0,0,1.430315424287137E15,0.0,1.430315424287137E15,1.430315424287137E15,NeedManualLabel
131.202.240.242-131.202.6.26-31668-13000-6,131.202.240.242,31668,131.202.6.26,13000,6,29/04/2015 10:51:05 AM,263741,9,12,1427.0,5827.0,506.0,0.0,158.55555555555554,206.49522458831288,1350.0,0.0,485.58333333333326,547.9436696883314,27504.25606940142,79.62357009338707,13187.05,37141.786092691655,163415.0,25.0,100326.0,12540.75,19268.557791312323,56370.0,631.0,262637.0,23876.09090909091,62581.456672810906,211204.0,64.0,0,0,0,0,192,252,34.12438718288017,45.499182910506896,0.0,1350.0,329.7272727272727,452.9111320187366,205128.49350649348,1,2,0,10,20,0,0,0,1.0,345.42857142857144,158.55555555555554,485.5833333333333,0,0,0,7254,12,177663,0,67,0,277,65535,32237,4,20,0,0,0,0,1.430315465912293E15,0.0,1.430315465912293E15,1.430315465912293E15,NeedManualLabel
131.202.240.242-131.202.6.26-31668-13000-6,131.202.240.242,31668,131.202.6.26,13000,6,29/04/2015 10:51:06 AM,103,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,19417.47572815534,103.0,0.0,103.0,103.0,103.0,103.0,0.0,103.0,103.0,0,0,0,0,0,0,0,0,0,40,0,19417.47572815534,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32214,0,0,20,0,0,0,0,1.430315466176088E15,0.0,1.430315466176088E15,1.430315466176088E15,NeedManualLabel
131.202.240.87-131.202.240.242-17208-62838-17,131.202.240.87,17208,131.202.240.242,62838,17,29/04/2015 10:50:16 AM,119992417,6001,6000,498083.0,498000.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8301.216234355876,100.0146534259744,9999.368083333342,3924.108899544704,22270.0,15.0,1.19992417E8,19998.7361666667,3104.890218097312,25530.0,5117.0,1.19978427E8,19999.73778963156,2762.337799786724,26869.0,15505.0,0,0,0,0,48008,48000,50.01149364296912,50.00315978300529,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.0069160903258,83.0,83.0,0,0,0,996083,12001,8301,0,41,0,41,0,0,6000,8,0,0,0,0,1.430315416592682E15,0.0,1.430315416592682E15,1.430315416592682E15,NeedManualLabel
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 10:50:23 AM,114513685,48,0,2400.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,20.958193773958108,0.4191638754791622,2436461.382978724,4500686.612414712,1.9549597E7,91165.0,1.14513685E8,2436461.382978724,4500686.612414712,1.9549597E7,91165.0,0,0,0,0,0,0,0,0,0,384,0,0.4191638754791622,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,51.041666666666664,50.0,0.0,0,0,0,300,6,114,1,50,0,0,0,0,47,8,4193241.7142857136,4077417.6527701416,1.1474052E7,1501198.0,1.7878943842080888E14,5.056928634437798E14,1.430315423706397E15,5129124.0,NeedManualLabel
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.242,51434,131.202.240.45,161,17,29/04/2015 10:50:28 AM,90035057,486,486,46604.0,56781.0,118.0,43.0,95.89300411522633,30.17558363750236,180.0,46.0,116.8333333333334,43.85669023479217,1148.2749436144634,10.795794798019621,92724.05458290421,1455093.544551454,2.9970389E7,31.0,9.0001583E7,185570.27422680418,2057910.8653489337,3.0000697E7,31.0,9.0026802E7,185622.27216494852,2056435.781937784,2.9978689E7,1438.0,0,0,0,0,3888,3888,5.3978973990098105,5.3978973990098105,43.0,180.0,106.33504624871523,39.04440827854783,1524.4658178219343,0,0,0,0,0,0,0,0,1.0,106.44444444444444,95.89300411522633,116.83333333333333,0,0,0,14769,138,17527,0,47,0,58,0,0,485,8,2056127.5,4051118.333420909,8132805.0,30540.0,2.86063102018669E14,6.396564962535261E14,1.430315428316448E15,7609852.0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 10:50:26 AM,115742214,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2678365907187502,3858073.7999999993,5270115.626030664,1.6999817E7,17.0,1.15742214E8,3858073.7999999993,5270115.626030664,1.6999817E7,17.0,0,0,0,0,0,0,0,0,0,0,0,0.2678365907187502,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2306601.625,2563996.2691623704,7000347.0,18.0,1.430315523788373E14,4.5230544860401906E14,1.430315426502471E15,5260685.0,NeedManualLabel
131.202.240.242-131.202.6.26-31671-13111-6,131.202.240.242,31671,131.202.6.26,13111,6,29/04/2015 10:52:45 AM,302675,4,3,142.0,196.0,142.0,0.0,35.5,71.0,196.0,0.0,65.33333333333333,113.16065276116665,1116.709341703147,23.127116544148013,50445.83333333333,89336.9069834336,227782.0,67.0,302675.0,100891.66666666667,173734.5267134122,301503.0,512.0,282125.0,141062.5,122639.89302221361,227782.0,54343.0,0,0,0,0,92,72,13.215495168084578,9.911621376063433,0.0,196.0,42.25,79.55186987117273,6328.5,1,2,0,2,6,0,0,0,0.0,48.285714285714285,35.5,65.33333333333333,0,0,0,0,0,0,0,20,0,28,8192,516,1,20,0,0,0,0,1.430315565971424E15,0.0,1.430315565971424E15,1.430315565971424E15,NeedManualLabel
131.202.6.26-131.202.240.242-13111-31671-6,131.202.6.26,13111,131.202.240.242,31671,6,29/04/2015 10:52:46 AM,39,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,40,0,51282.05128205128,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,1.430315566274529E15,0.0,1.430315566274529E15,1.430315566274529E15,NeedManualLabel
