Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.130-207.241.239.206-56809-6969-6,10.8.8.130,56809,207.241.239.206,6969,6,04/06/2015 09:33:31 AM,532189,4,4,354.0,150.0,354.0,0.0,88.5,177.0,150.0,0.0,37.5,75.0,947.0319754823944,15.032253579085625,76027.0,129736.08453703234,267130.0,15.0,532146.0,177382.0,153484.2450188292,267185.0,159.0,267442.0,89147.33333333334,154322.84046547787,267344.0,40.0,0,0,0,0,136,136,7.516126789542812,7.516126789542812,0.0,354.0,56.0,122.266103233889,14949.0,1,2,0,2,7,0,0,0,1.0,63.0,88.5,37.5,0,0,0,0,0,0,0,44,0,18,2920,235,1,32,0,0,0,0,1.433421211571206E15,0.0,1.433421211571206E15,1.433421211571206E15,NeedManualLabel
10.8.8.130-207.241.226.111-48935-6969-6,10.8.8.130,48935,207.241.226.111,6969,6,04/06/2015 09:33:31 AM,562946,4,4,354.0,150.0,354.0,0.0,88.5,177.0,150.0,0.0,37.5,75.0,895.2901344001024,14.210954514287339,80420.85714285714,137254.94710140515,281447.0,15.0,562929.0,187643.0,162397.98146220908,281505.0,122.0,281499.0,93833.0,162451.6435958713,281416.0,32.0,0,0,0,0,136,136,7.1054772571436695,7.1054772571436695,0.0,354.0,56.0,122.266103233889,14949.0,1,2,0,2,7,0,0,0,1.0,63.0,88.5,37.5,0,0,0,0,0,0,0,44,0,18,2920,235,1,32,0,0,0,0,1.433421211564225E15,0.0,1.433421211564225E15,1.433421211564225E15,NeedManualLabel
10.8.8.130-207.241.224.2-55779-80-6,10.8.8.130,55779,207.241.224.2,80,6,04/06/2015 09:33:31 AM,1538999,8,8,140.0,4607.0,140.0,0.0,17.5,49.49747468305833,1308.0,0.0,575.875,622.6235821104112,3084.472439553242,10.396368028829128,102599.93333333332,265446.2725264936,999858.0,13.0,539141.0,77020.14285714286,131130.25170598962,269348.0,49.0,1269684.0,181383.42857142858,374536.57743441523,999871.0,38.0,0,0,0,0,264,264,5.198184014414564,5.198184014414564,0.0,1308.0,279.2352941176471,503.7823847421331,253796.6911764706,1,2,0,3,15,0,0,0,1.0,296.6875,17.5,575.875,0,0,0,4747,6,17606,0,8,0,287,29200,235,1,32,0,0,0,0,1.433421211366875E15,0.0,1.433421211366875E15,1.433421211366875E15,NeedManualLabel
10.8.8.130-207.241.224.2-55781-80-6,10.8.8.130,55781,207.241.224.2,80,6,04/06/2015 09:33:31 AM,1558709,4,4,170.0,361.0,170.0,0.0,42.5,85.0,361.0,0.0,90.25,180.5,340.66653878305704,5.132452561703308,222672.7142857143,364790.0625769633,999331.0,14.0,559378.0,186459.33333333334,161540.3921758683,288000.0,181.0,1287546.0,429182.0,509674.37593330117,999345.0,17793.0,0,0,0,0,136,136,2.566226280851654,2.566226280851654,0.0,361.0,59.0,126.43773171011887,15986.5,1,2,0,2,7,0,0,0,1.0,66.375,42.5,90.25,0,0,0,0,0,0,0,21,0,45,29200,235,1,32,0,0,0,0,1.43342121136706E15,0.0,1.43342121136706E15,1.43342121136706E15,NeedManualLabel
10.8.8.130-207.241.224.2-55782-80-6,10.8.8.130,55782,207.241.224.2,80,6,04/06/2015 09:33:31 AM,1573078,4,4,168.0,361.0,168.0,0.0,42.0,84.0,361.0,0.0,90.25,180.5,336.2833883634505,5.085571090562579,224725.42857142858,363480.46153902006,998314.0,16.0,574764.0,191588.0,166496.90152372204,302281.0,111.0,1300740.0,433580.0,504076.9841958667,998330.0,29194.0,0,0,0,0,136,136,2.5427855452812893,2.5427855452812893,0.0,361.0,58.77777777777778,126.21982587709604,15931.444444444443,1,2,0,2,7,0,0,0,1.0,66.125,42.0,90.25,0,0,0,0,0,0,0,21,0,45,29200,235,1,32,0,0,0,0,1.433421211367139E15,0.0,1.433421211367139E15,1.433421211367139E15,NeedManualLabel
10.8.8.130-207.241.224.2-55783-80-6,10.8.8.130,55783,207.241.224.2,80,6,04/06/2015 09:33:31 AM,1575673,4,4,157.0,329.0,157.0,0.0,39.25,78.5,329.0,0.0,82.25,164.5,308.4396318271621,5.077195585632298,225096.14285714284,362471.7952188044,998780.0,15.0,576893.0,192297.66666666666,167651.51535650768,308535.0,113.0,1307462.0,435820.6666666667,500672.2525708144,998795.0,40458.0,0,0,0,0,136,136,2.538597792816149,2.538597792816149,0.0,329.0,53.999999999999986,115.45886713457742,13330.75,1,2,0,2,7,0,0,0,1.0,60.75,39.25,82.25,0,0,0,0,0,0,0,19,0,41,29200,235,1,32,0,0,0,0,1.4334212113672E15,0.0,1.4334212113672E15,1.4334212113672E15,NeedManualLabel
10.8.8.130-207.241.224.2-55780-80-6,10.8.8.130,55780,207.241.224.2,80,6,04/06/2015 09:33:31 AM,1581848,5,4,337.0,368.0,175.0,0.0,67.4,92.40562753425789,368.0,0.0,92.0,184.0,445.6812538246406,5.689547921165624,197731.0,258546.90996026233,750285.0,15.0,1337424.0,334356.0,310040.7042921945,750285.0,139.0,1301423.0,433807.6666666667,502200.7258620136,994724.0,25932.0,0,0,0,0,168,136,3.1608599562031245,2.5286879649625,0.0,368.0,70.5,125.87052430529114,15843.388888888889,1,2,0,3,8,0,0,0,0.0,78.33333333333333,67.4,92.0,0,0,0,0,0,0,0,37,0,40,29200,235,2,32,0,0,0,0,1.433421211366999E15,0.0,1.433421211366999E15,1.433421211366999E15,NeedManualLabel
10.8.8.130-207.241.224.2-55779-80-6,10.8.8.130,55779,207.241.224.2,80,6,04/06/2015 09:33:32 AM,3440,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,581.3953488372093,3440.0,0.0,3440.0,3440.0,3440.0,3440.0,0.0,3440.0,3440.0,0,0,0,0,0,0,0,0,0,64,0,581.3953488372093,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,325,0,0,32,0,0,0,0,1.433421212945821E15,0.0,1.433421212945821E15,1.433421212945821E15,NeedManualLabel
10.8.8.130-207.241.226.111-48935-6969-6,10.8.8.130,48935,207.241.226.111,6969,6,04/06/2015 09:33:32 AM,783820,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.5516062361256413,783820.0,0.0,783820.0,783820.0,783820.0,783820.0,0.0,783820.0,783820.0,0,0,0,0,0,0,0,0,0,64,0,2.5516062361256413,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,2770,0,0,32,0,0,0,0,1.433421212165457E15,0.0,1.433421212165457E15,1.433421212165457E15,NeedManualLabel
10.8.8.130-207.241.239.206-56809-6969-6,10.8.8.130,56809,207.241.239.206,6969,6,04/06/2015 09:33:32 AM,805758,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.4821348345284813,805758.0,0.0,805758.0,805758.0,805758.0,805758.0,0.0,805758.0,805758.0,0,0,0,0,0,0,0,0,0,64,0,2.4821348345284813,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,2770,0,0,32,0,0,0,0,1.433421212143538E15,0.0,1.433421212143538E15,1.433421212143538E15,NeedManualLabel
