Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-216.58.219.238-48026-443-6,131.202.240.150,48026,216.58.219.238,443,6,01/04/2015 01:31:18 PM,27006970,96,116,3323.0,201993.0,592.0,0.0,34.614583333333336,88.46770089064823,5352.0,0.0,1741.3189655172416,1442.2204957099575,7602.333767912506,7.849825433952791,127995.11848341236,1333742.4968214354,1.6747022E7,2.0,2.6981484E7,284015.62105263147,1991626.6065922217,1.6813073E7,7.0,2.6980988E7,234617.28695652186,1806530.4705795962,1.6772532E7,2.0,0,0,0,0,3080,3720,3.554637932355981,4.29518750159681,0.0,5352.0,963.9248826291084,1363.0632482974022,1857941.4188590655,0,2,0,79,211,0,0,0,1.0,968.4716981132076,34.614583333333336,1741.3189655172414,0,0,0,68438,44,818197,0,15,0,952,29200,360,32,32,170610.0,27990.114826488298,190402.0,150818.0,4.759686351780304E14,8.244018359248769E14,1.427905878961329E15,9825740.0,NeedManualLabel
131.202.240.150-131.202.244.3-60500-53-17,131.202.240.150,60500,131.202.244.3,53,17,01/04/2015 01:31:09 PM,475,1,1,31.0,378.0,31.0,31.0,31.0,0.0,378.0,378.0,378.0,0.0,861052.6315789474,4210.526315789473,475.0,0.0,475.0,475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2105.2631578947367,2105.2631578947367,31.0,378.0,146.66666666666669,200.34054340880016,40136.333333333336,0,0,0,0,0,0,0,0,1.0,220.0,31.0,378.0,0,0,0,0,0,0,0,15,0,189,0,0,0,8,0,0,0,0,1.427905869953788E15,0.0,1.427905869953788E15,1.427905869953788E15,NeedManualLabel
131.202.240.150-131.202.244.5-34102-53-17,131.202.240.150,34102,131.202.244.5,53,17,01/04/2015 01:31:45 PM,39695,1,1,29.0,213.0,29.0,29.0,29.0,0.0,213.0,213.0,213.0,0.0,6096.485703489104,50.38417936767855,39695.0,0.0,39695.0,39695.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,25.192089683839274,25.192089683839274,29.0,213.0,90.33333333333334,106.23244953089115,11285.333333333334,0,0,0,0,0,0,0,0,1.0,135.5,29.0,213.0,0,0,0,0,0,0,0,14,0,106,0,0,0,8,0,0,0,0,1.42790590599961E15,0.0,1.42790590599961E15,1.42790590599961E15,NeedManualLabel
131.202.240.150-131.202.244.3-58034-53-17,131.202.240.150,58034,131.202.244.3,53,17,01/04/2015 01:29:54 PM,457,1,1,31.0,378.0,31.0,31.0,31.0,0.0,378.0,378.0,378.0,0.0,894967.1772428884,4376.36761487965,457.0,0.0,457.0,457.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2188.183807439825,2188.183807439825,31.0,378.0,146.66666666666669,200.34054340880016,40136.333333333336,0,0,0,0,0,0,0,0,1.0,220.0,31.0,378.0,0,0,0,0,0,0,0,15,0,189,0,0,0,8,0,0,0,0,1.427905794949623E15,0.0,1.427905794949623E15,1.427905794949623E15,NeedManualLabel
131.202.240.150-131.202.244.5-43876-53-17,131.202.240.150,43876,131.202.244.5,53,17,01/04/2015 01:29:30 PM,216,1,1,29.0,210.0,29.0,29.0,29.0,0.0,210.0,210.0,210.0,0.0,1106481.4814814816,9259.25925925926,216.0,0.0,216.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4629.62962962963,4629.62962962963,29.0,210.0,89.33333333333334,104.50039872332226,10920.333333333334,0,0,0,0,0,0,0,0,1.0,134.0,29.0,210.0,0,0,0,0,0,0,0,14,0,105,0,0,0,8,0,0,0,0,1.427905770123544E15,0.0,1.427905770123544E15,1.427905770123544E15,NeedManualLabel
131.202.240.150-131.202.244.5-49928-53-17,131.202.240.150,49928,131.202.244.5,53,17,01/04/2015 01:29:29 PM,426,1,1,33.0,219.0,33.0,33.0,33.0,0.0,219.0,219.0,219.0,0.0,591549.2957746478,4694.835680751174,426.0,0.0,426.0,426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2347.417840375587,2347.417840375587,33.0,219.0,95.0,107.38715006927039,11532.0,0,0,0,0,0,0,0,0,1.0,142.5,33.0,219.0,0,0,0,0,0,0,0,16,0,109,0,0,0,8,0,0,0,0,1.427905769641127E15,0.0,1.427905769641127E15,1.427905769641127E15,NeedManualLabel
199.212.24.175-131.202.240.150-443-58977-6,199.212.24.175,443,131.202.240.150,58977,6,01/04/2015 01:29:31 PM,161406,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.977782734223016,40351.5,48639.29101388438,109040.0,20.0,161406.0,53802.0,49632.992293433206,109040.0,12954.0,0,0,0,0,0,0,0,0,0,116,32,24.782226187378413,6.195556546844603,0.0,0.0,0.0,0.0,0.0,0,0,2,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,254,24576,0,20,0,0,0,0,1.427905771662153E15,0.0,1.427905771662153E15,1.427905771662153E15,NeedManualLabel
131.202.240.150-131.202.6.3-4924-53-17,131.202.240.150,4924,131.202.6.3,53,17,01/04/2015 01:31:35 PM,92453,1,1,30.0,371.0,30.0,30.0,30.0,0.0,371.0,371.0,371.0,0.0,4337.338972234541,21.632613327853072,92453.0,0.0,92453.0,92453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.816306663926536,10.816306663926536,30.0,371.0,143.66666666666669,196.8764417936624,38760.333333333336,0,0,0,0,0,0,0,0,1.0,215.5,30.0,371.0,0,0,0,0,0,0,0,15,0,185,0,0,0,8,0,0,0,0,1.427905895893984E15,0.0,1.427905895893984E15,1.427905895893984E15,NeedManualLabel
131.202.240.150-131.202.244.5-58034-53-17,131.202.240.150,58034,131.202.244.5,53,17,01/04/2015 01:29:54 PM,392,1,1,31.0,218.0,31.0,31.0,31.0,0.0,218.0,218.0,218.0,0.0,635204.0816326531,5102.040816326531,392.0,0.0,392.0,392.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2551.0204081632655,2551.0204081632655,31.0,218.0,93.33333333333334,107.96450033846003,11656.333333333334,0,0,0,0,0,0,0,0,1.0,140.0,31.0,218.0,0,0,0,0,0,0,0,15,0,109,0,0,0,8,0,0,0,0,1.427905794949654E15,0.0,1.427905794949654E15,1.427905794949654E15,NeedManualLabel
131.202.240.150-131.202.244.5-32701-53-17,131.202.240.150,32701,131.202.244.5,53,17,01/04/2015 01:30:09 PM,251,1,1,22.0,97.0,22.0,22.0,22.0,0.0,97.0,97.0,97.0,0.0,474103.58565737057,7968.127490039841,251.0,0.0,251.0,251.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3984.0637450199206,3984.0637450199206,22.0,97.0,47.0,43.30127018922193,1875.0,0,0,0,0,0,0,0,0,1.0,70.5,22.0,97.0,0,0,0,0,0,0,0,11,0,48,0,0,0,8,0,0,0,0,1.427905809964151E15,0.0,1.427905809964151E15,1.427905809964151E15,NeedManualLabel
