Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.194.61.240-56124-443-6,131.202.240.150,56124,173.194.61.240,443,6,01/04/2015 01:33:46 PM,310445,233,382,1307.0,1058389.0,766.0,0.0,5.609442060085839,56.104791854920144,6690.0,0.0,2770.6518324607327,1426.424915151929,3413474.206381162,1981.0272350980042,505.61074918566766,2791.352746708372,28287.0,2.0,310445.0,1338.124999999999,4726.623640216704,33829.0,16.0,261958.0,687.5538057742779,3247.35258737061,35209.0,3.0,0,0,0,0,7464,12232,750.5355215899756,1230.4917135080286,0.0,6690.0,1720.2857142857133,1750.9120892411684,3065693.144250873,1,2,0,16,614,0,0,0,1.0,1723.0829268292682,5.609442060085837,2770.651832460733,0,0,0,1059696,383,4049896,0,2,0,1720,29200,255,3,32,0,0,0,0,1.427906026834778E15,0.0,1.427906026834778E15,1.427906026834778E15,NeedManualLabel
173.194.61.240-131.202.240.150-443-56124-6,173.194.61.240,443,131.202.240.150,56124,6,01/04/2015 01:33:47 PM,13331,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,150.02625459455405,13331.0,0.0,13331.0,13331.0,13331.0,13331.0,0.0,13331.0,13331.0,0,0,0,0,0,0,0,0,0,64,0,150.02625459455405,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,255,0,0,32,0,0,0,0,1.427906027210905E15,0.0,1.427906027210905E15,1.427906027210905E15,NeedManualLabel
152.163.66.131-131.202.240.150-80-60570-6,152.163.66.131,80,131.202.240.150,60570,6,01/04/2015 01:33:47 PM,2699052,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1115013715926925,1349526.0,1853946.2990302604,2660464.0,38588.0,0,0,0,0,0,2660464.0,2660464.0,0.0,2660464.0,2660464.0,0,0,0,0,20,40,0.3705004571975642,0.7410009143951284,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1023,298,0,20,0,0,0,0,1.427906027678244E15,0.0,1.427906027678244E15,1.427906027678244E15,NeedManualLabel
23.92.189.52-131.202.240.150-80-41224-6,23.92.189.52,80,131.202.240.150,41224,6,01/04/2015 01:33:43 PM,7058628,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4250117728261073,3529314.0,4937242.99198733,7020472.0,38156.0,0,0,0,0,0,7020472.0,7020472.0,0.0,7020472.0,7020472.0,0,0,0,0,32,64,0.14167059094203577,0.28334118188407154,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,121,237,0,32,38156.0,0.0,38156.0,38156.0,7.139530151696065E14,1.0096820270215749E15,1.427906023318741E15,7020472.0,NeedManualLabel
64.94.107.31-131.202.240.150-80-58005-6,64.94.107.31,80,131.202.240.150,58005,6,01/04/2015 01:33:42 PM,7604164,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39452068629766535,3802082.0,5371801.121219772,7600519.0,3645.0,0,0,0,0,0,7600519.0,7600519.0,0.0,7600519.0,7600519.0,0,0,0,0,20,40,0.13150689543255512,0.26301379086511023,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,115,229,0,20,3645.0,0.0,3645.0,3645.0,7.139530151868685E14,1.0096820262256766E15,1.427906022773218E15,7600519.0,NeedManualLabel
64.94.107.31-131.202.240.150-80-58007-6,64.94.107.31,80,131.202.240.150,58007,6,01/04/2015 01:33:42 PM,7604149,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945214645320601,3802074.5,5371807.485180803,7600516.0,3633.0,0,0,0,0,0,7600516.0,7600516.0,0.0,7600516.0,7600516.0,0,0,0,0,20,40,0.13150715484402004,0.26301430968804007,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,115,229,0,20,3633.0,0.0,3633.0,3633.0,7.13953015186879E14,1.0096820262256958E15,1.427906022773242E15,7600516.0,NeedManualLabel
64.94.107.31-131.202.240.150-80-58002-6,64.94.107.31,80,131.202.240.150,58002,6,01/04/2015 01:33:42 PM,7604228,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39451736586541064,3802114.0,5371864.760830079,7600596.0,3632.0,0,0,0,0,0,7600596.0,7600596.0,0.0,7600596.0,7600596.0,0,0,0,0,20,40,0.13150578862180357,0.26301157724360713,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,115,229,0,20,3632.0,0.0,3632.0,3632.0,7.139530151869205E14,1.0096820262256414E15,1.427906022773245E15,7600596.0,NeedManualLabel
64.94.107.31-131.202.240.150-80-58004-6,64.94.107.31,80,131.202.240.150,58004,6,01/04/2015 01:33:42 PM,7603748,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945422704697736,3801874.0,5372222.55686136,7600609.0,3139.0,0,0,0,0,0,7600609.0,7600609.0,0.0,7600609.0,7600609.0,0,0,0,0,20,40,0.13151409015659118,0.26302818031318237,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,115,229,0,20,3139.0,0.0,3139.0,3139.0,7.139530151871745E14,1.0096820262259821E15,1.42790602277374E15,7600609.0,NeedManualLabel
131.202.240.150-173.194.123.109-42456-80-6,131.202.240.150,42456,173.194.123.109,80,6,01/04/2015 01:33:50 PM,25107,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.65905922651054,25107.0,0.0,25107.0,25107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.82952961325527,39.82952961325527,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,229,333,0,32,0,0,0,0,1.427906030377348E15,0.0,1.427906030377348E15,1.427906030377348E15,NeedManualLabel
131.202.240.150-173.194.123.109-42455-80-6,131.202.240.150,42455,173.194.123.109,80,6,01/04/2015 01:33:50 PM,25210,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.33359777865927,25210.0,0.0,25210.0,25210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.666798889329634,39.666798889329634,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,229,333,0,32,0,0,0,0,1.42790603037734E15,0.0,1.42790603037734E15,1.42790603037734E15,NeedManualLabel
