Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.8-208.67.222.222-55645-53-17,192.168.0.8,55645,208.67.222.222,53,17,29/12/2020 10:09:01 PM,39218,1,1,35.0,63.0,35.0,35.0,35.0,0.0,63.0,63.0,63.0,0.0,2498.8525676985055,50.99699117752052,39218.0,0.0,39218.0,39218.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,25.49849558876026,25.49849558876026,35.0,63.0,44.333333333333336,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,1.0,66.5,35.0,63.0,0,0,0,0,0,0,0,17,0,31,0,0,0,8,0,0,0,0,1.609290541712896E15,0.0,1.609290541712896E15,1.609290541712896E15,NeedManualLabel
192.168.0.8-208.67.222.222-50372-53-17,192.168.0.8,50372,208.67.222.222,53,17,29/12/2020 10:09:12 PM,35871,1,1,35.0,51.0,35.0,35.0,35.0,0.0,51.0,51.0,51.0,0.0,2397.479858381422,55.755345543754004,35871.0,0.0,35871.0,35871.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,27.877672771877002,27.877672771877002,35.0,51.0,40.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,60.5,35.0,51.0,0,0,0,0,0,0,0,17,0,25,0,0,0,8,0,0,0,0,1.60929055224314E15,0.0,1.60929055224314E15,1.60929055224314E15,NeedManualLabel
134.221.96.10-205.159.0.20-0-0-0,134.221.96.10,0,205.159.0.20,0,0,29/12/2020 10:08:44 PM,30151288,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.09949823702390424,1.5075644E7,1708459.0788011283,1.6283707E7,1.3867581E7,3.0151288E7,1.5075644E7,1708459.0788011283,1.6283707E7,1.3867581E7,0,0,0,0,0,0,0,0,0,0,0,0.09949823702390424,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.36430184907847E14,9.291243088621771E14,1.609290524572253E15,1.3867581E7,NeedManualLabel
136.153.35.248-78.144.64.173-0-0-0,136.153.35.248,0,78.144.64.173,0,0,29/12/2020 10:09:10 PM,5999994,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.666667333334,1999998.0,43.86342439892262,2000030.0,1999948.0,5999994.0,1999998.0,43.86342439892262,2000030.0,1999948.0,0,0,0,0,0,0,0,0,0,0,0,0.666667333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.609290550087202E15,0.0,1.609290550087202E15,1.609290550087202E15,NeedManualLabel
192.168.0.8-34.237.73.95-50632-443-6,192.168.0.8,50632,34.237.73.95,443,6,29/12/2020 10:08:55 PM,19020612,3,2,288.0,357.0,288.0,0.0,96.0,166.27687752661222,325.0,32.0,178.5,207.18228688765842,33.91058079519208,0.2628727193425743,4755153.0,9397141.872475943,1.8850353E7,73.0,1.9020612E7,9510306.0,1.3208925792405754E7,1.8850427E7,170185.0,1.8850426E7,1.8850426E7,0.0,1.8850426E7,1.8850426E7,1,0,0,0,96,64,0.15772363160554456,0.1051490877370297,0.0,325.0,155.5,159.65932481380472,25491.1,0,0,0,3,5,0,0,0,0.0,186.6,96.0,178.5,0,0,0,0,0,0,0,57,0,71,3126,974,0,32,170185.0,0.0,170185.0,170185.0,8.04645277013601E14,1.1379402369936658E15,1.609290535176849E15,1.8850353E7,NeedManualLabel
136.153.35.54-215.211.190.42-0-0-0,136.153.35.54,0,215.211.190.42,0,0,29/12/2020 10:08:46 PM,6000018,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6666646666726667,2000006.0,23.515952032609693,2000030.0,1999983.0,6000018.0,2000006.0,23.515952032609693,2000030.0,1999983.0,0,0,0,0,0,0,0,0,0,0,0,0.6666646666726667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.609290526087345E15,0.0,1.609290526087345E15,1.609290526087345E15,NeedManualLabel
95.217.163.246-192.168.0.8-80-39510-6,95.217.163.246,80,192.168.0.8,39510,6,29/12/2020 10:09:12 PM,256107,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.713853975096347,128053.5,181082.26848728178,256098.0,9.0,256107.0,256107.0,0.0,256107.0,256107.0,0,0,0,0,0,0,0,0,0,64,32,7.809235983397565,3.9046179916987827,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,509,501,0,32,0,0,0,0,1.609290552789914E15,0.0,1.609290552789914E15,1.609290552789914E15,NeedManualLabel
134.221.96.1-19.154.0.44-0-0-0,134.221.96.1,0,19.154.0.44,0,0,29/12/2020 10:08:45 PM,22241575,352,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,15.82621734297144,63366.31054131049,625660.186141973,1.0802263E7,6.0,2.2241575E7,63366.31054131049,625660.186141973,1.0802263E7,6.0,0,0,0,0,0,0,0,0,0,0,0,15.82621734297144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36541.0,0.0,36541.0,36541.0,8.04645267936431E14,1.1379402355383268E15,1.609290525070599E15,1.0802263E7,NeedManualLabel
192.168.0.8-208.67.222.222-41588-53-17,192.168.0.8,41588,208.67.222.222,53,17,29/12/2020 10:09:05 PM,37197,1,1,35.0,51.0,35.0,35.0,35.0,0.0,51.0,51.0,51.0,0.0,2312.0144097642283,53.76777697126112,37197.0,0.0,37197.0,37197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,26.88388848563056,26.88388848563056,35.0,51.0,40.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,60.5,35.0,51.0,0,0,0,0,0,0,0,17,0,25,0,0,0,8,0,0,0,0,1.609290545714741E15,0.0,1.609290545714741E15,1.609290545714741E15,NeedManualLabel
134.221.96.10-77.91.0.67-0-0-0,134.221.96.10,0,77.91.0.67,0,0,29/12/2020 10:08:37 PM,17046140,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11732861515862242,1.704614E7,0.0,1.704614E7,1.704614E7,1.704614E7,1.704614E7,0.0,1.704614E7,1.704614E7,0,0,0,0,0,0,0,0,0,0,0,0.11732861515862242,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.046452674308125E14,1.1379402259930988E15,1.609290517815485E15,1.704614E7,NeedManualLabel
134.221.96.10-77.91.0.32-0-0-0,134.221.96.10,0,77.91.0.32,0,0,29/12/2020 10:08:37 PM,8078641,194,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,24.013939968368444,41858.24352331607,311328.02066029666,3101372.0,18.0,8078641.0,41858.24352331607,311328.02066029666,3101372.0,18.0,0,0,0,0,0,0,0,0,0,0,0,24.013939968368444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.609290517851633E15,0.0,1.609290517851633E15,1.609290517851633E15,NeedManualLabel
192.168.0.8-189.7.129.32-51792-1194-6,192.168.0.8,51792,189.7.129.32,1194,6,29/12/2020 10:08:46 PM,29845658,15,15,623.0,727.0,177.0,0.0,41.53333333333333,50.98580568111462,359.0,0.0,48.46666666666667,92.00222564595664,45.23271023208803,1.0051713384908452,1029160.6206896552,2857478.923485344,9963980.0,48.0,2.9824003E7,2130285.9285714286,3881962.2376968754,9964040.0,135.0,2.9827292E7,2130520.857142857,3897571.873555575,1.0009781E7,2027.0,1,0,0,0,480,480,0.5025856692454226,0.5025856692454226,0.0,359.0,44.90322580645161,71.94088074648965,5175.4903225806465,0,0,0,15,30,0,0,0,1.0,46.4,41.53333333333333,48.46666666666667,0,0,0,1098,9,1277,0,20,0,24,9683,512,7,32,686275.3333333334,587784.2619331802,1133161.0,20441.0,4.0232263864073775E14,8.046452587714875E14,1.609290526797969E15,8591589.0,NeedManualLabel
134.221.96.1-19.154.5.67-0-0-0,134.221.96.1,0,19.154.5.67,0,0,29/12/2020 10:08:55 PM,11085954,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5412254101000239,2217190.8,702657.0866957082,3165964.0,1480460.0,1.1085954E7,2217190.8,702657.0866957082,3165964.0,1480460.0,0,0,0,0,0,0,0,0,0,0,0,0.5412254101000239,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.609290535871919E15,0.0,1.609290535871919E15,1.609290535871919E15,NeedManualLabel
136.153.35.133-66.96.92.244-0-0-0,136.153.35.133,0,66.96.92.244,0,0,29/12/2020 10:09:02 PM,6000021,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6666643333415,2000007.0,19.974984355438178,2000020.0,1999984.0,6000021.0,2000007.0,19.974984355438178,2000020.0,1999984.0,0,0,0,0,0,0,0,0,0,0,0,0.6666643333415,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.609290542087223E15,0.0,1.609290542087223E15,1.609290542087223E15,NeedManualLabel
134.221.96.10-77.91.0.44-0-0-0,134.221.96.10,0,77.91.0.44,0,0,29/12/2020 10:08:37 PM,8075560,143,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17.707750298431318,56870.14084507044,492763.5188613051,5289776.0,6.0,8075560.0,56870.14084507044,492763.5188613051,5289776.0,6.0,0,0,0,0,0,0,0,0,0,0,0,17.707750298431318,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2697008.0,0.0,2697008.0,2697008.0,8.046452615721315E14,1.137940234333682E15,1.609290517854487E15,5289776.0,NeedManualLabel
134.221.96.10-77.91.0.196-0-0-0,134.221.96.10,0,77.91.0.196,0,0,29/12/2020 10:08:42 PM,592131,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.44407740854642,148032.75,257860.22558532882,534792.0,16287.0,592131.0,148032.75,257860.22558532882,534792.0,16287.0,0,0,0,0,0,0,0,0,0,0,0,8.44407740854642,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.609290522053063E15,0.0,1.609290522053063E15,1.609290522053063E15,NeedManualLabel
134.221.96.1-19.154.0.32-0-0-0,134.221.96.1,0,19.154.0.32,0,0,29/12/2020 10:08:39 PM,37956304,5629,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,148.3021107639985,6744.190476190474,203656.50973633086,1.0016432E7,2.0,3.7956304E7,6744.190476190474,203656.50973633086,1.0016432E7,2.0,0,0,0,0,0,0,0,0,0,0,0,148.3021107639985,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9058319.5,3614705.116688289,1.1614302E7,6502337.0,5.364301798192814E14,9.291243089786504E14,1.609290519618179E15,9823233.0,NeedManualLabel
