Flow Duration,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Flow Bytes/s,Flow Packets/s,Label
10384346,423658,42365.8,71486.4915114892,236044,161,10340693,861724.416666667,2865941.37704872,9960711,100,451493.304347826,2073350.154646,9960688,23,423658,0,423658,423658,713954171090556,1009683657582570,1427908332220424,9960688,1943.79116412338,2.31117106460051,3
10234306,227440,32491.4285714286,40073.4287604523,77146,50,10160395,1270049.375,3530368.43625461,10006872,29,639644.125,2498099.70104058,10006866,3,227440,0,227440,227440,713954171406538,1009683657964130,1427908332806209,10006866,784.029713397274,1.66107990126541,3
10237112,227537,37922.8333333333,41128.1104959451,78896,266,10163153,1451879,3773762.63532587,10009581,11,731222.285714286,2670680.28954069,10009575,4,227537,0,227537,227537,713954171407872,1009683657962180,1427908332806168,10009575,477.576097633786,1.46525699826279,3
10228791,259256,43209.3333333333,48751.6057198803,110280,225,10155018,1692503,4073300.1849029,10006773,245,786830.076923077,2759237.97885595,9969535,3,259256,0,259256,259256,713954171551542,1.00968365822199E+015,1427908333133549,9969535,203.152063621204,1.368685702934,3
10230176,220711,36785.1666666667,39787.1119002959,73480,149,10157415,1451059.28571429,3774062.0850961,10009471,22,730726.857142857,2670778.94331407,10009465,6,220711,0,220711,220711,713954171571387,1009683658193582,1427908333133309,10009465,401.166118745171,1.46625043401013,3
10230429,220954,36825.6666666667,39984.3692643346,73960,149,10157741,1692956.83333333,4074407.90295957,10009487,386,786956.076923077,2771200.34055884,10009475,5,220954,0,220954,220954,713954171571436,1.00968365819364E+015,1427908333133396,10009475,409.953482889134,1.36846656186168,3
10502405,532281,59142.3333333333,67118.2438462152,196371,46,10429645,1158849.44444444,3320313.77506969,10009913,48,552758.157894737,2281075.93895779,9970124,3,532281,0,532281,532281,713954171417319,1009683658031330,1427908332864513,9970124,873.038127933554,1.90432572348905,3
10767472,794654,27401.8620689655,43728.1864825392,159239,19,10693488,267337.2,1580421.86201068,10009192,5,153821.028571429,1190971.93464959,9972818,2,794654,0,794654,794654,713954171389483,1.00968365798816E+015,1427908332806148,9972818,8950.94038786449,6.59393402648273,3
10823020,812956,30109.4814814815,35829.3992621985,112997,7,10748817,358293.9,1823455.73651557,10010087,7,186603.793103448,1312774.90636415,10010064,3,812956,0,812956,812956,713954171407982,1009683657961640,1427908332805899,10010064,6193.65020114534,5.45134352518983,3
10954297,401208,30862.1538461538,36116.1910271237,75234,7,10880323,836947.923076923,2919597.62194831,10553102,17,405714.703703704,2028175.70824197,10553089,3,401208,0,401208,401208,713954171679594,1.00968365757781E+015,1427908332806099,10553089,2827.84007043081,2.55607457055437,3
10968132,438699,39881.7272727273,42766.1848008234,111037,39,10894145,907845.416666667,3042070.29901263,10566923,8,457005.5,2145634.7328519,10529433,1,438699,0,438699,438699,713954171667780,1009683657594560,1427908332806126,10529433,1205.21890145013,2.27933070097989,3
1937190,1937190,1937190,0,1937190,1937190,0,0,0,0,0,1937190,0,1937190,1937190,0,0,0,0,1427908343076833,0,1427908343076833,1427908343076833,0,1.03242325223649,3
1933287,1933287,1933287,0,1933287,1933287,0,0,0,0,0,1933287,0,1933287,1933287,0,0,0,0,1427908343080847,0,1427908343080847,1427908343080847,0,1.03450755112924,3
1217382,1217382,1217382,0,1217382,1217382,0,0,0,0,0,1217382,0,1217382,1217382,0,0,0,0,1427908343796813,0,1427908343796813,1427908343796813,0,1.64286969907556,3
