Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.102-224.0.0.252-61119-5355-17,131.202.240.102,61119,224.0.0.252,5355,17,25/05/2015 02:08:10 PM,417600,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,105.36398467432949,4.7892720306513406,417600.0,0.0,417600.0,417600.0,417600.0,417600.0,0.0,417600.0,417600.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.7892720306513406,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432573690818119.0,0.0,1432573690818119.0,1432573690818119.0,2
131.202.240.242-224.0.0.252-57506-5355-17,131.202.240.242,57506,224.0.0.252,5355,17,29/04/2015 01:32:01 PM,420509,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,104.6350969896007,4.756140772254577,420509.0,0.0,420509.0,420509.0,420509.0,420509.0,0.0,420509.0,420509.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.756140772254577,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1430325121597747.0,0.0,1430325121597747.0,1430325121597747.0,2
131.202.240.242-224.0.0.252-59073-5355-17,131202240242,59073,224.0.0.252,5355,17,29/04/2015 02:09:06 PM,410551,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.17304305677006,4.871501957125911,410551.0,0.0,410551.0,410551.0,410551.0,410551.0,0.0,410551.0,410551.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.871501957125911,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1430327346268685.0,0.0,1430327346268685.0,1430327346268685.0,2
131.202.242.93-224.0.0.252-53869-5355-17,131.202.242.93,53869,224.0.0.252,5355,17,25/05/2015 02:16:02 PM,411546,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,106.91392942708711,4.859724064867597,411546.0,0.0,411546.0,411546.0,411546.0,411546.0,0.0,411546.0,411546.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.859724064867597,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432574162738205.0,0.0,1432574162738205.0,1432574162738205.0,2
131.202.240.242-224.0.0.252-51461-5355-17,131.202.240.242,51461,224.0.0.252,5355,17,29/04/2015 01:49:34 PM,420961,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,104.52274676276426,4.751033943762011,420961.0,0.0,420961.0,420961.0,420961.0,420961.0,0.0,420961.0,420961.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.751033943762011,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1430326174530983.0,0.0,1430326174530983.0,1430326174530983.0,2
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 02:06:36 PM,89862918,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04451224252477535,29954306.0,157918.21600752714,30136653.0,29862548.0,89862918.0,29954306.0,157918.21600752714,30136653.0,29862548.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.04451224252477535,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,357581821580655.0,715163583252698.0,1430327196459702.0,29862548.0,2
131.202.240.242-224.0.0.252-61517-5355-17,131.202.240.242,61517,224.0.0.252,5355,17,29/04/2015 01:47:13 PM,421047,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,104.50139770619431,4.750063532099742,421047.0,0.0,421047.0,421047.0,421047.0,421047.0,0.0,421047.0,421047.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.750063532099742,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1430326033586655.0,0.0,1430326033586655.0,1430326033586655.0,2
131.202.240.83-224.0.0.252-59950-5355-17,131.202.240.83,59950,224.0.0.252,5355,17,25/05/2015 02:18:51 PM,412186,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,106.74792448069563,4.852178385486164,412186.0,0.0,412186.0,412186.0,412186.0,412186.0,0.0,412186.0,412186.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.852178385486164,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432574331146059.0,0.0,1432574331146059.0,1432574331146059.0,2
131.202.240.157-131.202.243.255-137-137-17,131.202.240.157,137,131.202.243.255,137,17,25/05/2015 02:15:22 PM,115940366,60,0,3000.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,25.875371136917057,0.5175074227383412,1965090.9491525432,1758621.5290792624,4512002.0,744311.0,115940366.0,1965090.9491525432,1758621.5290792624,4512002.0,744311.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,480,0,0.5175074227383412,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.83333333333334,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,59,8,0.0,0.0,0.0,0.0,1432574122281919.0,0.0,1432574122281919.0,1432574122281919.0,2
131.202.242.93-224.0.0.252-53636-5355-17,131.202.242.93,53636,224.0.0.252,5355,17,25/05/2015 02:16:30 PM,410491,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.18870815681707,4.872214007128049,410491.0,0.0,410491.0,410491.0,410491.0,410491.0,0.0,410491.0,410491.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.872214007128049,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432574190689790.0,0.0,1432574190689790.0,1432574190689790.0,2
131.202.240.242-224.0.0.252-64672-5355-17,131.202.240.242,64672,224.0.0.252,5355,17,25/05/2015 02:15:35 PM,410759,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.11877280838642,4.8690351276539285,410759.0,0.0,410759.0,410759.0,410759.0,410759.0,0.0,410759.0,410759.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.8690351276539285,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432574135617584.0,0.0,1432574135617584.0,1432574135617584.0,2
131.202.240.242-224.0.0.252-58805-5355-17,131.202.240.242,58805,224.0.0.252,5355,17,25/05/2015 02:14:41 PM,387136,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,113.65514961150605,5.166143164159365,387136.0,0.0,387136.0,387136.0,387136.0,387136.0,0.0,387136.0,387136.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,5.166143164159365,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432574081643628.0,0.0,1432574081643628.0,1432574081643628.0,2
131.202.243.49-224.0.0.252-59951-5355-17,131.202.243.49,59951,224.0.0.252,5355,17,25/05/2015 02:20:52 PM,419206,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,104.96032976627244,4.77092408028511,419206.0,0.0,419206.0,419206.0,419206.0,419206.0,0.0,419206.0,419206.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.77092408028511,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432574452738330.0,0.0,1432574452738330.0,1432574452738330.0,2
131.202.240.65-131.202.243.255-17500-17500-17,131.202.240.65,17500,131.202.243.255,17500,17,25/05/2015 02:17:48 PM,90489178,4,0,504.0,0.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,5.5697268020270885,0.04420418096846896,30163059.33333333,185195.83784289894,30376847.0,30051850.0,90489178.0,30163059.33333333,185195.83784289894,30376847.0,30051850.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,0.04420418096846896,0.0,126.0,126.0,126.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,157.5,126.0,0.0,0,0,0,0,0,0,1,126,0,0,0,0,3,8,0.0,0.0,0.0,0.0,358143589779345.25,716287119232571.9,1432574268628203.0,30051850.0,2
131.202.240.66-224.0.0.252-54888-5355-17,131.202.240.66,54888,224.0.0.252,5355,17,25/05/2015 02:22:07 PM,408653,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.67081117720905,4.894127780782228,408653.0,0.0,408653.0,408653.0,408653.0,408653.0,0.0,408653.0,408653.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.894127780782228,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432574527915303.0,0.0,1432574527915303.0,1432574527915303.0,2
131.202.240.242-224.0.0.252-55977-5355-17,131.202.240.242,55977,224.0.0.252,5355,17,29/04/2015 01:33:53 PM,409435,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.46516541087108,4.8847802459486855,409435.0,0.0,409435.0,409435.0,409435.0,409435.0,0.0,409435.0,409435.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.8847802459486855,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1430325233986175.0,0.0,1430325233986175.0,1430325233986175.0,2
131.202.242.93-224.0.0.252-56673-5355-17,131.202.242.93,56673,224.0.0.252,5355,17,25/05/2015 02:12:46 PM,412110,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,106.76761058940576,4.853073208609351,412110.0,0.0,412110.0,412110.0,412110.0,412110.0,0.0,412110.0,412110.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.853073208609351,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432573966341322.0,0.0,1432573966341322.0,1432573966341322.0,2
131.202.243.21-224.0.0.252-52073-5355-17,131.202.243.21,52073,224.0.0.252,5355,17,25/05/2015 02:12:29 PM,410420,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.20725110862044,4.8730568685736575,410420.0,0.0,410420.0,410420.0,410420.0,410420.0,0.0,410420.0,410420.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.8730568685736575,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432573949153819.0,0.0,1432573949153819.0,1432573949153819.0,2
131.202.243.49-224.0.0.252-56593-5355-17,131.202.243.49,56593,224.0.0.252,5355,17,25/05/2015 02:19:24 PM,411502,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,106.92536123761246,4.860243692618748,411502.0,0.0,411502.0,411502.0,411502.0,411502.0,0.0,411502.0,411502.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.860243692618748,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432574364153769.0,0.0,1432574364153769.0,1432574364153769.0,2
131.202.240.85-224.0.0.252-53020-5355-17,131.202.240.85,53020,224.0.0.252,5355,17,25/05/2015 02:10:43 PM,410221,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.25925781469013,4.875420809758642,410221.0,0.0,410221.0,410221.0,410221.0,410221.0,0.0,410221.0,410221.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.875420809758642,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432573843703279.0,0.0,1432573843703279.0,1432573843703279.0,2
131.202.240.150-131.202.243.255-17500-17500-17,131.202.240.150,17500,131.202.243.255,17500,17,25/05/2015 02:17:37 PM,90244345,4,0,920.0,0.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,10.19454459999682,0.04432410695650792,30081448.33333333,9522.743634758492,30087339.0,30070462.0,90244345.0,30081448.33333333,9522.743634758492,30087339.0,30070462.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,0.04432410695650792,0.0,230.0,230.0,230.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,287.5,230.0,0.0,0,0,0,0,0,0,1,230,0,0,0,0,3,8,0.0,0.0,0.0,0.0,358143586972957.0,716287113783017.4,1432574257647483.0,30070462.0,2
