Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.70-224.0.0.252-62896-5355-17,131.202.240.70,62896,224.0.0.252,5355,17,25/05/2015 01:56:19 PM,417626,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,105.35742506453144,4.78897386656961,417626.0,0.0,417626.0,417626.0,417626.0,417626.0,0.0,417626.0,417626.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.78897386656961,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432572979188304.0,0.0,1432572979188304.0,1432572979188304.0,1
131.202.240.70-224.0.0.252-50097-5355-17,131.202.240.70,50097,224.0.0.252,5355,17,25/05/2015 01:57:43 PM,409855,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.35504019714287,4.879774554415586,409855.0,0.0,409855.0,409855.0,409855.0,409855.0,0.0,409855.0,409855.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.879774554415586,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432573063780816.0,0.0,1432573063780816.0,1432573063780816.0,1
10.0.2.15-157.56.52.13-49539-40011-17,10.0.2.15,49539,157.56.52.13,40011,17,05/06/2015 04:18:16 PM,90133,1,1,141.0,37.0,141.0,141.0,141.0,0.0,37.0,37.0,37.0,0.0,1974.859374479935,22.18943117393185,90133.0,0.0,90133.0,90133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,11.094715586965927,11.094715586965927,37.0,141.0,106.33333333333334,60.04442799572108,3605.333333333333,0,0,0,0,0,0,0,0,1.0,159.5,141.0,37.0,0,0,0,0,0,0,0,70,0,18,0,0,0,8,0.0,0.0,0.0,0.0,1433531896170614.0,0.0,1433531896170614.0,1433531896170614.0,1
131.202.243.49-224.0.0.252-62009-5355-17,131.202.243.49,62009,224.0.0.252,5355,17,25/05/2015 01:58:50 PM,420428,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,104.65525607238337,4.7570570941992445,420428.0,0.0,420428.0,420428.0,420428.0,420428.0,0.0,420428.0,420428.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.7570570941992445,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432573130410364.0,0.0,1432573130410364.0,1432573130410364.0,1
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,05/06/2015 03:37:19 PM,60032315,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033315390219417665,60032315.0,0.0,60032315.0,60032315.0,60032315.0,60032315.0,0.0,60032315.0,60032315.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.033315390219417665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,716764749901273.5,1013658345442826.4,1433529439770232.0,60032315.0,1
10.0.2.15-74.125.207.16-48989-465-6,10.0.2.15,48989,74.125.207.16,465,6,05/06/2015 04:36:21 PM,40,2,0,31.0,0.0,31.0,0.0,15.5,21.92031021678297,0.0,0.0,0.0,0.0,774999.9999999999,49999.99999999999,40.0,0.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,49999.99999999999,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,31088,0,0,20,0.0,0.0,0.0,0.0,1433532981239612.0,0.0,1433532981239612.0,1433532981239612.0,1
131.202.243.49-224.0.0.252-58196-5355-17,131.202.243.49,58196,224.0.0.252,5355,17,25/05/2015 02:01:09 PM,420866,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,104.54634016527822,4.752106371149012,420866.0,0.0,420866.0,420866.0,420866.0,420866.0,0.0,420866.0,420866.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.752106371149012,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1432573269194351.0,0.0,1432573269194351.0,1432573269194351.0,1
131.202.240.183-239.255.255.250-7116-1900-17,131.202.240.183,7116,239.255.255.250,1900,17,25/05/2015 01:55:39 PM,108147083,6,0,1038.0,0.0,173.0,173.0,173.0,0.0,0.0,0.0,0.0,0.0,9.598039736309856,0.055479998475779516,21629416.6,29617075.89618661,54132287.0,178.0,108147083.0,21629416.6,29617075.89618661,54132287.0,178.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0,0.055479998475779516,0.0,173.0,173.0,173.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,201.83333333333331,173.0,0.0,0,0,0,0,0,0,1,173,0,0,0,0,5,8,187.0,12.727922061357855,196.0,178.0,477524349252403.6,827096341098785.2,1432572939610680.0,54014244.0,1
131.202.240.85-131.202.243.255-17500-17500-17,131.202.240.85,17500,131.202.243.255,17500,17,25/05/2015 01:52:49 PM,90365786,4,0,416.0,0.0,104.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,4.60351221866205,0.044264540564058166,30121928.66666667,9082.864819721435,30129652.0,30111922.0,90365786.0,30121928.66666667,9082.864819721435,30129652.0,30111922.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,0.044264540564058166,0.0,104.0,104.0,104.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,130.0,104.0,0.0,0,0,0,0,0,0,1,104,0,0,0,0,3,8,0.0,0.0,0.0,0.0,358143215053678.0,716286369863498.6,1432572769848926.0,30111922.0,1
10.0.2.15-78.46.223.24-63362-53-17,10.0.2.15,63362,78.46.223.24,53,17,05/06/2015 04:34:04 PM,151537,1,1,37.0,228.0,37.0,37.0,37.0,0.0,228.0,228.0,228.0,0.0,1748.7478305628326,13.198096834436473,151537.0,0.0,151537.0,151537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,6.599048417218237,6.599048417218237,37.0,228.0,100.66666666666666,110.27390141521853,12160.333333333332,0,0,0,0,0,0,0,0,1.0,151.0,37.0,228.0,0,0,0,0,0,0,0,18,0,114,0,0,0,8,0.0,0.0,0.0,0.0,1433532844006687.0,0.0,1433532844006687.0,1433532844006687.0,1
