Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
58.107.249.113-131.202.240.87-6881-61009-17,58.107.249.113,6881,131.202.240.87,61009,17,01/05/2015 11:48:19 AM,260,1,1,65.0,68.0,65.0,65.0,65.0,0.0,68.0,68.0,68.0,0.0,511538.46153846156,7692.307692307693,260.0,0.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3846.153846153847,3846.153846153847,65.0,68.0,66.0,1.7320508075688772,3.0,0,0,0,0,0,0,0,0,1.0,99.0,65.0,68.0,0,0,0,0,0,0,0,32,0,34,0,0,0,8,0.0,0.0,0.0,0.0,1430491699616767.0,0.0,1430491699616767.0,1430491699616767.0,4
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,01/05/2015 11:39:12 AM,111999210,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053571806443991885,22399842.0,32814318.71119835,72499601.0,1124.0,111999210.0,22399842.0,32814318.71119835,72499601.0,1124.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.053571806443991885,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2561.5,2032.9319959113238,3999.0,1124.0,476830421429108.6,825894419521330.2,1430491152294808.0,39492917.0,4
131.202.240.150-216.58.219.227-58412-443-6,131.202.240.150,58412,216.58.219.227,443,6,31/03/2015 03:57:31 PM,59803936,3,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,1.0534423687430874,0.11704915208256525,9967322.666666668,18156917.06413241,45030576.0,9.0,59803927.0,29901963.5,21431166.97957684,45056087.0,14747840.0,59778425.0,19926141.666666664,22975374.11590576,45057628.0,92.0,0,0,0,0,96,128,0.050163922321099404,0.06688522976146588,0.0,63.0,7.875,22.273863607376246,496.125,1,0,0,1,7,0,0,0,1.0,9.0,0.0,15.75,0,0,0,0,0,0,0,0,0,9,237,350,0,32,26281.5,1089.6515498084698,27052.0,25511.0,475942770560543.6,824357008359831.4,1427828251930350.0,14720705.0,4
131.202.240.150-54.243.198.236-50599-80-6,131.202.240.150,50599,54.243.198.236,80,6,31/03/2015 03:33:04 PM,50055969,8,8,66.0,6.0,11.0,0.0,8.25,5.092010548749033,3.0,0.0,0.75,1.3887301496588271,1.4383898951192016,0.3196421989153781,3337064.6,4340300.742839516,9945705.0,78.0,50000506.0,7142929.428571429,3613728.4702993324,10000329.0,876115.0,50001086.0,7143012.285714286,3597589.8817647686,10001140.0,930817.0,1,0,0,0,160,160,0.15982109945768905,0.15982109945768905,0.0,11.0,4.882352941176472,5.360531141374619,28.735294117647058,0,0,0,8,16,0,0,0,1.0,5.1875,8.25,0.75,0,0,0,0,0,0,0,4,0,0,245,40,5,20,1046976.0,1769406.9414298113,4138654.0,54883.0,237971138248819.7,582907840288333.1,1427826784727292.0,5861720.0,4
131.202.240.87-157.56.144.215-63035-3544-17,131.202.240.87,63035,157.56.144.215,3544,17,01/05/2015 01:24:41 PM,70962592,3,3,183.0,327.0,61.0,61.0,61.0,0.0,109.0,109.0,109.0,0.0,7.186885169019757,0.08455159022376184,14192518.4,19579182.250829447,39466018.0,45973.0,70916441.0,35458220.5,5742194.259807004,39518565.0,31397876.0,70910045.0,35455022.5,5737419.874820433,39511991.0,31398054.0,0,0,0,0,24,24,0.04227579511188092,0.04227579511188092,61.0,109.0,81.57142857142857,25.657079223592746,658.2857142857142,0,0,0,0,0,0,0,0,1.0,95.16666666666669,61.0,109.0,0,0,0,0,0,0,0,30,0,54,0,0,2,8,49260.0,4648.519979520363,52547.0,45973.0,476832517351944.0,825898085424416.8,1430497481237911.0,31351903.0,4
131.202.240.87-109.124.54.128-61009-50741-17,131.202.240.87,61009,109.124.54.128,50741,17,01/05/2015 11:37:49 AM,65613791,2,0,206.0,0.0,103.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,3.1395838719332643,0.030481396814886062,65613791.0,0.0,65613791.0,65613791.0,65613791.0,65613791.0,0.0,65613791.0,65613791.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0.030481396814886062,0.0,103.0,103.0,103.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,154.5,103.0,0.0,0,0,0,0,0,0,1,103,0,0,0,0,1,8,0.0,0.0,0.0,0.0,715245567727814.0,1011509889516005.6,1430491069841837.0,65613791.0,4
117.165.152.60-131.202.240.87-8713-61009-17,117.165.152.60,8713,131.202.240.87,61009,17,01/05/2015 11:38:19 AM,327,1,1,101.0,287.0,101.0,101.0,101.0,0.0,287.0,287.0,287.0,0.0,1186544.3425076453,6116.207951070337,327.0,0.0,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3058.1039755351685,3058.1039755351685,101.0,287.0,163.0,107.3871500692704,11532.0,0,0,0,0,0,0,0,0,1.0,244.5,101.0,287.0,0,0,0,0,0,0,0,50,0,143,0,0,0,8,0.0,0.0,0.0,0.0,1430491099385624.0,0.0,1430491099385624.0,1430491099385624.0,4
222.183.229.67-131.202.240.87-1075-61009-17,222.183.229.67,1075,131.202.240.87,61009,17,01/05/2015 01:25:34 PM,261,1,1,115.0,317.0,115.0,115.0,115.0,0.0,317.0,317.0,317.0,0.0,1655172.4137931038,7662.835249042146,261.0,0.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3831.417624521073,3831.417624521073,115.0,317.0,182.3333333333333,116.6247543763044,13601.333333333332,0,0,0,0,0,0,0,0,1.0,273.5,115.0,317.0,0,0,0,0,0,0,0,57,0,158,0,0,0,8,0.0,0.0,0.0,0.0,1430497534332515.0,0.0,1430497534332515.0,1430497534332515.0,4
131.202.240.87-109.225.3.136-61009-8621-17,131.202.240.87,61009,109.225.3.136,8621,17,01/05/2015 11:42:03 AM,63914376,2,0,206.0,0.0,103.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,3.2230620541456902,0.031291864603356215,63914376.0,0.0,63914376.0,63914376.0,63914376.0,63914376.0,0.0,63914376.0,63914376.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0.031291864603356215,0.0,103.0,103.0,103.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,154.5,103.0,0.0,0,0,0,0,0,0,1,103,0,0,0,0,1,8,0.0,0.0,0.0,0.0,715245693902080.0,1011510070356699.6,1430491323889784.0,63914376.0,4
173.194.123.37-131.202.240.150-443-57590-6,173.194.123.37,443,131.202.240.150,57590,6,02/04/2015 09:42:40 AM,28,2,0,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0.0,0.0,0.0,0.0,2250000.0,71428.57142857142,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,71428.57142857142,0.0,0.0,63.0,42.0,36.37306695894642,1323.0,1,0,0,1,2,0,0,0,0.0,63.0,31.5,0.0,0,0,0,0,0,0,1,31,0,0,374,0,0,32,0.0,0.0,0.0,0.0,1427978560076573.0,0.0,1427978560076573.0,1427978560076573.0,4
