Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.3-224.0.0.22-0-0-0,192.168.0.3,0,224.0.0.22,0,0,23/11/2020 11:54:41 PM,1009378,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.972127389342744,504689.0,8629.531157600626,510791.0,498587.0,1009378.0,504689.0,8629.531157600626,510791.0,498587.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.972127389342744,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1606186481952218.0,0.0,1606186481952218.0,1606186481952218.0,7
134.221.96.0-0.0.0.24-0-0-0,134.221.96.0,0,0.0.0.24,0,0,24/11/2020 05:43:59 AM,107938343,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09264548372768702,11993149.222222222,11134394.747354016,27859603.0,2719302.0,107938343.0,11993149.222222222,11134394.747354016,27859603.0,2719302.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.09264548372768702,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2719820.25,509.8381279059515,2720504.0,2719302.0,321241506688763.6,718317793413386.5,1606207439104750.0,22159408.0,7
192.168.0.8-189.7.129.32-55794-1194-6,192.168.0.8,55794,189.7.129.32,1194,6,24/11/2020 06:10:39 AM,119150448,30,33,1001.0,1105.0,177.0,0.0,33.36666666666666,39.28014619445136,359.0,0.0,33.48484848484849,64.37493748158188,17.675132870671202,0.5287432910029848,1921781.4193548386,3875023.821938607,10195478.0,27.0,119150448.0,4108636.137931034,4848454.76428872,10216082.0,127.0,119085492.0,3721421.625,4767344.43340842,10216044.0,502.0,1,0,0,0,960,1056,0.25178251952523084,0.2769607714777539,0.0,359.0,33.5625,53.06924945856346,2816.3452380952385,0,0,0,33,63,0,0,0,1.0,34.09523809523809,33.36666666666667,33.484848484848484,0,0,0,1098,9,1381,0,15,0,17,9619,513,16,32,190780.0,398842.06251757435,1243781.0,18101.0,123554550508630.31,445482232081963.0,1606209039812938.0,7524680.0,7
192.168.0.8-189.7.129.32-55794-1194-6,192.168.0.8,55794,189.7.129.32,1194,6,23/11/2020 11:03:49 PM,118466556,29,27,546.0,1366.0,42.0,0.0,18.82758620689655,21.25704751289598,226.0,0.0,50.5925925925926,77.11093869287849,16.13957613488823,0.47270725081262605,2153937.3818181823,2870537.112513515,9026749.0,29.0,118466556.0,4230948.428571429,2736529.647412109,9043574.0,50.0,116012088.0,4462003.384615384,2669412.0350841014,9026749.0,995154.0,1,0,0,0,928,864,0.2447948263136813,0.2279124244989447,0.0,226.0,34.28070175438595,56.91778355850686,3239.634085213033,0,0,0,28,56,0,0,0,0.0,34.892857142857146,18.82758620689655,50.5925925925926,0,0,0,0,0,0,0,9,0,24,513,513,12,32,2046835.3076923075,2093463.7649391568,7478694.0,50.0,114727394057330.95,429270576231040.2,1606183429216939.0,5041736.0,7
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,24/11/2020 05:00:40 AM,95438445,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05238978904151257,23859611.25,1320065.843884407,25839710.0,23199344.0,95438445.0,23859611.25,1320065.843884407,25839710.0,23199344.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.05238978904151257,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,321240987217415.0,718316631225568.2,1606204840648630.0,23199344.0,7
192.168.100.3-239.255.255.250-34183-1900-17,192.168.100.3,34183,239.255.255.250,1900,17,23/11/2020 10:38:13 PM,90079801,12,0,3948.0,0.0,357.0,283.0,329.0,34.23979609115154,0.0,0.0,0.0,0.0,43.82780552545847,0.13321521436309566,8189072.81818182,14025322.11004538,30027843.0,1.0,90079801.0,8189072.81818182,14025322.11004538,30027843.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,0.13321521436309566,0.0,283.0,357.0,325.46153846153845,35.17720707270401,1237.4358974358972,0,0,0,0,0,0,0,0,0.0,352.58333333333326,329.0,0.0,0,0,0,0,0,0,1,329,0,0,0,0,11,8,96.0,15.588457268119896,105.0,78.0,401545495834172.5,803090931615405.6,1606181893257281.0,30023788.0,7
192.168.0.3-224.0.0.251-5353-5353-17,192.168.0.3,5353,224.0.0.251,5353,17,24/11/2020 12:21:56 AM,117611771,8,0,224.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.9045712694862829,0.06802040248165296,16801681.57142857,43566278.28282515,115594843.0,194.0,117611771.0,16801681.57142857,43566278.28282515,115594843.0,194.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,0.06802040248165296,0.0,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,31.5,28.0,0.0,0,0,0,0,0,0,1,28,0,0,0,0,7,8,1005440.0,0.0,1005440.0,1005440.0,803094115846583.5,1135746427016473.2,1606188116098324.0,115594843.0,7
192.168.0.8-138.201.81.199-32818-80-6,192.168.0.8,32818,138.201.81.199,80,6,24/11/2020 03:22:15 AM,486,3,1,0.0,203.0,0.0,0.0,0.0,0.0,203.0,203.0,203.0,0.0,417695.4732510288,8230.45267489712,162.0,165.75584454250773,347.0,27.0,486.0,243.0,185.26197667087544,374.0,112.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,108,32,6172.83950617284,2057.61316872428,0.0,203.0,40.6,90.78435988649146,8241.8,1,0,0,1,4,0,0,0,0.0,50.75,0.0,203.0,0,0,0,0,0,0,0,0,0,50,502,509,0,32,0.0,0.0,0.0,0.0,1606198935368456.0,0.0,1606198935368456.0,1606198935368456.0,7
192.168.100.3-239.255.255.250-34183-1900-17,192.168.100.3,34183,239.255.255.250,1900,17,24/11/2020 03:45:26 AM,90083850,12,0,3948.0,0.0,357.0,283.0,329.0,34.23979609115154,0.0,0.0,0.0,0.0,43.82583559650259,0.13320922673708996,8189440.90909091,14025928.736593267,30027857.0,26.0,90083850.0,8189440.90909091,14025928.736593267,30027857.0,26.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,0.13320922673708996,0.0,283.0,357.0,325.46153846153845,35.17720707270401,1237.4358974358972,0,0,0,0,0,0,0,0,0.0,352.58333333333326,329.0,0.0,0,0,0,0,0,0,1,329,0,0,0,0,11,8,146.33333333333334,119.39988833048938,284.0,71.0,401550104192050.3,803100148328535.9,1606200326684854.0,30027644.0,7
192.168.0.8-189.7.129.32-55794-1194-6,192.168.0.8,55794,189.7.129.32,1194,6,24/11/2020 06:33:22 AM,117930650,34,32,546.0,2444.0,42.0,0.0,16.058823529411768,20.717349158368034,225.0,0.0,76.37499999999999,90.4446899241955,25.353883829182656,0.5596509474000185,1814317.6923076925,2808713.8233456826,8377614.0,28.0,117913413.0,3573133.727272727,3055023.58219268,8377614.0,65.0,110842431.0,3575562.29032258,3028999.449154646,8399450.0,15247.0,1,0,0,0,1088,1024,0.2883050335091005,0.2713459138909181,0.0,225.0,45.25373134328357,70.46756040334768,4965.677069199455,0,0,0,33,66,0,0,0,0.0,45.93939393939394,16.058823529411768,76.375,0,0,0,1208,8,394,0,8,0,37,513,512,12,32,2553323.166666666,966250.0530653008,3261513.0,65.0,123554653056991.88,445482610696713.9,1606210402467359.0,5065811.0,7
