Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-207.241.227.82-4392-80-6,131.202.240.87,4392,207.241.227.82,80,6,01/04/2015 11:25:15 AM,2193227,399,853,375.0,1147870.0,190.0,0.0,0.9398496240601502,13.259353045809233,1350.0,0.0,1345.685814771395,73.39458441566252,523541.3388582213,570.8483435595131,1753.1790567545956,9993.477411667729,99984.0,13.0,2101197.0,5279.389447236184,16963.149394999353,100013.0,64.0,2093422.0,2457.0680751173722,12689.94907700692,189495.0,22.0,0,0,0,0,7992,17072,181.92371332288,388.92463023663316,0.0,1350.0,916.3966480446929,630.1049381807335,397032.2331197459,0,2,1,32,1251,0,0,0,2.0,917.1285942492012,0.9398496240601504,1345.6858147713954,0,0,0,1148245,853,573001,0,0,0,916,8192,245,2,20,0.0,0.0,0.0,0.0,1427898315593669.0,0.0,1427898315593669.0,1427898315593669.0,6
83.238.209.223-131.202.240.87-27032-61009-17,83238209223,27032,131.202.240.87,61009,17,01/04/2015 11:24:21 AM,254,1,1,101.0,287.0,101.0,101.0,101.0,0.0,287.0,287.0,287.0,0.0,1527559.0551181103,7874.0157480314965,254.0,0.0,254.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3937.0078740157483,3937.0078740157483,101.0,287.0,163.0,107.3871500692704,11532.0,0,0,0,0,0,0,0,0,1.0,244.5,101.0,287.0,0,0,0,0,0,0,0,50,0,143,0,0,0,8,0.0,0.0,0.0,0.0,1427898261950330.0,0.0,1427898261950330.0,1427898261950330.0,6
131.202.240.87-131.202.244.3-57709-53-17,131.202.240.87,57709,131.202.244.3,53,17,01/04/2015 11:23:32 AM,126650,1,1,41.0,92.0,41.0,41.0,41.0,0.0,92.0,92.0,92.0,0.0,1050.1381760757993,15.791551519936831,126650.0,0.0,126650.0,126650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,7.895775759968416,7.895775759968416,41.0,92.0,58.0,29.44486372867091,867.0,0,0,0,0,0,0,0,0,1.0,87.0,41.0,92.0,0,0,0,0,0,0,0,20,0,46,0,0,0,8,0.0,0.0,0.0,0.0,1427898212671279.0,0.0,1427898212671279.0,1427898212671279.0,6
131.202.240.87-131.202.244.5-57904-53-17,131.202.240.87,57904,131.202.244.5,53,17,01/04/2015 11:23:10 AM,94668,1,1,37.0,224.0,37.0,37.0,37.0,0.0,224.0,224.0,224.0,0.0,2757.0034224870074,21.126463007563274,94668.0,0.0,94668.0,94668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,10.563231503781637,10.563231503781637,37.0,224.0,99.33333333333334,107.96450033846004,11656.333333333336,0,0,0,0,0,0,0,0,1.0,149.0,37.0,224.0,0,0,0,0,0,0,0,18,0,112,0,0,0,8,0.0,0.0,0.0,0.0,1427898190768704.0,0.0,1427898190768704.0,1427898190768704.0,6
131.202.240.87-131.202.244.3-61522-53-17,131.202.240.87,61522,131.202.244.3,53,17,01/04/2015 11:24:15 AM,99054,1,1,41.0,92.0,41.0,41.0,41.0,0.0,92.0,92.0,92.0,0.0,1342.7019605467724,20.19100692551537,99054.0,0.0,99054.0,99054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,10.095503462757687,10.095503462757687,41.0,92.0,58.0,29.44486372867091,867.0,0,0,0,0,0,0,0,0,1.0,87.0,41.0,92.0,0,0,0,0,0,0,0,20,0,46,0,0,0,8,0.0,0.0,0.0,0.0,1427898255549856.0,0.0,1427898255549856.0,1427898255549856.0,6
10.8.8.130-207.241.224.2-51280-443-6,10.8.8.130,51280,207.241.224.2,443,6,04/06/2015 09:34:42 AM,61269,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,505.9654964174378,48.96440287910689,30634.5,8774.488047743867,36839.0,24430.0,61269.0,30634.5,8774.488047743867,36839.0,24430.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,48.96440287910689,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,1012,0,1,32,0.0,0.0,0.0,0.0,1433421282609654.0,0.0,1433421282609654.0,1433421282609654.0,6
10.8.8.130-207.241.237.128-47774-80-6,10.8.8.130,47774,207.241.237.128,80,6,04/06/2015 09:35:33 AM,13485793,984,1611,906.0,2095358.0,229.0,0.0,0.9207317073170715,14.41972965522506,1308.0,0.0,1300.656734947234,85.56085762067978,155442.3977885468,192.42472430060286,5198.840786430227,34518.32236612251,678565.0,-18.0,12807228.0,13028.716174974561,51297.24974210289,290223.0,0.0,13214552.0,8207.796273291926,44819.42051411828,717879.0,0.0,0,0,0,0,34896,51560,72.96567580415925,119.45904849644363,0.0,1308.0,807.4976887519243,634.4644551814401,402545.1448886817,1,2,0,46,2594,0,0,0,1.0,807.8088631984585,0.9207317073170732,1300.6567349472375,0,0,0,2096264,1612,168230,0,0,0,807,29200,260,4,32,0.0,0.0,0.0,0.0,1433421333266160.0,0.0,1433421333266160.0,1433421333266160.0,6
131.202.240.87-131.202.6.26-4679-13111-6,131.202.240.87,4679,131.202.6.26,13111,6,01/04/2015 11:29:16 AM,300573,4,3,333.0,195.0,333.0,0.0,83.25,166.5,195.0,0.0,65.0,112.58330249197702,1756.6448084159256,23.288851626726288,50095.5,74240.12811074614,171906.0,86.0,300573.0,100191.0,160854.94085044455,285811.0,1617.0,298664.0,149332.0,31924.45695701025,171906.0,126758.0,0,0,0,0,92,72,13.307915215272164,9.980936411454124,0.0,333.0,65.99999999999999,127.65242989125923,16295.142857142857,1,2,0,2,6,0,0,0,0.0,75.42857142857143,83.25,65.0,0,0,0,0,0,0,0,47,0,27,8192,516,1,20,0.0,0.0,0.0,0.0,1427898556486572.0,0.0,1427898556486572.0,1427898556486572.0,6
131.202.240.87-207.241.227.82-4423-80-6,131.202.240.87,4423,207.241.227.82,80,6,01/04/2015 11:25:29 AM,109847,3,1,0.0,1350.0,0.0,0.0,0.0,0.0,1350.0,1350.0,1350.0,0.0,12289.821296894774,36.414285324132656,36615.66666666666,54178.80011898873,98866.0,104.0,109847.0,54923.5,62291.157675066526,98970.0,10877.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,20,27.31071399309949,9.103571331033164,0.0,1350.0,270.0,603.7383539249432,364500.0,1,0,0,0,4,0,0,0,0.0,337.5,0.0,1350.0,0,0,0,0,0,0,0,0,0,337,65475,237,0,20,0.0,0.0,0.0,0.0,1427898329258265.0,0.0,1427898329258265.0,1427898329258265.0,6
131.202.240.87-207.241.224.2-4543-80-6,131.202.240.87,4543,207.241.224.2,80,6,01/04/2015 11:26:23 AM,2735,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.2614259597806,2735.0,0.0,2735.0,2735.0,2735.0,2735.0,0.0,2735.0,2735.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,731.2614259597806,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16448,0,0,20,0.0,0.0,0.0,0.0,1427898383541454.0,0.0,1427898383541454.0,1427898383541454.0,6
131.202.240.87-213.167.218.143-61009-6881-17,131.202.240.87,61009,213167218143,6881,17,01/04/2015 11:23:33 AM,11867048,2,1,282.0,346.0,176.0,106.0,141.0,49.49747468305833,346.0,346.0,346.0,0.0,52.91964775064531,0.2528008650508534,5933524.0,7696947.822883561,11376088.0,490960.0,11867048.0,11867048.0,0.0,11867048.0,11867048.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,8,0.16853391003390228,0.08426695501695114,106.0,346.0,183.5,113.24751652906124,12825.0,0,0,0,0,0,0,0,0,0.0,244.66666666666663,141.0,346.0,0,0,0,0,0,0,0,94,0,115,0,0,1,8,490960.0,0.0,490960.0,490960.0,713949112628786.0,1009676501835647.6,1427898213881484.0,11376088.0,6
131.202.6.26-131.202.240.87-13111-4348-6,131.202.6.26,13111,131.202.240.87,4348,6,01/04/2015 11:25:05 AM,114,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17543.859649122805,114.0,0.0,114.0,114.0,114.0,114.0,0.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,17543.859649122805,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0.0,0.0,0.0,0.0,1427898305017105.0,0.0,1427898305017105.0,1427898305017105.0,6
37.117.69.132-131.202.240.87-18348-61009-17,37.117.69.132,18348,131.202.240.87,61009,17,01/04/2015 11:26:00 AM,63112683,2,2,206.0,578.0,103.0,103.0,103.0,0.0,289.0,289.0,289.0,0.0,12.42222581473838,0.0633787031364203,21037561.0,36437725.28167906,63112222.0,164.0,63112386.0,63112386.0,0.0,63112386.0,63112386.0,63112519.0,63112519.0,0.0,63112519.0,63112519.0,0,0,0,0,16,16,0.03168935156821015,0.03168935156821015,103.0,289.0,177.4,101.87639569596091,10378.8,0,0,0,0,0,0,0,0,1.0,221.75,103.0,289.0,0,0,0,0,0,0,0,51,0,144,0,0,1,8,164.0,0.0,164.0,164.0,713949211836741.5,1009676568970941.4,1427898360561261.0,63112222.0,6
131.202.240.87-178.161.172.47-61009-31657-17,131.202.240.87,61009,178.161.172.47,31657,17,01/04/2015 11:24:19 AM,1076135,1,1,106.0,319.0,106.0,106.0,106.0,0.0,319.0,319.0,319.0,0.0,394.9318626380519,1.8585028830025967,1076135.0,0.0,1076135.0,1076135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,0.9292514415012986,0.9292514415012986,106.0,319.0,177.0,122.97560733739029,15123.0,0,0,0,0,0,0,0,0,1.0,265.5,106.0,319.0,0,0,0,0,0,0,0,53,0,159,0,0,0,8,0.0,0.0,0.0,0.0,1427898259517406.0,0.0,1427898259517406.0,1427898259517406.0,6
207.241.236.176-131.202.240.87-80-4611-6,207241236176,80,131.202.240.87,4611,6,01/04/2015 11:27:15 AM,329,7,1,8666.0,0.0,1350.0,566.0,1238.0,296.3241468392342,0.0,0.0,0.0,0.0,26340425.531914894,24316.1094224924,47.00000000000001,31.69647719647511,103.0,19.0,329.0,54.83333333333334,52.83338590954271,154.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,20,21276.595744680853,3039.51367781155,0.0,1350.0,1112.888888888889,491.31976462494487,241395.1111111111,1,0,1,1,8,0,0,0,0.0,1252.0,1238.0,0.0,0,0,0,8666,7,26340425,0,1083,0,0,250,0,6,20,0.0,0.0,0.0,0.0,1427898435067595.0,0.0,1427898435067595.0,1427898435067595.0,6
10.8.8.130-207.241.224.2-55780-80-6,10.8.8.130,55780,207.241.224.2,80,6,04/06/2015 09:33:31 AM,1581848,5,4,337.0,368.0,175.0,0.0,67.4,92.40562753425787,368.0,0.0,92.0,184.0,445.68125382464063,5.689547921165624,197731.0,258546.90996026233,750285.0,15.0,1337424.0,334356.0,310040.7042921945,750285.0,139.0,1301423.0,433807.66666666674,502200.7258620136,994724.0,25932.0,0,0,0,0,168,136,3.1608599562031245,2.5286879649625003,0.0,368.0,70.5,125.87052430529114,15843.388888888889,1,2,0,3,8,0,0,0,0.0,78.33333333333333,67.4,92.0,0,0,0,0,0,0,0,37,0,40,29200,235,2,32,0.0,0.0,0.0,0.0,1433421211366999.0,0.0,1433421211366999.0,1433421211366999.0,6
10.8.8.130-207.241.239.206-57023-6969-6,10.8.8.130,57023,207.241.239.206,6969,6,04/06/2015 09:36:25 AM,6413914,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118220793106985,6413914.0,0.0,6413914.0,6413914.0,6413914.0,6413914.0,0.0,6413914.0,6413914.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,0.3118220793106985,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,2737,0,0,32,0.0,0.0,0.0,0.0,716710695963286.0,1013581977458494.8,1433421385512658.0,6413914.0,6
10.8.8.130-198.7.63.141-14508-53-17,10.8.8.130,14508,198.7.63.141,53,17,04/06/2015 09:35:05 AM,122387,1,1,29.0,345.0,29.0,29.0,29.0,0.0,345.0,345.0,345.0,0.0,3055.880117986388,16.341604909018116,122387.0,0.0,122387.0,122387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,8.170802454509058,8.170802454509058,29.0,345.0,134.33333333333331,182.4426850639217,33285.33333333333,0,0,0,0,0,0,0,0,1.0,201.5,29.0,345.0,0,0,0,0,0,0,0,14,0,172,0,0,0,8,0.0,0.0,0.0,0.0,1433421305076635.0,0.0,1433421305076635.0,1433421305076635.0,6
10.8.8.130-198.7.63.141-29312-53-17,10.8.8.130,29312,198.7.63.141,53,17,04/06/2015 09:34:36 AM,120159,1,1,33.0,370.0,33.0,33.0,33.0,0.0,370.0,370.0,370.0,0.0,3353.889429838797,16.644612555031248,120159.0,0.0,120159.0,120159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,8.322306277515626,8.322306277515626,33.0,370.0,145.33333333333331,194.56704071690388,37856.33333333333,0,0,0,0,0,0,0,0,1.0,218.0,33.0,370.0,0,0,0,0,0,0,0,16,0,185,0,0,0,8,0.0,0.0,0.0,0.0,1433421276401120.0,0.0,1433421276401120.0,1433421276401120.0,6
131.202.240.87-46.250.17.161-61009-25799-17,131.202.240.87,61009,46.250.17.161,25799,17,01/04/2015 11:24:17 AM,28335203,2,2,300.0,389.0,194.0,106.0,150.0,62.22539674441618,319.0,70.0,194.5,176.06958851545033,24.31604248609053,0.14116715521678105,9445067.666666668,15941866.299761055,27853061.0,191703.0,28143500.0,28143500.0,0.0,28143500.0,28143500.0,28044764.0,28044764.0,0.0,28044764.0,28044764.0,0,0,0,0,16,16,0.07058357760839053,0.07058357760839053,70.0,319.0,159.0,100.45396955820114,10091.0,0,0,0,0,0,0,0,0,1.0,198.75,150.0,194.5,0,0,0,0,0,0,0,75,0,97,0,0,1,8,290439.0,0.0,290439.0,290439.0,713949142613365.5,1009676520938288.0,1427898257373670.0,27853061.0,6
10.8.8.130-198.7.63.141-57873-53-17,10.8.8.130,57873,198.7.63.141,53,17,04/06/2015 09:34:36 AM,268155,1,1,41.0,357.0,41.0,41.0,41.0,0.0,357.0,357.0,357.0,0.0,1484.2162182319928,7.458372955939662,268155.0,0.0,268155.0,268155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3.729186477969831,3.729186477969831,41.0,357.0,146.33333333333331,182.4426850639217,33285.33333333333,0,0,0,0,0,0,0,0,1.0,219.5,41.0,357.0,0,0,0,0,0,0,0,20,0,178,0,0,0,8,0.0,0.0,0.0,0.0,1433421276570068.0,0.0,1433421276570068.0,1433421276570068.0,6
10.8.8.130-207.241.224.2-51302-443-6,10.8.8.130,51302,207.241.224.2,443,6,04/06/2015 09:34:44 AM,2730533,27,39,630.0,39454.0,264.0,0.0,23.33333333333333,68.16890786861705,1308.0,0.0,1011.6410256410257,525.7255881751223,14679.917803593657,24.171105055313376,42008.2,103163.77129217892,361358.0,9.0,2730516.0,105019.84615384613,142863.66329131907,361369.0,29.0,2457454.0,64669.842105263146,127729.35540674679,399171.0,25.0,0,0,0,0,872,1256,9.888179340810018,14.28292571450336,0.0,1308.0,598.268656716418,634.4948738262624,402583.7449118045,1,2,0,9,65,0,0,0,1.0,607.3333333333334,23.33333333333333,1011.6410256410257,0,0,0,40084,38,16457,0,9,0,597,29200,243,4,32,0.0,0.0,0.0,0.0,1433421284591703.0,0.0,1433421284591703.0,1433421284591703.0,6
10.8.8.130-198.7.63.141-11812-53-17,10.8.8.130,11812,198.7.63.141,53,17,04/06/2015 09:34:36 AM,127332,1,1,29.0,80.0,29.0,29.0,29.0,0.0,80.0,80.0,80.0,0.0,856.0299060723149,15.706970753620455,127332.0,0.0,127332.0,127332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,7.8534853768102275,7.8534853768102275,29.0,80.0,46.0,29.44486372867091,867.0,0,0,0,0,0,0,0,0,1.0,69.0,29.0,80.0,0,0,0,0,0,0,0,14,0,40,0,0,0,8,0.0,0.0,0.0,0.0,1433421276573699.0,0.0,1433421276573699.0,1433421276573699.0,6
1.55.75.14-131.202.240.87-32638-61009-17,1.55.75.14,32638,131.202.240.87,61009,17,01/04/2015 11:23:15 AM,297,1,1,103.0,289.0,103.0,103.0,103.0,0.0,289.0,289.0,289.0,0.0,1319865.31986532,6734.0067340067335,297.0,0.0,297.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3367.0033670033667,3367.0033670033667,103.0,289.0,165.0,107.3871500692704,11532.0,0,0,0,0,0,0,0,0,1.0,247.5,103.0,289.0,0,0,0,0,0,0,0,51,0,144,0,0,0,8,0.0,0.0,0.0,0.0,1427898195305891.0,0.0,1427898195305891.0,1427898195305891.0,6
131.202.240.87-175.180.199.47-4681-50107-6,131.202.240.87,4681,175.180.199.47,50107,6,01/04/2015 11:29:23 AM,19982941,8,6,638.0,586.0,276.0,0.0,79.75,101.19959062593655,586.0,0.0,97.66666666666669,239.23349821182373,61.25224510246014,0.7005975747013415,1537149.3076923075,4465344.926706433,16361285.0,51.0,19982941.0,2854705.8571428573,6239833.571942536,16956032.0,1936.0,3296171.0,659234.2,192701.54801064782,993907.0,529156.0,0,0,0,0,172,132,0.4003414712579094,0.3002561034434321,0.0,586.0,81.60000000000002,161.70687766979574,26149.114285714288,1,2,0,5,13,0,0,0,0.0,87.42857142857143,79.75,97.66666666666669,0,0,0,0,0,0,0,45,0,41,8192,256,4,20,3621656.0,0.0,3621656.0,3621656.0,713949289955438.0,1009676745563270.6,1427898563549591.0,16361285.0,6
10.8.8.130-122.173.123.16-51413-6881-17,10.8.8.130,51413,122.173.123.16,6881,17,04/06/2015 09:35:27 AM,476771,1,1,97.0,353.0,97.0,97.0,97.0,0.0,353.0,353.0,353.0,0.0,943.8493532534488,4.194886014459772,476771.0,0.0,476771.0,476771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2.097443007229886,2.097443007229886,97.0,353.0,182.3333333333333,147.8016689125442,21845.33333333333,0,0,0,0,0,0,0,0,1.0,273.5,97.0,353.0,0,0,0,0,0,0,0,48,0,176,0,0,0,8,0.0,0.0,0.0,0.0,1433421327791451.0,0.0,1433421327791451.0,1433421327791451.0,6
