Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-95.109.23.51-61009-24588-17,131.202.240.87,61009,95.109.23.51,24588,17,01/04/2015 11:25:22 AM,172827,1,1,103.0,289.0,103.0,103.0,103.0,0.0,289.0,289.0,289.0,0.0,2268.164117875101,11.572265907526024,172827.0,0.0,172827.0,172827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,5.786132953763012,5.786132953763012,103.0,289.0,165.0,107.3871500692704,11532.0,0,0,0,0,0,0,0,0,1.0,247.5,103.0,289.0,0,0,0,0,0,0,0,51,0,144,0,0,0,8,0.0,0.0,0.0,0.0,1427898322695113.0,0.0,1427898322695113.0,1427898322695113.0,6
131.202.240.87-46.105.108.117-61009-36807-17,131.202.240.87,61009,46105108117,36807,17,01/04/2015 11:27:14 AM,145370,1,1,106.0,285.0,106.0,106.0,106.0,0.0,285.0,285.0,285.0,0.0,2689.688381371672,13.757996835660727,145370.0,0.0,145370.0,145370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,6.878998417830363,6.878998417830363,106.0,285.0,165.66666666666666,103.345698184943,10680.333333333332,0,0,0,0,0,0,0,0,1.0,248.5,106.0,285.0,0,0,0,0,0,0,0,53,0,142,0,0,0,8,0.0,0.0,0.0,0.0,1427898434533996.0,0.0,1427898434533996.0,1427898434533996.0,6
10.8.8.130-207.241.236.176-43515-80-6,10.8.8.130,43515,207.241.236.176,80,6,04/06/2015 09:33:56 AM,16456165,2521,4843,2207.0,6294812.0,189.0,0.0,0.8754462514875064,12.663672737071714,1308.0,0.0,1299.7753458600012,89.78495302334522,382654.0995426335,447.4918670297728,2234.9809860111386,21929.231211055343,282728.0,0.0,16456148.0,6530.217460317464,37388.204464660266,290561.0,0.0,16190212.0,3343.703428335404,27457.7910122216,315417.0,0.0,0,0,0,0,88920,154984,153.1948664831691,294.2970005466037,0.0,1308.0,854.9923964697919,620.7284380501748,385303.7938042097,1,2,0,82,7363,0,0,0,1.0,855.1085008147746,0.875446251487505,1299.7753458600039,0,0,0,6297019,4853,388945,0,0,0,854,29200,327,12,32,0.0,0.0,0.0,0.0,1433421236139011.0,0.0,1433421236139011.0,1433421236139011.0,6
131.202.240.87-1.197.20.5-61009-19419-17,131.202.240.87,61009,1.197.20.5,19419,17,01/04/2015 11:23:37 AM,487037,1,1,106.0,312.0,106.0,106.0,106.0,0.0,312.0,312.0,312.0,0.0,858.2510158365793,4.106464190605642,487037.0,0.0,487037.0,487037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2.053232095302821,2.053232095302821,106.0,312.0,174.66666666666669,118.93415545306291,14145.333333333336,0,0,0,0,0,0,0,0,1.0,262.0,106.0,312.0,0,0,0,0,0,0,0,53,0,156,0,0,0,8,0.0,0.0,0.0,0.0,1427898217532839.0,0.0,1427898217532839.0,1427898217532839.0,6
10.8.8.130-198.7.63.141-50604-53-17,10.8.8.130,50604,198.7.63.141,53,17,04/06/2015 09:35:41 AM,140513,1,1,33.0,105.0,33.0,33.0,33.0,0.0,105.0,105.0,105.0,0.0,982.1155337940262,14.233558460782987,140513.0,0.0,140513.0,140513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,7.116779230391495,7.116779230391495,33.0,105.0,57.0,41.569219381653056,1728.0,0,0,0,0,0,0,0,0,1.0,85.5,33.0,105.0,0,0,0,0,0,0,0,16,0,52,0,0,0,8,0.0,0.0,0.0,0.0,1433421341651965.0,0.0,1433421341651965.0,1433421341651965.0,6
131.202.240.87-193.226.213.94-61009-29208-17,131.202.240.87,61009,193.226.213.94,29208,17,01/04/2015 11:25:51 AM,9161251,2,2,306.0,389.0,200.0,106.0,153.0,66.46803743153546,319.0,70.0,194.5,176.06958851545033,75.86300167957411,0.4366215924004265,3053750.333333333,4263546.5136388885,7952840.0,183469.0,8136309.0,8136309.0,0.0,8136309.0,8136309.0,8977782.0,8977782.0,0.0,8977782.0,8977782.0,0,0,0,0,16,16,0.21831079620021326,0.21831079620021326,70.0,319.0,160.2,101.01089050196519,10203.2,0,0,0,0,0,0,0,0,1.0,200.25,153.0,194.5,0,0,0,0,0,0,0,76,0,97,0,0,1,8,183469.0,0.0,183469.0,183469.0,713949179674798.5,1009676601494231.6,1427898351396757.0,7952840.0,6
10.8.8.130-207.241.227.188-59035-80-6,10.8.8.130,59035,207.241.227.188,80,6,04/06/2015 09:34:59 AM,42289,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.29362245501194,42289.0,0.0,42289.0,42289.0,42289.0,42289.0,0.0,42289.0,42289.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,47.29362245501194,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,5074,0,0,32,0.0,0.0,0.0,0.0,1433421299444755.0,0.0,1433421299444755.0,1433421299444755.0,6
131.202.240.87-73.13.49.197-61009-1024-17,131.202.240.87,61009,73.13.49.197,1024,17,01/04/2015 11:29:07 AM,331,2,0,392.0,0.0,289.0,103.0,196.0,131.52186130069785,0.0,0.0,0.0,0.0,1184290.0302114806,6042.296072507553,331.0,0.0,331.0,331.0,331.0,331.0,0.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,6042.296072507553,0.0,103.0,289.0,165.0,107.3871500692704,11532.0,0,0,0,0,0,0,0,0,0.0,247.5,196.0,0.0,0,0,0,0,0,0,1,196,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1427898547395111.0,0.0,1427898547395111.0,1427898547395111.0,6
10.8.8.130-207.241.224.2-51300-443-6,10.8.8.130,51300,207.241.224.2,443,6,04/06/2015 09:34:45 AM,1271168,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,24.3870204410432,2.360034236229987,635584.0,891590.9403981178,1266034.0,5134.0,1271168.0,635584.0,891590.9403981178,1266034.0,5134.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,2.360034236229987,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,966,0,1,32,0.0,0.0,0.0,0.0,1433421285451788.0,0.0,1433421285451788.0,1433421285451788.0,6
10.8.8.130-207.241.227.212-33831-80-6,10.8.8.130,33831,207.241.227.212,80,6,04/06/2015 09:34:08 AM,273209,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.980604592088842,136604.5,58802.2928166921,178184.0,95025.0,0.0,0.0,0.0,0.0,0.0,178184.0,178184.0,0.0,178184.0,178184.0,0,0,0,0,32,40,3.660201530696281,7.320403061392561,0.0,0.0,0.0,0.0,0.0,1,0,2,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,10050,0,0,32,0.0,0.0,0.0,0.0,1433421248227977.0,0.0,1433421248227977.0,1433421248227977.0,6
