Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-104.156.81.217-49662-443-6,131.202.240.150,49662,104.156.81.217,443,6,01/04/2015 02:41:15 PM,4489873,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4454468979412112,4489873.0,0.0,4489873.0,4489873.0,4489873.0,4489873.0,0.0,4489873.0,4489873.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,0.4454468979412112,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,248,0,0,32,0.0,0.0,0.0,0.0,1427910075636846.0,0.0,1427910075636846.0,1427910075636846.0,3
131.202.240.150-209.148.205.8-58298-80-6,131.202.240.150,58298,209.148.205.8,80,6,01/04/2015 02:51:11 PM,45077483,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08873609912958094,15025827.666666668,25988376.497638404,45034620.0,21367.0,45055987.0,45055987.0,0.0,45055987.0,45055987.0,45056116.0,45056116.0,0.0,45056116.0,45056116.0,0,0,0,0,64,64,0.04436804956479047,0.04436804956479047,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,1320,0,32,21367.0,0.0,21367.0,21367.0,713955358085754.0,1009685286645242.4,1427910671136888.0,45034620.0,3
131.202.240.150-131.202.244.5-43876-53-17,131.202.240.150,43876,131.202.244.5,53,17,01/04/2015 01:29:30 PM,216,1,1,29.0,210.0,29.0,29.0,29.0,0.0,210.0,210.0,210.0,0.0,1106481.4814814816,9259.25925925926,216.0,0.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,4629.62962962963,4629.62962962963,29.0,210.0,89.33333333333334,104.50039872332226,10920.333333333334,0,0,0,0,0,0,0,0,1.0,134.0,29.0,210.0,0,0,0,0,0,0,0,14,0,105,0,0,0,8,0.0,0.0,0.0,0.0,1427905770123544.0,0.0,1427905770123544.0,1427905770123544.0,3
101.226.77.16-131.202.240.150-0-0-0,101.226.77.16,0,131.202.240.150,0,0,01/04/2015 03:55:20 PM,87039706,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04595603758128503,29013235.333333336,50252318.88097523,87039615.0,35.0,87039650.0,87039650.0,0.0,87039650.0,87039650.0,87039671.0,87039671.0,0.0,87039671.0,87039671.0,0,0,0,0,0,0,0.02297801879064252,0.02297801879064252,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0.0,35.0,35.0,713957303790204.5,1009687978882831.2,1427914520540794.0,87039615.0,3
131.202.240.150-209.148.205.26-44701-443-6,131.202.240.150,44701,209.148.205.26,443,6,30/03/2015 09:41:59 AM,117084492,44,45,2088.0,131103.0,581.0,0.0,47.45454545454543,147.64845970506076,8028.0,0.0,2913.4000000000005,2434.897957540801,1137.5631198024073,0.7601348263952838,1330505.5909090908,8761069.523549087,58741935.0,1.0,117084492.0,2722895.162790697,12459152.995769424,58783680.0,22.0,117063115.0,2660525.340909091,12325455.972202735,58767440.0,5.0,1,0,0,0,1408,1440,0.3757969928246347,0.3843378335706492,0.0,8028.0,1486.3555555555554,2236.974302369872,5004054.029463173,0,0,0,27,89,0,0,0,1.0,1503.0561797752812,47.45454545454545,2913.4,0,0,0,132915,45,2705098,0,23,0,1473,11645,1320,7,32,77945.5,18338.81437007311,90913.0,64978.0,475906478761905.6,824294099623965.5,1427719319380539.0,58163243.0,3
209.148.205.41-131.202.240.150-80-42331-6,209.148.205.41,80,131.202.240.150,42331,6,01/04/2015 01:10:26 PM,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,486,237,0,32,0.0,0.0,0.0,0.0,1427904626133404.0,0.0,1427904626133404.0,1427904626133404.0,3
131.202.240.150-131.202.6.3-7173-53-17,131.202.240.150,7173,131.202.6.3,53,17,30/03/2015 10:22:36 AM,95689,1,1,34.0,141.0,34.0,34.0,34.0,0.0,141.0,141.0,141.0,0.0,1828.841350625464,20.901044007148162,95689.0,0.0,95689.0,95689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,10.450522003574081,10.450522003574081,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,1.0,104.5,34.0,141.0,0,0,0,0,0,0,0,17,0,70,0,0,0,8,0.0,0.0,0.0,0.0,1427721756685042.0,0.0,1427721756685042.0,1427721756685042.0,3
131.202.240.150-64.233.171.95-35273-443-6,131.202.240.150,35273,64.233.171.95,443,6,01/04/2015 02:48:39 PM,39506,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.625221485344,39506.0,0.0,39506.0,39506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,25.312610742672,25.312610742672,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,357,366,0,32,0.0,0.0,0.0,0.0,1427910519855916.0,0.0,1427910519855916.0,1427910519855916.0,3
131.202.240.150-173.194.123.127-53719-443-6,131.202.240.150,53719,173.194.123.127,443,6,01/04/2015 01:09:10 PM,90134891,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656689694116344,18026978.2,24649327.46497387,45031045.0,24986.0,90108057.0,45054028.5,2831.9626586521226,45056031.0,45052026.0,90109747.0,45054873.5,4250.418861712337,45057879.0,45051868.0,0,0,0,0,96,96,0.03328344847058172,0.03328344847058172,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,245,358,0,32,25065.0,111.72287142747452,25144.0,24986.0,475968213455578.6,824401050500398.2,1427904550308809.0,45026882.0,3
131.202.240.150-216.58.219.238-48061-443-6,131.202.240.150,48061,216.58.219.238,443,6,01/04/2015 01:37:44 PM,25514,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.38833581563064,25514.0,0.0,25514.0,25514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,39.19416790781532,39.19416790781532,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,338,358,0,32,0.0,0.0,0.0,0.0,1427906264775514.0,0.0,1427906264775514.0,1427906264775514.0,3
131.202.240.150-216.58.219.225-34842-443-6,131.202.240.150,34842,216.58.219.225,443,6,01/04/2015 01:34:23 PM,90137544,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656493769122443,18027508.8,24650167.616807487,45030448.0,25547.0,90111997.0,45055998.5,51.61879502661797,45056035.0,45055962.0,90111957.0,45055978.5,71.4177848998413,45056029.0,45055928.0,0,0,0,0,96,96,0.033282468845612215,0.033282468845612215,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,380,366,0,32,25584.0,4.242640687119285,25587.0,25581.0,475968717860563.4,824401924152946.0,1427906063520861.0,45030381.0,3
131.202.240.150-131.202.243.255-57621-57621-17,131.202.240.150,57621,131.202.243.255,57621,17,01/04/2015 03:41:47 PM,90002567,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,1.9554997803562648,0.04444317682627875,30000855.66666667,216.84172415227962,30001106.0,30000726.0,90002567.0,30000855.66666667,216.84172415227962,30001106.0,30000726.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,0.04444317682627875,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0.0,0.0,0.0,0.0,356978449496503.25,713956838991295.2,1427913707983446.0,30000726.0,3
131.202.240.150-173.252.79.86-52729-443-6,131.202.240.150,52729,173.252.79.86,443,6,30/03/2015 10:28:20 AM,79254,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.23531935296641,79254.0,0.0,79254.0,79254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,12.617659676483205,12.617659676483205,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,229,29,0,32,0.0,0.0,0.0,0.0,1427722100264683.0,0.0,1427722100264683.0,1427722100264683.0,3
131.202.240.150-173.194.123.96-56742-443-6,131.202.240.150,56742,173.194.123.96,443,6,01/04/2015 03:42:28 PM,101721187,17,24,2284.0,585.0,664.0,0.0,134.35294117647058,184.26100414102498,65.0,0.0,24.375,25.91258297664938,28.204547003565736,0.4030625399603329,2543029.675,8626128.017709456,45034381.0,8.0,101696010.0,6356000.625,12976443.547331585,45099118.0,199.0,101695804.0,4421556.695652174,11111437.25275034,45059558.0,8.0,0,0,0,0,544,768,0.16712349217867464,0.2359390477816583,0.0,664.0,68.30952380952382,129.1453120109354,16678.511614401858,0,0,0,24,41,0,0,0,1.0,69.97560975609754,134.35294117647058,24.375,0,0,0,956,8,20785,0,55,0,14,317,472,12,32,89557.75,42843.22740235614,114150.0,25383.0,285582770046936.0,638582430378099.2,1427913748896901.0,11882434.0,3
131.202.240.150-131.202.244.3-10439-53-17,131.202.240.150,10439,131.202.244.3,53,17,01/04/2015 01:25:12 PM,523,1,1,31.0,267.0,31.0,31.0,31.0,0.0,267.0,267.0,267.0,0.0,569789.6749521989,3824.091778202677,523.0,0.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1912.0458891013384,1912.0458891013384,31.0,267.0,109.66666666666669,136.25466352875168,18565.333333333336,0,0,0,0,0,0,0,0,1.0,164.5,31.0,267.0,0,0,0,0,0,0,0,15,0,133,0,0,0,8,0.0,0.0,0.0,0.0,1427905512112895.0,0.0,1427905512112895.0,1427905512112895.0,3
131.202.240.150-209.148.205.24-56529-80-6,131.202.240.150,56529,209.148.205.24,80,6,01/04/2015 03:08:27 PM,90133143,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656818790841455,18026628.6,24654711.16063906,45034851.0,21151.0,90111990.0,45055995.0,9.899494936611664,45056002.0,45055988.0,90111327.0,45055663.5,481.5397179880389,45056004.0,45055323.0,0,0,0,0,96,96,0.03328409395420728,0.03328409395420728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1027,486,0,32,21483.5,470.2260094890541,21816.0,21151.0,475970599249961.4,824405182807876.0,1427911707680861.0,45034172.0,3
131.202.240.150-23.235.33.217-40323-443-6,131.202.240.150,40323,23.235.33.217,443,6,01/04/2015 02:28:09 PM,10278957,9,10,1436.0,5202.0,1106.0,0.0,159.55555555555554,362.56141242247185,1338.0,0.0,520.2,622.3715931820798,645.7853651883163,1.8484365680292272,571053.1666666665,2345855.2573550357,9970212.0,18.0,308745.0,38593.125,56492.968944152686,167864.0,61.0,10235973.0,1137330.333333333,3327061.926417812,10009133.0,112.0,0,0,0,0,296,328,0.875575216434897,0.97286135159433,0.0,1338.0,331.9,526.6464808478963,277356.5157894737,1,2,0,6,18,0,0,0,1.0,349.3684210526316,159.55555555555554,520.2,0,0,0,6638,8,29350,0,75,0,273,29200,35,3,32,308745.0,0.0,308745.0,308745.0,713954649747156.5,1009684334491752.4,1427909289524101.0,9970212.0,3
131.202.240.150-131.202.244.5-44595-53-17,131.202.240.150,44595,131.202.244.5,53,17,01/04/2015 01:29:31 PM,437,1,1,33.0,219.0,33.0,33.0,33.0,0.0,219.0,219.0,219.0,0.0,576659.0389016018,4576.659038901602,437.0,0.0,437.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2288.329519450801,2288.329519450801,33.0,219.0,95.0,107.3871500692704,11532.0,0,0,0,0,0,0,0,0,1.0,142.5,33.0,219.0,0,0,0,0,0,0,0,16,0,109,0,0,0,8,0.0,0.0,0.0,0.0,1427905771103360.0,0.0,1427905771103360.0,1427905771103360.0,3
131.202.240.150-104.156.81.217-49584-443-6,131.202.240.150,49584,104.156.81.217,443,6,01/04/2015 02:36:09 PM,10204030,8,8,2123.0,870.0,1092.0,0.0,265.375,398.80748578015147,729.0,0.0,108.75,255.42947027646255,293.31548417634997,1.5680079341201467,680268.6666666665,2570174.3028540653,9970546.0,31.0,233484.0,33354.857142857145,52233.54847358981,142515.0,196.0,10160757.0,1451536.7142857143,3773348.64935527,10008489.0,31.0,0,0,0,0,264,264,0.7840039670600734,0.7840039670600734,0.0,1092.0,176.05882352941174,326.0656510942688,106318.8088235294,1,2,0,6,15,0,0,0,1.0,187.0625,265.375,108.75,0,0,0,2993,6,19686,0,132,0,54,29200,39,4,32,233484.0,0.0,233484.0,233484.0,713954889590958.5,1009684673681637.8,1427909769211371.0,9970546.0,3
