Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.6.3-34926-53-17,131.202.240.150,34926,131.202.6.3,53,17,30/03/2015 10:38:05 AM,1293,1,1,42.0,149.0,42.0,42.0,42.0,0.0,149.0,149.0,149.0,0.0,147718.48414539828,1546.7904098994586,1293.0,0.0,1293.0,1293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,773.3952049497293,773.3952049497293,42.0,149.0,77.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,42.0,149.0,0,0,0,0,0,0,0,21,0,74,0,0,0,8,0.0,0.0,0.0,0.0,1427722685865726.0,0.0,1427722685865726.0,1427722685865726.0,5
131.202.240.242-224.0.0.252-52223-5355-17,131.202.240.242,52223,224.0.0.252,5355,17,29/04/2015 11:40:34 AM,410713,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,107.13077014849787,4.8695804612953575,410713.0,0.0,410713.0,410713.0,410713.0,410713.0,0.0,410713.0,410713.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.8695804612953575,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1430318434974990.0,0.0,1430318434974990.0,1430318434974990.0,5
131.202.240.150-131.202.6.3-49482-53-17,131.202.240.150,49482,131.202.6.3,53,17,30/03/2015 11:48:42 AM,1780,1,1,33.0,345.0,33.0,33.0,33.0,0.0,345.0,345.0,345.0,0.0,212359.55056179775,1123.5955056179776,1780.0,0.0,1780.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,561.7977528089888,561.7977528089888,33.0,345.0,137.0,180.1332839871632,32448.0,0,0,0,0,0,0,0,0,1.0,205.5,33.0,345.0,0,0,0,0,0,0,0,16,0,172,0,0,0,8,0.0,0.0,0.0,0.0,1427726922043330.0,0.0,1427726922043330.0,1427726922043330.0,5
131.202.240.150-131.202.6.3-45141-53-17,131.202.240.150,45141,131.202.6.3,53,17,30/03/2015 11:45:45 AM,1464,1,1,33.0,345.0,33.0,33.0,33.0,0.0,345.0,345.0,345.0,0.0,258196.72131147538,1366.120218579235,1464.0,0.0,1464.0,1464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,683.0601092896175,683.0601092896175,33.0,345.0,137.0,180.1332839871632,32448.0,0,0,0,0,0,0,0,0,1.0,205.5,33.0,345.0,0,0,0,0,0,0,0,16,0,172,0,0,0,8,0.0,0.0,0.0,0.0,1427726745672218.0,0.0,1427726745672218.0,1427726745672218.0,5
131.202.240.150-131.202.244.5-19550-53-17,131.202.240.150,19550,131.202.244.5,53,17,30/03/2015 11:05:06 AM,443,1,1,37.0,213.0,37.0,37.0,37.0,0.0,213.0,213.0,213.0,0.0,564334.0857787811,4514.672686230249,443.0,0.0,443.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2257.336343115124,2257.336343115124,37.0,213.0,95.66666666666666,101.61364737737414,10325.333333333332,0,0,0,0,0,0,0,0,1.0,143.5,37.0,213.0,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0.0,0.0,0.0,0.0,1427724306054922.0,0.0,1427724306054922.0,1427724306054922.0,5
131.202.240.150-131.202.244.5-21522-53-17,131.202.240.150,21522,131.202.244.5,53,17,30/03/2015 10:14:15 AM,462,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,246753.24675324679,4329.0043290043295,462.0,0.0,462.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2164.5021645021648,2164.5021645021648,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333335,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0.0,0.0,0.0,0.0,1427721255654991.0,0.0,1427721255654991.0,1427721255654991.0,5
131.202.240.150-131.202.244.5-44464-53-17,131.202.240.150,44464,131.202.244.5,53,17,30/03/2015 11:01:56 AM,339,1,1,37.0,213.0,37.0,37.0,37.0,0.0,213.0,213.0,213.0,0.0,737463.1268436578,5899.705014749263,339.0,0.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2949.8525073746314,2949.8525073746314,37.0,213.0,95.66666666666666,101.61364737737414,10325.333333333332,0,0,0,0,0,0,0,0,1.0,143.5,37.0,213.0,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0.0,0.0,0.0,0.0,1427724116622191.0,0.0,1427724116622191.0,1427724116622191.0,5
131.202.240.150-131.202.244.5-8434-53-17,131.202.240.150,8434,131.202.244.5,53,17,30/03/2015 11:48:47 AM,328,1,1,33.0,185.0,33.0,33.0,33.0,0.0,185.0,185.0,185.0,0.0,664634.1463414634,6097.560975609756,328.0,0.0,328.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3048.780487804878,3048.780487804878,33.0,185.0,83.66666666666666,87.75724091682311,7701.333333333332,0,0,0,0,0,0,0,0,1.0,125.5,33.0,185.0,0,0,0,0,0,0,0,16,0,92,0,0,0,8,0.0,0.0,0.0,0.0,1427726927773623.0,0.0,1427726927773623.0,1427726927773623.0,5
131.202.240.242-224.0.0.252-61534-5355-17,131.202.240.242,61534,224.0.0.252,5355,17,29/04/2015 11:11:28 AM,411234,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,106.99504418408985,4.863411099276812,411234.0,0.0,411234.0,411234.0,411234.0,411234.0,0.0,411234.0,411234.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,4.863411099276812,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1430316688826486.0,0.0,1430316688826486.0,1430316688826486.0,5
131.202.240.150-131.202.244.3-24885-53-17,131.202.240.150,24885,131.202.244.3,53,17,30/03/2015 11:02:36 AM,474,1,1,37.0,373.0,37.0,37.0,37.0,0.0,373.0,373.0,373.0,0.0,864978.9029535865,4219.4092827004215,474.0,0.0,474.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2109.7046413502107,2109.7046413502107,37.0,373.0,149.0,193.98969044771422,37632.0,0,0,0,0,0,0,0,0,1.0,223.5,37.0,373.0,0,0,0,0,0,0,0,18,0,186,0,0,0,8,0.0,0.0,0.0,0.0,1427724156766734.0,0.0,1427724156766734.0,1427724156766734.0,5
